subject,session,trial,loads,loadsEnc1_PicIDs,loadsEnc2_PicIDs,loadsEnc3_PicIDs,loadsProbe_PicIDs,probe_in_out,response_accuracy,start_time,stop_time,timestamps_Encoding1,timestamps_Encoding1_end,timestamps_Encoding2,timestamps_Encoding2_end,timestamps_Encoding3,timestamps_Encoding3_end,timestamps_FixationCross,timestamps_Maintenance,timestamps_Probe,timestamps_Response
1,2,0,3,5,1,3,5,1,1,23.0490525,30.947643499999998,24.0343025,25.0381145,25.165770499999997,26.1683645,26.2464265,27.2494575,23.0490525,27.2494575,29.877643499999998,30.947643499999998
1,2,1,3,1,2,4,1,1,1,30.9775185,38.9379215,31.9413305,32.9440175,32.9777365,33.980861499999996,34.0227365,35.0259855,30.9775185,35.0259855,37.625297499999995,38.9379215
1,2,2,3,3,5,4,2,0,1,38.9607345,47.6489495,40.061671499999996,41.0643585,41.168139499999995,42.1713895,42.283545499999995,43.2865135,38.9607345,43.2865135,45.9137005,47.6489495
1,2,3,2,5,1,0,3,0,1,47.6772935,55.3051025,48.8439805,49.8470425,49.9056985,50.9081985,0.0,0.0,47.6772935,50.9081985,53.532540499999996,55.3051025
1,2,4,2,5,2,0,5,1,1,55.3271965,61.874256499999994,56.3165705,57.3196325,57.5135395,58.5167885,0.0,0.0,55.3271965,58.5167885,61.075850499999994,61.874256499999994
1,2,5,2,4,2,0,2,1,1,61.893818499999995,68.5074095,62.942474499999996,63.9451305,64.06463049999999,65.0670985,0.0,0.0,61.893818499999995,65.0670985,67.7047225,68.5074095
1,2,6,2,1,2,0,4,0,1,68.5272845,75.4123445,69.52037849999999,70.5236275,70.7014715,71.7046895,0.0,0.0,68.5272845,71.7046895,74.5148765,75.4123445
1,2,7,3,3,4,1,5,0,1,75.44346949999999,83.0363105,76.5324375,77.5350315,77.57499949999999,78.5781245,78.6619685,79.6652805,75.44346949999999,79.6652805,82.21999749999999,83.0363105
1,2,8,3,2,3,5,4,0,1,83.0600915,91.0760255,84.05690349999999,85.0605595,85.1326845,86.1358405,86.23337149999999,87.2358395,83.0600915,87.2358395,89.8940265,91.0760255
1,2,9,2,2,3,0,4,0,1,91.1099315,98.9874595,92.2437125,93.2462745,93.3214625,94.32436849999999,0.0,0.0,91.1099315,94.32436849999999,96.9445545,98.9874595
1,2,10,1,2,0,0,2,1,0,99.0098345,106.6115815,100.0502405,101.05283449999999,0.0,0.0,0.0,0.0,99.0098345,101.05283449999999,103.7693335,106.6115815
1,2,11,1,1,0,0,1,1,1,106.6430505,112.2697985,107.74664349999999,108.74936249999999,0.0,0.0,0.0,0.0,106.6430505,108.74936249999999,111.5023295,112.2697985
1,2,12,1,4,0,0,4,1,1,112.2929545,117.87988949999999,113.3994855,114.40286049999999,0.0,0.0,0.0,0.0,112.2929545,114.40286049999999,117.10179649999999,117.87988949999999
1,2,13,3,3,5,4,1,0,1,117.9097335,125.9833865,118.8649835,119.86823249999999,119.97692049999999,120.9793885,121.0511695,122.0544195,117.9097335,122.0544195,124.6351995,125.9833865
1,2,14,3,1,2,4,3,0,1,126.00944949999999,134.5664765,127.07722949999999,128.0798855,128.2667605,129.2698225,129.2952915,130.29804149999998,126.00944949999999,130.29804149999998,133.0472585,134.5664765
1,2,15,1,5,0,0,5,1,0,134.59266449999998,142.5900365,135.6379455,136.6405385,0.0,0.0,0.0,0.0,134.59266449999998,136.6405385,139.2384755,142.5900365
1,2,16,1,5,0,0,2,0,0,142.6094425,149.7984395,143.6206295,144.62397249999998,0.0,0.0,0.0,0.0,142.6094425,144.62397249999998,147.2030345,149.7984395
1,2,17,1,4,0,0,2,0,0,149.8257525,155.4567495,150.9158765,151.9186575,0.0,0.0,0.0,0.0,149.8257525,151.9186575,154.49253149999998,155.4567495
1,2,18,3,5,3,4,5,1,1,155.4923125,163.4804345,156.4657805,157.46921749999998,157.6740305,158.6771235,158.7482795,159.7512165,155.4923125,159.7512165,162.3420285,163.4804345
1,2,19,2,2,1,0,1,1,0,163.50877749999998,171.2803995,164.5226525,165.5257145,165.6823085,166.6847765,0.0,0.0,163.50877749999998,166.6847765,169.34443149999998,171.2803995
1,2,20,3,3,5,1,3,1,0,171.30868049999998,179.8158025,172.4770555,173.4801805,173.5910235,174.5943355,174.62717949999998,175.6304295,171.30868049999998,175.6304295,178.3556155,179.8158025
1,2,21,3,2,3,4,5,0,1,179.8420525,187.59989349999998,180.8271455,181.82986449999999,181.8587705,182.8618955,182.9999885,184.0030505,179.8420525,184.0030505,186.70117449999998,187.59989349999998
1,2,22,1,5,0,0,3,0,1,187.6252685,196.8222645,188.7606425,189.7634235,0.0,0.0,0.0,0.0,187.6252685,189.7634235,192.4166415,196.8222645
1,2,23,2,5,3,0,5,1,1,196.8417335,203.9670425,197.80210749999998,198.8052325,198.9672015,199.9703255,0.0,0.0,196.8417335,199.9703255,202.62310549999998,203.9670425
1,2,24,1,2,0,0,2,1,1,203.99154249999998,209.2896965,204.9361985,205.9386355,0.0,0.0,0.0,0.0,203.99154249999998,205.9386355,208.6217285,209.2896965
