image_uid,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,aspect
img_0000,0.44581297039985657,0.15249799191951752,0.7337930689130071,83.89002990722656,0.5523604154586792,1.6609963178634644,4.9867786999588315,0.009425,-2.7387016152173826,0.039472877979278564,0.4868764321584908,0.5361134447450603,1.3333333333333333
img_0001,0.3951443135738373,0.24729867279529572,0.9999999885110297,51.5396614074707,0.31725677847862244,2.3452491760253906,5.542243575131472,0.0208,-2.9330226731093045,0.027563486248254776,0.5224478557619237,0.4935948142418022,1.3333333333333333
img_0002,0.39303311705589294,0.21878045797348022,0.911366520949976,40.8458366394043,0.3919033408164978,1.8653756380081177,5.600790670362861,0.015291666666666667,-2.8016116421291914,0.02396334335207939,0.49423756497171345,0.5261759606652268,1.3333333333333333
img_0003,0.3931104242801666,0.26958516240119934,0.9778935610305896,49.951332092285156,0.372791051864624,2.187988519668579,5.618111144741346,0.016633333333333333,-2.7781419624770853,0.020097827538847923,0.47740326997199156,0.5301327783708633,1.3333333333333333
img_0004,0.557986319065094,0.2895659804344177,0.9915665442031671,44.35938262939453,0.2816691994667053,1.8865140676498413,5.633213419577788,0.028858333333333333,-2.8981229105227344,0.023230712860822678,0.4442509665369684,0.49128577291684233,1.3333333333333333
img_0005,0.4038551151752472,0.2391400933265686,0.7964827540882801,40.33669662475586,0.25889912247657776,2.9156432151794434,5.541257571064028,0.04658333333333333,-2.8305601105965503,0.034188494086265564,0.4452160111196576,0.5092959848944929,1.3333333333333333
img_0006,0.5568504333496094,0.22603031992912292,0.8701730476949558,29.632892608642578,0.1225716695189476,2.7530596256256104,4.758248433214922,0.02365,-2.8845210031550463,0.026923207566142082,0.49586741645171517,0.5492448776874984,1.3333333333333333
img_0007,0.509848415851593,0.25343412160873413,0.9736969886203418,27.351364135742188,0.24725928902626038,3.0518975257873535,5.745366156232313,0.02745,-3.0663773383855615,0.019710004329681396,0.5153256033102168,0.5502559233092126,1.3333333333333333
img_0008,0.2850612998008728,0.2843014597892761,0.9999999898088057,39.74589920043945,0.4409448504447937,3.2093937397003174,5.266708117343475,0.04421666666666667,-3.205212951745558,0.019320212304592133,0.5391331492866775,0.5188791227945936,1.3333333333333333
img_0009,0.45503339171409607,0.2297869175672531,0.874022396595438,63.538089752197266,0.3630058467388153,3.1716387271881104,5.4565284113374695,0.023625,-2.8877316208437027,0.0240038949996233,0.49826819099078556,0.581109661398425,1.3333333333333333
img_0010,0.3997928500175476,0.17460620403289795,0.876621681169588,68.88909912109375,0.4848782420158386,1.9530816078186035,5.2995088080238855,0.0203,-2.7277048855005885,0.050674084573984146,0.49324330261902927,0.5157618222618875,1.3333333333333333
img_0011,0.532099187374115,0.33010464906692505,0.9822071335840891,61.82617950439453,0.36354973912239075,2.764451503753662,5.771491483520631,0.026316666666666665,-3.7587829210178265,0.011304069310426712,0.566211156833206,0.5230517968378833,1.3333333333333333
img_0012,0.5241107940673828,0.24098531901836395,0.8822770350210232,34.79947280883789,0.21320673823356628,2.5708281993865967,5.838201524069562,0.125275,-2.477983669442766,0.12552830576896667,0.5095252128652388,0.47447708497384744,1.3333333333333333
img_0013,0.4660344123840332,0.33100390434265137,0.9678347783409086,57.1550407409668,0.457589328289032,2.7334542274475098,5.6660327710716025,0.022575,-2.8894461077314144,0.017123796045780182,0.5381388614962672,0.5069769043803926,1.3333333333333333
img_0014,0.4880395531654358,0.22667381167411804,0.8008658034185522,0.0,0.0,-0.0,5.122712082016498,0.023841666666666667,-2.7043625745320607,0.028321340680122375,0.5278163557904952,0.5083874709850765,1.3333333333333333
img_0015,0.48302870988845825,0.28639647364616394,0.9819681566247422,52.50926208496094,0.4036652743816376,2.322542905807495,5.077707189672037,0.03266666666666666,-3.4189724306776386,0.030163846909999847,0.40847394133086,0.4363770657823375,1.3333333333333333
img_0016,0.18621090054512024,0.2997519373893738,0.9999999894942612,26.113115310668945,0.1944645345211029,2.1210739612579346,3.35749632574796,0.02935,-2.859126105160419,0.01983463019132614,0.3801245919922065,0.5561611319772649,1.3333333333333333
img_0017,0.47556328773498535,0.39067867398262024,0.9830931478591829,29.40414810180664,0.20031963288784027,2.3348894119262695,5.1444145062015885,0.09564166666666667,-2.841428283046275,0.05631564185023308,0.5260536279875629,0.504129242309792,1.3333333333333333
