model,layer,view,metric,count,mean,sem,p
alexnet,conv1,gap,correlation,19,0.014066363716379883,0.00786520636440878,0.09055174709532068
alexnet,conv1,gap,euclidean,19,0.012959767651601478,0.006255244758133863,0.05292562769977282
alexnet,conv1,rp,correlation,19,0.017849498956092558,0.010832768934240294,0.11675275364948323
alexnet,conv1,rp,euclidean,19,0.00839350248140873,0.004956585966576242,0.10761292871450938
alexnet,conv2,gap,correlation,19,0.03217622069481209,0.01691255474316327,0.07322790630140298
alexnet,conv2,gap,euclidean,19,0.02226834501734684,0.008932650848362284,0.022638811801894018
alexnet,conv2,rp,correlation,19,0.03144816370912087,0.013650834373109379,0.03337355023748216
alexnet,conv2,rp,euclidean,19,0.007922396332436712,0.005113959254884911,0.13874358651658514
alexnet,conv3,gap,correlation,19,0.038729081467226735,0.017942934947125955,0.04464384171922223
alexnet,conv3,gap,euclidean,19,0.030442322302550787,0.012454734590958139,0.025039704326596454
alexnet,conv3,rp,correlation,19,0.03895939732604126,0.016258026284742103,0.02763488756964818
alexnet,conv3,rp,euclidean,19,0.01861416153874494,0.008304263920738877,0.03783385565909558
alexnet,conv4,gap,correlation,19,0.04645053297612793,0.020372204972156447,0.03500855193859969
alexnet,conv4,gap,euclidean,19,0.04470783893245045,0.017474874368899766,0.019749395097558256
alexnet,conv4,rp,correlation,19,0.04521945578767665,0.020051659450025572,0.03681241433332212
alexnet,conv4,rp,euclidean,19,0.032185965451947386,0.01144517053627611,0.011531445908188819
alexnet,conv5,gap,correlation,19,0.04028628295679043,0.018024255724045857,0.03832274279972276
alexnet,conv5,gap,euclidean,19,0.027638396563481465,0.01128405626994008,0.02477764742018867
alexnet,conv5,rp,correlation,19,0.045175454993694415,0.019218003482265465,0.030338157281491116
alexnet,conv5,rp,euclidean,19,0.016883016876632996,0.006955642066290795,0.025932866316349962
alexnet,fc6,gap,correlation,19,0.04310532577001064,0.017692242962703577,0.025448055041544054
alexnet,fc6,gap,euclidean,19,0.021763192467819197,0.008802984673712697,0.023630264617023618
alexnet,fc6,rp,correlation,19,0.0432779936163507,0.01655673595851675,0.01757696889401829
alexnet,fc6,rp,euclidean,19,0.021590604347803057,0.009013672671432788,0.027691672394860083
