subject,unit,area,region,concept_cell,mean_rate,reliability,model,layer,view,r,r_norm
1,0,hippocampus,MTL,False,1.0582010582010584,-0.03166718576848372,baseline,category,-,-0.3051178262431733,-1.3645284012534096
1,1,dACC,MFC,False,3.677248677248677,0.20378072082246143,baseline,category,-,-0.13514900209253675,-0.2993858679345904
1,2,dACC,MFC,False,0.4695767195767196,-0.0546284501305375,baseline,category,-,-0.35901650125650864,-1.605570603707384
1,3,dACC,MFC,False,0.9755291005291005,-0.4640367258293184,baseline,category,-,-0.20114457818423243,-0.8995459002509298
1,4,dACC,MFC,False,5.575396825396826,-0.2663307722263246,baseline,category,-,0.08855541268958009,0.3960318450988971
1,5,dACC,MFC,False,3.7433862433862433,-0.12645724958361532,baseline,category,-,-0.3098155192625315,-1.3855371231108318
1,6,dACC,MFC,False,1.8783068783068784,-0.2772873179129277,baseline,category,-,-0.18468501975319945,-0.8259365171880908
1,7,dACC,MFC,False,0.1455026455026455,-0.2738718080311274,baseline,category,-,,
1,8,dACC,MFC,False,0.46957671957671954,-0.3758614813989628,baseline,category,-,-0.1795225251688214,-0.8028491395398031
1,9,dACC,MFC,False,15.05621693121693,-0.04625827253050243,baseline,category,-,-0.2572648722739761,-1.150523485254823
1,10,dACC,MFC,False,0.3108465608465608,-1.8114504487188021,baseline,category,-,-0.46622642311011725,-2.085027949961602
1,11,dACC,MFC,False,0.4497354497354497,-1.2130622183118331,baseline,category,-,-0.2885271663527134,-1.2903327146401145
1,12,dACC,MFC,False,1.8584656084656082,-0.6631717380573464,baseline,category,-,-0.2784808550515314,-1.24540424465498
1,13,dACC,MFC,False,4.120370370370371,-0.16342534643217416,baseline,category,-,-0.15071781756703323,-0.6740305710005966
1,14,dACC,MFC,False,3.9980158730158726,-0.25591386756557455,baseline,category,-,-0.2642594664331665,-1.1818042612847683
1,15,dACC,MFC,False,1.9510582010582012,-0.35669438079668636,baseline,category,-,-0.218668748177958,-0.9779163709613948
1,16,dACC,MFC,False,4.0476190476190474,0.09078508629816867,baseline,category,-,-0.3149108393946086,-1.0451541615783164
1,17,dACC,MFC,False,1.832010582010582,-0.5687544188364776,baseline,category,-,-0.12272886379860642,-0.5488601645099941
1,18,dACC,MFC,False,3.4093915343915353,0.1255733433005971,baseline,category,-,-0.11056011545233657,-0.31199652360001984
1,19,dACC,MFC,False,3.118386243386243,-0.4048502197381217,baseline,category,-,-0.31374536450957696,-1.4031119253377282
1,20,dACC,MFC,False,6.537698412698412,-0.29142522982520885,baseline,category,-,-0.45014553832565596,-2.013112046928807
