area,n_subjects,n_concept_cells,cells_per_animate_image,cells_per_inanimate_image,ratio,frac_cells_animate,frac_images_animate_shown,wilcoxon_p
amygdala,14,101,0.1597939607633485,0.06992126810238265,2.2853412859928284,0.7920792079207921,0.6516203703703703,0.17700734666467977
hippocampus,8,33,0.06659652351616638,0.05692616959064327,1.1698753665504413,0.6363636363636364,0.6424242424242425,0.9453125
dACC,4,15,0.15272727272727274,0.0,152727272.72727272,1.0,0.594017094017094,
preSMA,8,11,0.018122874149659865,0.022747507122507123,0.7966971524421902,0.5454545454545454,0.5967078189300411,0.5625
vmPFC,1,3,0.020833333333333332,0.13333333333333333,0.15625,0.3333333333333333,0.7619047619047619,
MTL,16,134,0.17311797742601315,0.08964419438490645,1.9311677528462605,0.753731343283582,0.6422018348623854,0.5013759517643173
MFC,10,29,0.07767254174397033,0.03153133903133902,2.46334421975456,0.7586206896551724,0.6274509803921569,0.431640625
