region,ref,t,mean,sem,count,p
MFC,alexnet conv1,-0.2,0.00032974212280104527,0.003765113672131958,19,0.931178838068673
MFC,alexnet conv1,-0.175,0.002830995181116322,0.004140662116440014,19,0.5028682033369012
MFC,alexnet conv1,-0.15,0.0015335960562432877,0.004551322001530914,19,0.7400469503470279
MFC,alexnet conv1,-0.125,0.0017561659889157887,0.0050975292443432825,19,0.7344528042070113
MFC,alexnet conv1,-0.1,-0.0036261116000081395,0.004769168305645063,19,0.4569055731610968
MFC,alexnet conv1,-0.075,-0.00506875465343596,0.004713592003869868,19,0.2964221618751334
MFC,alexnet conv1,-0.05,-0.000516118351506841,0.004450995745514947,19,0.9089715168676882
MFC,alexnet conv1,-0.025,0.0010191901903378628,0.0034377694661270417,19,0.7702659140857082
MFC,alexnet conv1,-0.0,-0.001447597490116866,0.0030732265128578873,19,0.6432739466749231
MFC,alexnet conv1,0.025,-0.002354756053824696,0.004573144231642558,19,0.6128813794476841
MFC,alexnet conv1,0.05,-0.004563171381442365,0.004439415107624477,19,0.31762317565412035
MFC,alexnet conv1,0.075,-0.0001770399551667922,0.005213412934065556,19,0.9732839435519013
MFC,alexnet conv1,0.1,0.0005792952369643696,0.004095942341482312,19,0.8890999420449532
MFC,alexnet conv1,0.125,0.006269838224431087,0.004638203525812186,19,0.19318882139449364
MFC,alexnet conv1,0.15,0.006085302806499737,0.00418411269468232,19,0.16305619761123966
MFC,alexnet conv1,0.175,0.0017937375373153442,0.003948357512148711,19,0.6550437108409226
MFC,alexnet conv1,0.2,0.001485806543152218,0.0032981062516531435,19,0.6577270459547206
MFC,alexnet conv1,0.225,0.004316595343945603,0.0035041541976532893,19,0.2338555737553861
MFC,alexnet conv1,0.25,-0.001020185163824204,0.0035130963531202317,19,0.774833291637675
MFC,alexnet conv1,0.275,-0.0028760837645819028,0.0035327105234663333,19,0.42621062592473
MFC,alexnet conv1,0.3,-0.004370668382307607,0.0037095155560305563,19,0.2540468137287865
MFC,alexnet conv1,0.325,0.0006187511761986608,0.0039755212820840515,19,0.8780487260510255
MFC,alexnet conv1,0.35,0.0019295328474931252,0.004634031224118735,19,0.6820524503614358
MFC,alexnet conv1,0.375,0.006886277754180481,0.003907326112693685,19,0.09497353177345166
MFC,alexnet conv1,0.4,0.008971171648797835,0.004449342670717871,19,0.05894284918143343
MFC,alexnet conv1,0.425,0.0033957718604763613,0.003901391099807788,19,0.39554157334723783
MFC,alexnet conv1,0.45,0.009661939086265567,0.004813044038978531,19,0.05995595356952954
MFC,alexnet conv1,0.475,0.004117835517810879,0.004715559319428563,19,0.3940307510041894
MFC,alexnet conv1,0.5,0.008832661007180827,0.005725583299392405,19,0.14030968276660633
MFC,alexnet conv1,0.525,0.005857873391696432,0.004942376984116253,19,0.2513373707323268
MFC,alexnet conv1,0.55,0.008767934393058658,0.005502338844668447,19,0.12845797352795488
MFC,alexnet conv1,0.575,0.009016660108110813,0.004948309205049914,19,0.08508763989609683
MFC,alexnet conv1,0.6,0.008289026430420754,0.005845508128331171,19,0.17326647003914436
MFC,alexnet conv1,0.625,0.008483258743873933,0.00661486211656721,19,0.21595362945324278
MFC,alexnet conv1,0.65,0.012247690876459832,0.006234779104777376,19,0.06511308255420825
MFC,alexnet conv1,0.675,0.013169512710137145,0.004947490110014372,19,0.01588554264076179
MFC,alexnet conv1,0.7,0.010597154638571386,0.004898780562190375,19,0.04422470001171409
MFC,alexnet conv1,0.725,0.010501548681084761,0.0049462652309753136,19,0.04786715076575235
MFC,alexnet conv1,0.75,0.002513667035317356,0.004801054410533399,19,0.6069672916799378
MFC,alexnet conv1,0.775,0.002954356034481221,0.005726447275058981,19,0.6121935433538601
MFC,alexnet conv1,0.8,0.0018078342105433205,0.0052369178079158625,19,0.733938045153882
MFC,alexnet conv1,0.825,0.002325520180103652,0.005551205341752631,19,0.6802298601632699
MFC,alexnet conv1,0.85,0.0062835123592031045,0.005257677649689262,19,0.24755267084172164
MFC,alexnet conv1,0.875,0.00851681010063304,0.004306272552801679,19,0.06347179022868588
MFC,alexnet conv1,0.9,0.0020866880630205824,0.005092266418458187,19,0.6868058988294861
MFC,alexnet conv1,0.925,0.007670441517619459,0.005619012368697837,19,0.1890461718370578
MFC,alexnet conv1,0.95,0.0034154558053753315,0.004941119777194323,19,0.4982390737187452
MFC,alexnet conv1,0.975,0.005714019210407037,0.0039305390620093415,19,0.16322978438248514
MFC,alexnet conv1,1.0,0.002797808820132132,0.005279409735293284,19,0.6026248926489548
MFC,alexnet conv1,1.025,0.004159613523273587,0.00477314886679366,19,0.39497760240224344
MFC,alexnet conv1,1.05,0.007608880205125502,0.0050595852154405865,19,0.14996245249066165
MFC,alexnet conv1,1.075,0.011180445571869991,0.00408377260451191,19,0.013520273806811915
MFC,alexnet conv1,1.1,0.009207459108824053,0.0035411571913342,19,0.018094532902926227
MFC,alexnet conv1,1.125,0.008193874271148803,0.0035401571826171405,19,0.03265122276680263
MFC,alexnet conv1,1.15,0.000337466171722649,0.004531285521968886,19,0.9414540935580666
MFC,alexnet conv1,1.175,-0.0008139704602267922,0.004967551036492578,19,0.8716691729222668
MFC,alexnet conv1,1.2,0.002218241610782852,0.005724544584430624,19,0.7029324223242984
MFC,alexnet conv4,-0.2,-0.000993632143553754,0.004332868877266493,19,0.8212024128969834
MFC,alexnet conv4,-0.175,-0.006726739208109171,0.004985988093233879,19,0.19402341620856575
MFC,alexnet conv4,-0.15,-0.00861133728752545,0.004720867633475454,19,0.08478391045862949
MFC,alexnet conv4,-0.125,-0.004633377849471937,0.004243904061424416,19,0.28933153317401694
MFC,alexnet conv4,-0.1,-0.005155822802011074,0.004405252653559777,19,0.25711068652887553
MFC,alexnet conv4,-0.075,-0.003253720754824164,0.004373363139976183,19,0.4664868651181965
MFC,alexnet conv4,-0.05,0.0016430639539785827,0.0031103359840038355,19,0.6037719909468876
MFC,alexnet conv4,-0.025,0.003726578022386841,0.004338015120759028,19,0.4016080230796719
