region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MTL,alexnet,logits,gap,18.0,0.04983330416414504,0.016779929652294676,2.912644733916343,0.009699040215497891,0.19608948044334173,0.7777777777777778
MTL,baseline,category,-,18.0,0.05543839696153654,0.017939350593358164,3.032036372405395,0.007522469819430848,0.21814500641964285,0.7777777777777778
MTL,baseline,lowlevel,-,18.0,0.013951553995024901,0.006492763034252951,2.144590539520662,0.046730845170344384,0.05489808512898148,0.5555555555555556
MTL,clip_vitb32,block11,cls,18.0,0.05765889335270851,0.021270428580362162,2.625917162470031,0.01770391672697927,0.2268824560223627,0.7777777777777778
MTL,clip_vitb32,block11,gap,18.0,0.03364431220986682,0.010334672996418017,3.230540166788386,0.004913633594125627,0.13238728219536974,0.8333333333333334
MTL,clip_vitb32,block2,cls,18.0,0.027231902538771335,0.014675002030159045,1.8310694112092967,0.08467492243650597,0.1071550383800043,0.6111111111111112
MTL,clip_vitb32,block2,gap,18.0,0.02318929052224581,0.010504438557004161,2.193655638537915,0.042450928772903455,0.0912477309427251,0.7222222222222222
MTL,clip_vitb32,block5,cls,18.0,0.03195784783729746,0.013885302310963856,2.2773645368384234,0.035973903300660304,0.12575119959659098,0.7777777777777778
MTL,clip_vitb32,block5,gap,18.0,0.04641173245638832,0.01799178959355352,2.5252525363425393,0.021790337730637325,0.18262590965012934,0.8888888888888888
MTL,clip_vitb32,block8,cls,18.0,0.05405928846577004,0.021582909080369934,2.428167706594841,0.026566149024203883,0.21271834100088813,0.7777777777777778
MTL,clip_vitb32,block8,gap,18.0,0.046039965823351556,0.015372172293699742,2.9451815492841833,0.009051646098280523,0.18116304205302547,0.8333333333333334
MTL,clip_vitb32,embed,gap,18.0,0.050994383034503016,0.0198466777450822,2.4990663203412513,0.022991698551624914,0.2006582192869934,0.7222222222222222
MTL,clip_vitb32,ln_post,cls,18.0,0.06139844906594554,0.022901754269734502,2.5793461794392667,0.01949445133459842,0.24159726470697687,0.7777777777777778
MTL,clip_vitb32,ln_post,gap,18.0,0.035812614288932204,0.011495458816803226,3.085801239566672,0.00670541283917442,0.14091935196797908,0.8888888888888888
MTL,convnext_tiny,avgpool,gap,18.0,0.04069647552796635,0.011085534385176957,3.644060600867168,0.002007424639272935,0.16013689792409538,0.7777777777777778
