area,n_cells,early_mean,late_mean,late_minus_early,wilcoxon_p
amygdala,101,0.130188898795922,0.17053839628033057,0.040349497484408546,0.0005529611093069801
hippocampus,33,0.05587167553255475,0.07137320014222671,0.015501524609671956,0.6849592779763043
dACC,15,0.03856343989924227,0.17585040701211757,0.13728696711287533,6.103515625e-05
preSMA,11,0.029130397746576938,0.05021812879606951,0.021087731049492575,0.8984375
