contrast,n_subjects,n_memoranda,n_rest,n_memoranda_hit,frac_memoranda,frac_rest,odds_ratio,p_fisher,auc_pooled,auc_within_subject_mean,auc_within_subject_sem,n_subjects_within,p_mannwhitney,q_fisher
famous vs rest (all pictures),20,100,1115,56,0.56,0.43766816143497755,1.6352459016393444,0.020800913291978564,0.5611659192825112,0.5660133708655877,0.025288227606263505,20,0.018494929254045805,0.028275177472819976
famous vs non-famous person (n_people>0),20,63,564,56,0.8888888888888888,0.8652482269503546,1.2459016393442623,0.6985362626629832,0.5118203309692672,0.5114529406420826,0.01956663394912095,17,0.6002201974764897,0.6985362626629832
person (n_people>0) vs rest,20,100,1115,63,0.63,0.5058295964125561,1.66345600920069,0.021206383104614982,0.562085201793722,0.5661963406052075,0.026257969839762765,20,0.017355387592444628,0.028275177472819976
fictional/costumed character vs rest,20,100,1115,13,0.13,0.06188340807174888,2.26520073296685,0.019139274068853532,0.5340582959641256,0.5349419422941589,0.015420372148433517,20,0.009330954233686736,0.028275177472819976
