subject,region,unique_clip,unique_resnet50,unique_category,shared_clip_resnet50,shared_clip_category,shared_resnet50_category,total,shared_clip_resnet50_category
1,MTL,5.244446605923159e-05,0.006294937346661533,0.002730309593188429,0.0010445880865088686,-2.289647324160704e-05,-0.002706784383354255,0.00767485124593581,0.00028225261011360914
1,MTL_concept,0.003597668687072564,0.0003430446692492817,0.0013536130978677452,0.0011580654947200841,-0.0008203196923293188,-0.0003184800398432497,0.0051669653909853785,-0.0001466268257517278
2,MTL,1.638669571191187e-05,0.00012197050477047444,6.291652728573904e-05,6.456752840378055e-05,1.9567362575578784e-05,0.00020120161951231452,0.0008467081977420188,0.00036009795948221957
3,MTL,0.0014374071126553867,0.0007091989374768959,0.00037009017123190713,0.00038426591750739814,-0.0003161264480497916,-0.00035105340777707994,0.0029779739535699123,0.0007441916705251961
4,MTL,0.00033390235994446016,0.00011567295501857533,0.0035214209089476922,-3.2891568785387015e-05,0.003155226554466206,0.0005791363799795279,0.011960777458549954,0.004288309868978879
4,MTL_concept,0.003504942504495845,0.0015447682090455883,0.004115647521718779,0.0004795613216014294,0.00870719834524114,0.00647662693572737,0.048651972811389776,0.023823227973559624
5,MTL,0.0003852043404023453,0.003776054381418259,0.0030174796713525742,-0.0002462402785874396,0.0015505569244150808,-0.0020338284676401086,0.0057342865995171355,-0.0007149399718435756
5,MTL_concept,5.248101622912227e-05,1.2314853530037695e-05,1.7305209166096347e-05,7.778071758335336e-06,3.899647670835282e-05,2.249953026567386e-05,0.00020760293025479104,5.622777259717271e-05
7,MTL,1.2871141292780663e-06,0.00010595019854942045,0.011707788326441704,1.3028263391889894e-05,0.0019232031033177277,0.0008350385740775179,0.01678634900537912,0.002200053425471582
7,MTL_concept,5.204762008603758e-06,5.685248645637131e-06,0.008147736043054632,-2.1476658069730092e-06,0.0012303297201853303,0.0013892001497499695,0.012896067907529729,0.0021200596496925295
8,MTL,0.0003539410126895959,0.002609171866336135,4.9849785330735585e-06,-0.00031243226721922035,0.00010028560273767084,0.000294170309516506,0.0029176872996008463,-0.00013243420299291486
8,MTL_concept,0.000773057390118792,1.5445892531662508e-07,0.0018479501774214535,4.410682141497979e-05,-0.0006240898870942813,0.0002885378226201718,0.002163312952517926,-0.0001664038308885063
9,MTL,0.0006711072037912658,0.0007770217095696141,0.0002638847912004305,-0.00041423146289309987,0.00016877259909664488,-0.00026366953795198267,0.0011421751298326122,-6.07101729802606e-05
10,MTL,0.0009326412809327334,0.0011076587809976113,3.330215316754703e-05,-0.0005945607581635537,8.945974940044454e-05,0.00024747434193017614,0.001507779542914478,-0.00030819600535048064
10,MTL_concept,0.00033696342134847956,3.885501075662212e-06,1.371361496182999e-05,3.4617664380398594e-05,3.386521429393774e-05,-3.832958266669628e-06,0.0006523012295954755,0.00023308877180183707
11,MTL,9.031514114354877e-08,0.0014354664597671096,6.512650726486768e-07,0.00028715919032529236,1.0590565657775386e-07,0.0006839760102599346,0.0035511448907108445,0.001143695744488138
11,MTL_concept,0.0006428240225625492,0.0003856829871660139,2.318436811976632e-05,0.0007130708955267462,-2.2885143263540186e-05,4.32885854366738e-05,0.002922593442600374,0.0011374277270521649
12,MTL,9.293731498016822e-05,1.6155535757733652e-05,0.00029631783061567774,-1.615508990171488e-05,6.900661021702614e-05,3.851250259301331e-05,0.0008681256411566807,0.0003713509368947765
12,MTL_concept,0.0016260908421873443,4.1132504253638125e-05,6.08248941009748e-05,0.0006060200205253441,-5.9798849444070434e-05,-3.584015655300199e-05,0.002923983253623863,0.0006855539985536341
13,MTL,0.04183920587136192,0.015098572513185804,1.2947232452820145e-07,0.024159435548053998,0.0034230402711276087,0.006513715088040883,0.157794515546957,0.06676041678286226
13,MTL_concept,0.042905277005738096,0.01842228458455497,2.3451009003805368e-05,0.026759049615196706,0.002956449260431704,0.007002906424757649,0.16967155374476572,0.07160213584508279
14,MTL,0.0190885383849142,0.003619296152302276,0.0002737699809426397,0.008630857238541734,0.00236653228780348,0.0035541153698983585,0.06467805226136414,0.02714494284696145
14,MTL_concept,0.019941931373957944,0.0010986568883842862,0.0007684464345307784,0.0058202220412452155,0.0032838625701612223,0.002449909483114854,0.05663259755958938,0.02326956876819508
15,MTL,5.280968145182641e-05,4.659141751206519e-05,0.00010472507302994316,-2.4168920442768638e-05,5.176984582999644e-05,-4.462332413079917e-05,0.0002394239327354608,5.2320159485197415e-05
15,MTL_concept,0.00010939932074760517,0.0004815251205191329,0.0002863368165763047,-9.662770676488464e-05,0.000124667179533966,-0.0002532722795762776,0.0005797349807357133,-7.229347030013322e-05
16,MTL,0.0019330163739309514,0.0009773209128974836,2.7217207952845435e-05,0.001888406726351155,0.0001325248640487997,0.0007556603990374056,0.009823470609348406,0.004109324125129765
