subject,unit,area,region,t,mean_rate,r_clip ln_post,r_resnet50 avgpool,r_alexnet conv1,r_category one-hot,base_clip ln_post,base_resnet50 avgpool,base_alexnet conv1,base_category one-hot,rdeb_clip ln_post,rdeb_resnet50 avgpool,rdeb_alexnet conv1,rdeb_category one-hot
1,34,amygdala,MTL,-0.3,7.513227513227513,-0.08597887140579655,-0.03061878283129385,-0.052539288545871594,-0.16317785658730405,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,0.16375577439751826,0.08756667730186204,0.07688772451264547,-0.05001382178959378
1,34,amygdala,MTL,-0.25,7.751322751322751,-0.160406212076098,-0.23069126206075916,-0.05816123302031956,-0.2043784561726079,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,0.0893284337272168,-0.11250580192760326,0.0712657800381975,-0.09121442137489762
1,34,amygdala,MTL,-0.2,7.275132275132274,-0.2289540726292813,-0.15226777148158965,-0.22171839308379893,-0.1008374195598851,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,0.020780573174033506,-0.03408231134843376,-0.09229138002528187,0.012326615237825175
1,34,amygdala,MTL,-0.15,7.3015873015873005,-0.4316922492247125,-0.1929853174090595,-0.2512590409612782,-0.24463230355423543,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,-0.1819576034213977,-0.0747998572759036,-0.12183202790276115,-0.13146826875652518
1,34,amygdala,MTL,-0.1,6.613756613756613,-0.34164182368068574,0.015635833116922692,-0.06345710968131694,0.14720586188548107,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,-0.09190717787737093,0.13382129325007858,0.06596990337720011,0.2603698966831913
1,34,amygdala,MTL,-0.05,6.825396825396825,-0.230452862930791,0.10734171756470143,0.020019823760937167,-0.02624429790458733,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,0.0192817828725238,0.22552717769785732,0.14944683681945423,0.08691973689312293
1,34,amygdala,MTL,-0.0,7.275132275132274,-0.06946221046352277,0.186672574091975,-0.18802886215922285,-0.1147878800381367,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,0.18027243533979204,0.3048580342251309,-0.05860184910070579,-0.0016238452404264275
1,34,amygdala,MTL,0.05,6.957671957671956,-0.3662701828538724,-0.09071979722855653,-0.4094114747757872,0.04409063535541405,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,-0.11653553705055761,0.02746566290459937,-0.27998446171727015,0.15725467015312433
1,34,amygdala,MTL,0.1,6.904761904761905,-0.34182005089586004,-0.02044107180368296,-0.31194934626012627,-0.19843247220846946,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,-0.09208540509254523,0.09774438832947294,-0.1825223332016092,-0.08526843741075919
1,34,amygdala,MTL,0.15,6.93121693121693,-0.28957034172433627,-0.02893610975970967,-0.23755688823597657,-0.27378347322291635,-0.2497346458033148,-0.1181854601331559,-0.12942701305851706,-0.11316403479771027,-0.03983569592102146,0.08924935037344622,-0.1081298751774595,-0.1606194384252061
