image_uid,drive,drive_max,n_subj,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,clip_centroid_dist,clip_nn1_dist,clip_nn5_dist,clip_mean_dist,clip_cat_typicality,resnet50_centroid_dist,resnet50_nn1_dist,resnet50_nn5_dist,resnet50_mean_dist,resnet50_cat_typicality,dinov2_centroid_dist,dinov2_nn1_dist,dinov2_nn5_dist,dinov2_mean_dist,dinov2_cat_typicality,alexnet_fc7_centroid_dist,alexnet_fc7_nn1_dist,alexnet_fc7_nn5_dist,alexnet_fc7_mean_dist,alexnet_fc7_cat_typicality,category
img_0000,-0.02921689020700873,-0.08794862673788037,10,0.8448273,0.9951037,0.98342705,0.6900131,0.8425484,0.19436303,0.40504003,0.086727336,0.022786446,0.43338138,0.4458129703998565,0.1524979919195175,0.7337930689130071,83.89002990722656,0.5523604154586792,1.6609963178634644,4.9867786999588315,0.009425,-2.738701615217382,0.0394728779792785,0.4868764321584908,0.5361134447450603,0.3486215997086468,0.2807295540784232,0.3031186584122375,0.5411669116304005,0.7212334537053774,0.5286018929783889,0.2685856803802955,0.3096540752657707,0.8283973856738261,0.564937063683821,0.5449690704633336,0.2904817801641005,0.422248406355056,0.911211916927436,0.4427875748934016,0.465130532031163,0.3251726924486222,0.3442456319686302,0.8277083915860877,0.6231367339593248,face_person
img_0001,-0.15252059539796695,0.12053151201451538,11,0.9486815,0.99914527,0.94870263,0.7424848,0.8000105,0.83799994,0.34160134,0.19961315,0.090370744,0.1325334,0.3951443135738373,0.2472986727952957,0.9999999885110296,51.5396614074707,0.3172567784786224,2.34524917602539,5.542243575131472,0.0208,-2.9330226731093045,0.0275634862482547,0.5224478557619237,0.4935948142418022,0.3223979334908379,0.2230140260105226,0.269912279331617,0.5225768140762791,0.7341074892550066,0.3994456047445531,0.2996414077148452,0.3420746662278839,0.7805772654287131,0.7191440461196296,0.6236391976122742,0.3315956260227146,0.4881416875342251,0.9270694630884498,0.4403870382194559,0.4683716930374076,0.2001268596743332,0.3014440785925881,0.8287702015189616,0.6422419257829562,face_person
img_0002,0.10386251468719625,-0.0487898354474324,12,0.70883256,0.9989157,0.9907273,0.34441328,0.85838926,0.31500086,0.6871993,0.5246392,0.035740476,0.2578012,0.3930331170558929,0.2187804579734802,0.911366520949976,40.8458366394043,0.3919033408164978,1.8653756380081177,5.600790670362861,0.0152916666666666,-2.801611642129191,0.0239633433520793,0.4942375649717134,0.5261759606652268,0.3207869594225112,0.1995872032330655,0.2479005928221463,0.521434785923594,0.7462630215871882,0.5304134861149679,0.2685856803802955,0.2837930701805359,0.8290681280961354,0.5849897297820081,0.5126724329416948,0.2670028555650933,0.3484641073715605,0.9047018801586468,0.5517219324346629,0.5363118233358479,0.2896665518349286,0.3311801327827061,0.8510275053223383,0.5510807724846443,face_person
img_0003,0.3111188814262785,0.3676208612234537,13,0.93661076,0.994638,0.96039385,0.36721754,0.52751714,0.19185054,0.51430833,0.4269034,0.24107665,0.25726655,0.3931104242801666,0.2695851624011993,0.9778935610305896,49.95133209228515,0.372791051864624,2.187988519668579,5.618111144741346,0.0166333333333333,-2.7781419624770853,0.0200978275388479,0.4774032699719915,0.5301327783708633,0.3407109968094179,0.2944728866990875,0.3061072334195086,0.5355590428302435,0.7386341215567063,0.3925466084952818,0.1969431673638914,0.2044981062318992,0.7780229118256317,0.7893606267607016,0.5280179551998865,0.3154414534288842,0.3692089083976644,0.9077950787639248,0.5522436208467879,0.4009449710616255,0.212304827595708,0.2305400525066446,0.8066810911671194,0.7729790496466464,face_person
img_0004,-0.04711604143892712,0.001224029164388437,13,0.83276165,0.9158148,0.97049487,0.4815443,0.4215695,0.08902286,0.6009671,0.70831114,0.05149042,0.12266642,0.557986319065094,0.2895659804344177,0.9915665442031673,44.35938262939453,0.2816691994667053,1.8865140676498413,5.633213419577788,0.0288583333333333,-2.8981229105227344,0.0232307128608226,0.4442509665369684,0.4912857729168423,0.328605593032365,0.2841857492730368,0.3022161427528425,0.5269774572015103,0.7332230467198997,0.4020328916935014,0.3571809157382661,0.4089170825757725,0.781535208512238,0.6590586460015624,0.5398113364709507,0.5066717862976229,0.5255404734832674,0.91017227192069,0.4984111619543735,0.4226505579149031,0.383770721289546,0.3938561011030873,0.8137918788371141,0.6946864925223311,face_person
img_0005,0.2297065904807186,-0.07158199381912168,13,0.21395944,0.9872097,0.855416,0.39543825,0.23103358,0.24633956,0.8419033,0.42262888,0.023702046,0.052079897,0.4038551151752472,0.2391400933265686,0.7964827540882801,40.33669662475586,0.2588991224765777,2.9156432151794434,5.541257571064028,0.0465833333333333,-2.8305601105965503,0.0341884940862655,0.4452160111196576,0.5092959848944929,0.2725436690733458,0.2848993614564369,0.3128295863711409,0.4872348587862621,0.7469951801490271,0.5309072055957151,0.3571809157382661,0.445837047026027,0.8292509277511855,0.4874365446349595,0.5753249117739738,0.5031145888889779,0.5415819508478378,0.917330747191032,0.4536315790718789,0.5711064992081936,0.5364070843679738,0.5837348119137538,0.8624263011184159,0.4151666080809659,face_person
img_0006,0.7099500989808514,0.22089352502954712,16,0.8025528,0.9850697,0.98062736,0.21199995,0.41214326,0.5799009,0.53006834,0.54303795,0.055469826,0.37583888,0.5568504333496094,0.2260303199291229,0.8701730476949558,29.632892608642575,0.1225716695189476,2.7530596256256104,4.758248433214922,0.02365,-2.8845210031550463,0.026923207566142,0.4958674164517151,0.5492448776874984,0.3502374530107789,0.2468828173419566,0.2885420374131824,0.5423123986980853,0.7365007231393061,0.4508841450595869,0.2938868154886069,0.3152223933058726,0.7996223867831188,0.655978095576445,0.4957846833653079,0.3128118250285389,0.3976109277033384,0.9012978146236288,0.5607547441183074,0.3845151642998594,0.1500688113033695,0.1928639831858365,0.801298658149681,0.7711803207459514,face_person
img_0007,-0.13034467881946515,0.22062042515740807,13,0.18674015,0.92465645,0.73814446,0.8652138,0.15959463,0.18438053,0.32697576,0.89371467,0.024490573,0.0429871,0.509848415851593,0.2534341216087341,0.9736969886203418,27.351364135742188,0.2472592890262603,3.0518975257873535,5.745366156232313,0.02745,-3.0663773383855615,0.0197100043296813,0.5153256033102168,0.5502559233092126,0.2493972670845637,0.2642929814788777,0.3165904216239077,0.4708262503398142,0.7674794805068029,0.3920609479183226,0.31736641187221,0.3621744715317773,0.7778430959799917,0.7021097633079086,0.452795299866684,0.4098945349114238,0.4744563434853416,0.892632439875062,0.5753738794861689,0.4778357816450699,0.4381516013348489,0.4775388268711067,0.8318706532613634,0.5870710014611318,face_person
img_0008,0.6260064653307966,0.48411331072007263,12,0.50162935,0.9861829,0.9482176,0.76703167,0.27971548,0.27818477,0.6296879,0.6581288,0.041978206,0.04547727,0.2850612998008728,0.2843014597892761,0.9999999898088056,39.74589920043945,0.4409448504447937,3.2093937397003174,5.266708117343475,0.0442166666666666,-3.205212951745558,0.0193202123045921,0.5391331492866775,0.5188791227945936,0.2910466122269667,0.229152187947593,0.2852816002692445,0.5003516943731403,0.772272357346201,0.3759744982374053,0.1691781109086266,0.2053143563158416,0.7718870874218507,0.7630162273773509,0.5088233345978841,0.3809636258748976,0.4344329118481829,0.903926016983166,0.5531122611653231,0.3776402922252777,0.2619736767184869,0.2877741396079851,0.7990464382068994,0.7451200489027943,face_person
img_0009,0.17503120842209202,-0.1269877076276918,10,0.25387508,0.9719425,0.98035,0.5863702,0.09667996,0.78772616,0.66142845,0.35700864,0.24441828,0.088976465,0.455033391714096,0.2297869175672531,0.874022396595438,63.538089752197266,0.3630058467388153,3.1716387271881104,5.4565284113374695,0.023625,-2.8877316208437027,0.0240038949996233,0.4982681909907855,0.581109661398425,0.2700134865661235,0.2266491807939867,0.2660717050927841,0.4854411988438147,0.7428139800716753,0.448653276525785,0.2334987607752346,0.2867543247187541,0.7987964076302936,0.6098111134355104,0.4714371006088811,0.234632370213352,0.2996618992636083,0.8963900696960251,0.5827287896059363,0.4118289563247335,0.1413724677555695,0.2077114970797712,0.8102467035015136,0.733137204731605,face_person
