subject,unit,area,t,pref_minus_nonpref,rho_alexnet conv1,rho_resnet50 avgpool,rho_clip ln_post
1,34,amygdala,-0.15,-0.6451612903225801,0.05078744549840137,-0.08939509637501415,-0.02349142778206599
1,34,amygdala,-0.125,-0.13440860215053796,0.1340596659119799,-0.1349576732434477,-0.07453460851182807
1,34,amygdala,-0.1,5.134408602150536,-0.006962619300360381,-0.027671292145917542,-0.02111823868675483
1,34,amygdala,-0.075,7.043010752688174,0.13607333070463726,-0.150582369908736,-0.21140283178366395
1,34,amygdala,-0.05,6.612903225806451,0.2376914699133961,-0.15240971921954977,-0.26420419697816966
1,34,amygdala,-0.025,7.983870967741934,0.08197718950426866,-0.1453080853584244,-0.2588228332585631
1,34,amygdala,-0.0,6.155913978494625,0.0607459491584684,-0.21860868524523341,-0.43844507809451166
1,34,amygdala,0.025,2.983870967741935,-0.03324906656952365,-0.11995691630340036,-0.3269789248057376
1,34,amygdala,0.05,1.397849462365591,-0.11130156716424036,-0.03676015062305186,-0.21175378431820496
1,34,amygdala,0.075,3.172043010752687,0.008712067960900308,-0.04131863810695994,-0.2155090495591129
1,34,amygdala,0.1,1.4516129032258078,0.028773541613417518,-0.06945337630824917,-0.12137804335774975
1,34,amygdala,0.125,2.93010752688172,0.08015013055136357,0.08769127443032212,-0.05210013254212921
1,34,amygdala,0.15,1.424731182795699,0.09982365266742736,0.0661328513331565,-0.1814257297266825
1,34,amygdala,0.175,-1.8010752688172058,0.11213220137432793,0.023436732690632456,-0.1495181491455994
1,34,amygdala,0.2,-1.720430107526882,0.00918247585521819,0.10294038721902497,-0.042096946095252365
1,34,amygdala,0.225,-0.026881720430107947,-0.02259649877380144,0.04886142575890774,-0.02223984603103569
1,34,amygdala,0.25,-0.349462365591398,-0.10377958435573265,0.03430477678065906,0.14207979878814503
1,34,amygdala,0.275,4.327956989247312,-0.11390981286448448,0.15421949212106137,0.24552027983785063
1,34,amygdala,0.3,3.198924731182796,-0.1646678623188994,0.12912035281892698,0.24382336809387373
1,34,amygdala,0.325,-0.026881720430107947,-0.0822004628332999,0.11578747533029626,0.24487245825781362
1,34,amygdala,0.35,1.0752688172043001,-0.07855876143819843,0.23821453185702496,0.28664429496658317
1,34,amygdala,0.375,-0.32258064516128826,-0.14347097973830514,0.14268253790673496,0.24202620868457927
1,34,amygdala,0.4,2.39247311827957,-0.03698664146020777,0.014779393870963354,-0.0006359463799898171
1,34,amygdala,0.425,2.204301075268818,-0.18787605984913752,0.09636559909187936,0.008312200185450948
1,34,amygdala,0.45,6.478494623655915,-0.16757115785923168,0.06006262073851571,-0.026121909019413636
1,34,amygdala,0.475,5.080645161290322,-0.1350981174227339,0.057070816170296475,-0.04842372281116064
1,34,amygdala,0.5,3.602150537634408,-0.12049457133289596,0.1356519222722349,0.05005746990890922
1,34,amygdala,0.525,9.784946236559142,-0.12093539157633668,0.0816772754238159,0.11550553525134516
1,34,amygdala,0.55,3.252688172043011,-0.05990377382952099,0.000994147735894178,-0.02809104628090728
1,34,amygdala,0.575,7.903225806451612,0.07810525486202581,0.11105193403020935,0.06423966401518409
1,34,amygdala,0.6,12.849462365591398,0.020119017161527433,0.11043839761738573,-0.0005595681132156808
1,34,amygdala,0.625,15.107526881720432,0.08575496695479616,0.1437265526109919,0.07495884641335107
1,34,amygdala,0.65,16.559139784946233,0.05357427203795169,0.20037339799411308,0.15405477367136322
1,34,amygdala,0.675,12.93010752688172,-0.08449289420363607,0.2536830802987307,0.1091483652972281
1,34,amygdala,0.7,7.71505376344086,-0.005133562658455933,0.23014195579774333,0.1905547810683568
1,34,amygdala,0.725,1.1290322580645142,-0.02987962030386528,0.15019046099701655,0.17904768197483
1,34,amygdala,0.75,1.048387096774194,-0.07225725222199962,0.17681864649243734,0.21692473602850135
1,34,amygdala,0.775,4.596774193548387,-0.09710831298099999,0.24356339901448282,0.3931122464673183
1,34,amygdala,0.8,4.54301075268817,-0.1426323327329453,0.25370996562845044,0.3630826268391907
1,34,amygdala,0.825,2.28494623655914,-0.052075393196311326,0.22026621190498316,0.251841682023527
1,34,amygdala,0.85,5.725806451612904,-0.1077690904065716,0.18102857163104355,0.24634394593054665
1,34,amygdala,0.875,5.940860215053765,-0.14142175671762863,0.09758838977672667,0.10611083778903203
1,34,amygdala,0.9,7.123655913978494,-0.15101312402475778,0.07606605826171278,-0.011698557940617813
1,34,amygdala,0.925,9.220430107526884,-0.17592981424351664,0.12871055674092777,0.021629466339895553
1,34,amygdala,0.95,3.46774193548387,-0.049972545985477665,0.1288605040755294,-0.07921856526451039
1,34,amygdala,0.975,-1.9086021505376332,-0.08662814097889182,0.08935037624606992,0.003561803153317138
1,34,amygdala,1.0,-0.05376344086021412,-0.20433825343872639,0.2867802733319572,0.17090894225784492
1,34,amygdala,1.025,-1.881720430107527,-0.2145388840641648,0.38184823512331756,0.2699193203458482
1,34,amygdala,1.05,3.494623655913978,-0.2310726399209545,0.28643830720262164,0.3501649039817045
1,34,amygdala,1.075,8.440860215053762,-0.1542374372612277,0.2661341856099967,0.2605227690071407
1,34,amygdala,1.1,7.284946236559139,-0.04267156500024747,0.13643202993225725,0.269049557629689
1,34,amygdala,1.125,9.05913978494624,-0.05305712283010118,0.05280167207020661,0.21051697122911114
1,34,amygdala,1.15,8.897849462365592,-0.061702100066068695,0.11428103130029281,0.17987127852867968
1,36,amygdala,-0.15,1.6935483870967758,-0.0652111968297019,-0.12919920591113274,-0.11722215920931174
1,36,amygdala,-0.125,3.25268817204301,0.018353496431160188,-0.1513268786524628,-0.09831134717861013
1,36,amygdala,-0.1,6.908602150537635,-0.07171342365244157,-0.14684541677106142,-0.04742627341511522
1,36,amygdala,-0.075,5.268817204301075,-0.04810580062451326,-0.13404361403481227,-0.08201184981932122
1,36,amygdala,-0.05,8.68279569892473,-0.009407782463786853,-0.03903718429946338,0.015236517251133057
1,36,amygdala,-0.025,5.618279569892472,0.0009711407972024979,0.10038529082661612,0.18428674443755824
1,36,amygdala,-0.0,3.790322580645161,0.053763911147379655,0.2151580520393232,0.18233646437697046
1,36,amygdala,0.025,8.924731182795698,0.022070483586825312,0.25344059360455007,0.20544685993192763
1,36,amygdala,0.05,2.311827956989248,-0.05712101025916437,0.2646317286559408,0.18372732816811727
1,36,amygdala,0.075,3.897849462365591,-0.10268828147846083,0.13615743436362926,-0.021603748761253427
1,36,amygdala,0.1,0.8870967741935489,-0.1677191726095,0.006566701304180606,-0.03439213990438559
1,36,amygdala,0.125,-0.940860215053763,-0.18932356128629438,-0.13014403991083937,-0.1183335891933292
1,36,amygdala,0.15,0.8870967741935489,-0.244408201951415,-0.16092563813191385,-0.15944761960275294
1,36,amygdala,0.175,0.7795698924731198,-0.13227583124083642,-0.04774498427754408,-0.00942637731322299
1,36,amygdala,0.2,3.951612903225807,-0.1438311737243554,-0.08988811034244541,-0.05702770925582824
1,36,amygdala,0.225,0.887096774193548,-0.08469132907273139,0.08374662627632164,0.07235912770338279
1,36,amygdala,0.25,-0.5376344086021501,0.1017378265960604,0.12073229158664234,0.12336190165926321
1,36,amygdala,0.275,-2.0430107526881716,0.030191431834887605,0.2134107307007974,0.18546895678417408
1,36,amygdala,0.3,-2.2043010752688166,0.12037331104116256,0.3690852508424362,0.3233612635519331
1,36,amygdala,0.325,0.913978494623656,0.11702853679493959,0.27681504302817006,0.2243707194852096
