subject,unit,area,hemisphere,pref_image,pref_category,pref_is_face,n_same,n_diff,space,scope,rho,rho_null,n_null
2,0,amygdala,L,img_0071,object,False,4,58,clip ln_post,category,0.052189675900534416,-0.17062885912799033,20
2,0,amygdala,L,img_0071,object,False,4,58,resnet50 avgpool,all,0.1414242117661187,-0.262338214389347,20
2,0,amygdala,L,img_0071,object,False,4,58,resnet50 avgpool,same,,-0.07632980594774398,20
2,0,amygdala,L,img_0071,object,False,4,58,resnet50 avgpool,diff,0.12759265630404443,-0.335029628679887,20
2,0,amygdala,L,img_0071,object,False,4,58,resnet50 avgpool,partial,0.13170688848585327,-0.21163805530358298,20
2,0,amygdala,L,img_0071,object,False,4,58,resnet50 avgpool,category,0.052189675900534416,-0.17062885912799033,20
2,0,amygdala,L,img_0071,object,False,4,58,alexnet conv1,all,-0.13185434471337248,-0.02205226933566003,20
2,0,amygdala,L,img_0071,object,False,4,58,alexnet conv1,same,,0.0908982146615557,20
2,0,amygdala,L,img_0071,object,False,4,58,alexnet conv1,diff,-0.2002926172052696,-0.019991325646595778,20
2,0,amygdala,L,img_0071,object,False,4,58,alexnet conv1,partial,-0.14588305553353426,0.02874520584521929,20
2,0,amygdala,L,img_0071,object,False,4,58,alexnet conv1,category,0.052189675900534416,-0.17062885912799033,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,clip ln_post,all,-0.10863530925127476,-0.07777884859698267,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,clip ln_post,same,0.02657688501220449,-0.04255043552717016,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,clip ln_post,diff,-0.10419742474196157,0.007198294889335453,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,clip ln_post,partial,-0.012334323895112687,-0.01394610743737994,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,clip ln_post,category,-0.1250396225168367,-0.10557864251046516,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,resnet50 avgpool,all,-0.09788810105020591,-0.12049018452043798,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,resnet50 avgpool,same,0.04612284806350832,-0.17082298954101058,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,resnet50 avgpool,diff,-0.08107669439981036,0.0015719514472445615,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,resnet50 avgpool,partial,0.0010537470937669116,-0.08030116939814672,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,resnet50 avgpool,category,-0.1250396225168367,-0.10557864251046516,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,alexnet conv1,all,0.14616203153453636,-0.2133837448146882,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,alexnet conv1,same,0.2927675904519034,-0.1216608628695814,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,alexnet conv1,diff,0.08909188091842278,-0.2347276894085179,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,alexnet conv1,partial,0.1762244397692811,-0.19616673739971732,20
3,39,hippocampus,R,img_0020,face_person,True,35,27,alexnet conv1,category,-0.1250396225168367,-0.10557864251046516,20
4,8,amygdala,L,img_0152,face_person,True,28,34,clip ln_post,all,0.16134570721099276,-0.002834081438757374,20
4,8,amygdala,L,img_0152,face_person,True,28,34,clip ln_post,same,0.3211953327955128,-0.0014682995980559153,20
4,8,amygdala,L,img_0152,face_person,True,28,34,clip ln_post,diff,-0.13338338745652584,-0.06985950401571953,20
4,8,amygdala,L,img_0152,face_person,True,28,34,clip ln_post,partial,0.04554403287480792,-0.05081418785116214,20
4,8,amygdala,L,img_0152,face_person,True,28,34,clip ln_post,category,0.16073446609370956,0.03079100866651686,20
4,8,amygdala,L,img_0152,face_person,True,28,34,resnet50 avgpool,all,0.11918706185128114,-0.029811590500212103,20
4,8,amygdala,L,img_0152,face_person,True,28,34,resnet50 avgpool,same,0.04915973279243447,0.0719074782275416,20
4,8,amygdala,L,img_0152,face_person,True,28,34,resnet50 avgpool,diff,-0.11035427421084523,-0.13051178202004743,20
4,8,amygdala,L,img_0152,face_person,True,28,34,resnet50 avgpool,partial,-0.038740353493286986,-0.09414438710543722,20
4,8,amygdala,L,img_0152,face_person,True,28,34,resnet50 avgpool,category,0.16073446609370956,0.03079100866651686,20
4,8,amygdala,L,img_0152,face_person,True,28,34,alexnet conv1,all,0.1676695040149495,0.06196532654429483,20
4,8,amygdala,L,img_0152,face_person,True,28,34,alexnet conv1,same,-0.23198975025643231,-0.0857246958698373,20
4,8,amygdala,L,img_0152,face_person,True,28,34,alexnet conv1,diff,0.26738500614112365,0.09491174177394998,20
4,8,amygdala,L,img_0152,face_person,True,28,34,alexnet conv1,partial,0.07485328314545917,0.030595255604362447,20
4,8,amygdala,L,img_0152,face_person,True,28,34,alexnet conv1,category,0.16073446609370956,0.03079100866651686,20
4,13,amygdala,L,img_0038,face_person,True,28,34,clip ln_post,all,-0.12558417072281652,0.02739516350157283,20
4,13,amygdala,L,img_0038,face_person,True,28,34,clip ln_post,same,-0.21486760546758807,-0.11778025281391964,20
4,13,amygdala,L,img_0038,face_person,True,28,34,clip ln_post,diff,0.29494246344609776,0.2137477013143315,20
4,13,amygdala,L,img_0038,face_person,True,28,34,clip ln_post,partial,0.09971514520012864,0.11566323551073851,20
4,13,amygdala,L,img_0038,face_person,True,28,34,clip ln_post,category,-0.20460782692887114,-0.049791740546912516,20
4,13,amygdala,L,img_0038,face_person,True,28,34,resnet50 avgpool,all,-0.24888222183296038,0.014869218782404709,20
4,13,amygdala,L,img_0038,face_person,True,28,34,resnet50 avgpool,same,-0.14454224429902432,-0.0844414081667368,20
4,13,amygdala,L,img_0038,face_person,True,28,34,resnet50 avgpool,diff,-0.08902179836649843,0.1580070719312546,20
4,13,amygdala,L,img_0038,face_person,True,28,34,resnet50 avgpool,partial,-0.14554059825147989,0.08347363798643237,20
4,13,amygdala,L,img_0038,face_person,True,28,34,resnet50 avgpool,category,-0.20460782692887114,-0.049791740546912516,20
4,13,amygdala,L,img_0038,face_person,True,28,34,alexnet conv1,all,0.013157888437382477,-0.07384292456310257,20
4,13,amygdala,L,img_0038,face_person,True,28,34,alexnet conv1,same,0.29075228372457584,-0.21165674453509037,20
4,13,amygdala,L,img_0038,face_person,True,28,34,alexnet conv1,diff,-0.12413766346608604,0.08600511213595799,20
4,13,amygdala,L,img_0038,face_person,True,28,34,alexnet conv1,partial,0.05216181591284974,-0.03642593032428647,20
4,13,amygdala,L,img_0038,face_person,True,28,34,alexnet conv1,category,-0.20460782692887114,-0.049791740546912516,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,clip ln_post,all,0.18169453934882396,0.047580043835824745,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,clip ln_post,same,0.0,0.04053478055904695,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,clip ln_post,diff,0.06074247956465151,0.130282632329396,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,clip ln_post,partial,0.044165883393220653,0.11386648757893754,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,clip ln_post,category,0.2455871710277954,-0.010920227570946687,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,resnet50 avgpool,all,0.10183910548112923,0.019813614908077693,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,resnet50 avgpool,same,-0.15669700291382416,-0.11549271910593104,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,resnet50 avgpool,diff,-0.07358309368551487,0.14080938631872636,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,resnet50 avgpool,partial,-0.06420233523207752,0.09218384719931769,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,resnet50 avgpool,category,0.2455871710277954,-0.010920227570946687,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,alexnet conv1,all,0.12151803732863917,-0.03193843129800474,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,alexnet conv1,same,0.14747953215418746,0.15056286674457478,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,alexnet conv1,diff,0.016255671067901493,-0.09914549214810872,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,alexnet conv1,partial,0.06547654388871003,-0.01906368236926174,20
4,15,amygdala,L,img_0130,landmark_place,False,11,51,alexnet conv1,category,0.2455871710277954,-0.010920227570946687,20
4,25,amygdala,L,img_0156,animal,False,19,43,clip ln_post,all,0.2358543069126808,-0.012091388976603577,20
4,25,amygdala,L,img_0156,animal,False,19,43,clip ln_post,same,0.455462966180808,-0.09435786609045418,20
4,25,amygdala,L,img_0156,animal,False,19,43,clip ln_post,diff,0.06829601066111227,0.07109122614376465,20
4,25,amygdala,L,img_0156,animal,False,19,43,clip ln_post,partial,0.11026198468270039,0.05109784729020406,20
4,25,amygdala,L,img_0156,animal,False,19,43,clip ln_post,category,0.21416303842686732,-0.05487660229584729,20
4,25,amygdala,L,img_0156,animal,False,19,43,resnet50 avgpool,all,0.2640953534891725,0.004717627053620844,20
4,25,amygdala,L,img_0156,animal,False,19,43,resnet50 avgpool,same,0.2132514465933263,-0.1224247885648572,20
4,25,amygdala,L,img_0156,animal,False,19,43,resnet50 avgpool,diff,0.18169458588492812,0.14754195688188415,20
4,25,amygdala,L,img_0156,animal,False,19,43,resnet50 avgpool,partial,0.15886980158679007,0.054465589247898315,20
4,25,amygdala,L,img_0156,animal,False,19,43,resnet50 avgpool,category,0.21416303842686732,-0.05487660229584729,20
4,25,amygdala,L,img_0156,animal,False,19,43,alexnet conv1,all,-0.013780421478448665,-0.09183003601317434,20
4,25,amygdala,L,img_0156,animal,False,19,43,alexnet conv1,same,0.4054410219181759,-0.08438040696534135,20
4,25,amygdala,L,img_0156,animal,False,19,43,alexnet conv1,diff,-0.16756698190967592,0.028521308579462744,20
4,25,amygdala,L,img_0156,animal,False,19,43,alexnet conv1,partial,0.001971239255589021,-0.04199590200203617,20
4,25,amygdala,L,img_0156,animal,False,19,43,alexnet conv1,category,0.21416303842686732,-0.05487660229584729,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,clip ln_post,all,0.15991436611512128,0.02148733745773069,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,clip ln_post,same,0.1975614599548893,-0.1686140286285079,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,clip ln_post,diff,0.16730393952287417,0.19419110533281492,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,clip ln_post,partial,0.20197626653574555,0.08240397584149103,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,clip ln_post,category,-0.017219765779158003,-0.022949026791830977,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,resnet50 avgpool,all,0.1810346559188205,-0.01131047177582169,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,resnet50 avgpool,same,0.2882588847053309,-0.13781616825193105,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,resnet50 avgpool,diff,-0.019116080841279044,0.09100077666290615,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,resnet50 avgpool,partial,0.19012005747256114,0.0197180278292038,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,resnet50 avgpool,category,-0.017219765779158003,-0.022949026791830977,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,alexnet conv1,all,0.08863968883008377,0.0124770241219101,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,alexnet conv1,same,0.19071120128793753,0.054625837435204536,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,alexnet conv1,diff,0.06468881756688827,0.015836810215259116,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,alexnet conv1,partial,0.1083205812952925,0.011119501547980496,20
4,33,hippocampus,L,img_0114,face_person,True,28,34,alexnet conv1,category,-0.017219765779158003,-0.022949026791830977,20
4,39,amygdala,R,img_0122,face_person,True,28,34,clip ln_post,all,0.309561579218374,0.0206608578523849,20
4,39,amygdala,R,img_0122,face_person,True,28,34,clip ln_post,same,0.35385251720070654,0.04400994004506692,19
4,39,amygdala,R,img_0122,face_person,True,28,34,clip ln_post,diff,-0.15289415743128765,-0.1301259692297097,20
4,39,amygdala,R,img_0122,face_person,True,28,34,clip ln_post,partial,0.1355122803995946,-0.0721636455106299,20
4,39,amygdala,R,img_0122,face_person,True,28,34,clip ln_post,category,0.2838760604660578,0.07458973918764614,20
4,39,amygdala,R,img_0122,face_person,True,28,34,resnet50 avgpool,all,0.28649556169393414,-0.017725992865452678,20
4,39,amygdala,R,img_0122,face_person,True,28,34,resnet50 avgpool,same,0.16594711132199974,-0.036765935122315165,19
4,39,amygdala,R,img_0122,face_person,True,28,34,resnet50 avgpool,diff,-0.0637058989297032,-0.19436083957695463,20
4,39,amygdala,R,img_0122,face_person,True,28,34,resnet50 avgpool,partial,0.08596554754428788,-0.13574839677525566,20
4,39,amygdala,R,img_0122,face_person,True,28,34,resnet50 avgpool,category,0.2838760604660578,0.07458973918764614,20
4,39,amygdala,R,img_0122,face_person,True,28,34,alexnet conv1,all,0.20422265426718872,0.04058022030650653,20
4,39,amygdala,R,img_0122,face_person,True,28,34,alexnet conv1,same,0.033117427856017304,-0.10947682156836436,19
4,39,amygdala,R,img_0122,face_person,True,28,34,alexnet conv1,diff,-0.050964719143762556,-0.004187382431807369,20
4,39,amygdala,R,img_0122,face_person,True,28,34,alexnet conv1,partial,0.002469307331315812,-0.04429625812604785,20
4,39,amygdala,R,img_0122,face_person,True,28,34,alexnet conv1,category,0.2838760604660578,0.07458973918764614,20
4,40,amygdala,R,img_0110,face_person,True,28,34,clip ln_post,all,0.41570742391935206,-0.044215215457667024,20
4,40,amygdala,R,img_0110,face_person,True,28,34,clip ln_post,same,-0.024904679884606075,-0.06063832241532199,20
4,40,amygdala,R,img_0110,face_person,True,28,34,clip ln_post,diff,-0.29494030498566737,-0.12945033918598595,20
4,40,amygdala,R,img_0110,face_person,True,28,34,clip ln_post,partial,-0.21288348587417388,-0.09837417196515201,20
4,40,amygdala,R,img_0110,face_person,True,28,34,clip ln_post,category,0.5990434249884223,0.01729543502916265,20
4,40,amygdala,R,img_0110,face_person,True,28,34,resnet50 avgpool,all,0.4552274780446936,-0.07610796282320867,20
4,40,amygdala,R,img_0110,face_person,True,28,34,resnet50 avgpool,same,-0.042891393134599345,-0.12477290865738251,20
4,40,amygdala,R,img_0110,face_person,True,28,34,resnet50 avgpool,diff,-0.1921369650851513,-0.1020442016031633,20
4,40,amygdala,R,img_0110,face_person,True,28,34,resnet50 avgpool,partial,-0.1301206441993988,-0.14935925465177793,20
4,40,amygdala,R,img_0110,face_person,True,28,34,resnet50 avgpool,category,0.5990434249884223,0.01729543502916265,20
4,40,amygdala,R,img_0110,face_person,True,28,34,alexnet conv1,all,-0.08374909612212038,0.0975703980231771,20
4,40,amygdala,R,img_0110,face_person,True,28,34,alexnet conv1,same,-0.1555158899460957,-0.08426550029501542,20
4,40,amygdala,R,img_0110,face_person,True,28,34,alexnet conv1,diff,-0.4079620491534034,-0.0682316096886956,20
4,40,amygdala,R,img_0110,face_person,True,28,34,alexnet conv1,partial,-0.3230224727720381,-0.06339558326637071,20
4,40,amygdala,R,img_0110,face_person,True,28,34,alexnet conv1,category,0.5990434249884223,0.01729543502916265,20
4,41,amygdala,R,img_0146,face_person,True,28,34,clip ln_post,all,0.4916371206120758,0.029693466024920866,20
4,41,amygdala,R,img_0146,face_person,True,28,34,clip ln_post,same,0.055951862609882934,-0.04872522609030857,20
4,41,amygdala,R,img_0146,face_person,True,28,34,clip ln_post,diff,0.0024656113974268427,-0.14280877883398102,20
4,41,amygdala,R,img_0146,face_person,True,28,34,clip ln_post,partial,0.051662917733470544,-0.11209431622006631,20
4,41,amygdala,R,img_0146,face_person,True,28,34,clip ln_post,category,0.5584623784653318,0.10418944034292735,20
4,41,amygdala,R,img_0146,face_person,True,28,34,resnet50 avgpool,all,0.6160804782768923,-0.006473496552019559,20
4,41,amygdala,R,img_0146,face_person,True,28,34,resnet50 avgpool,same,0.4577630328230128,0.09824626799538841,20
4,41,amygdala,R,img_0146,face_person,True,28,34,resnet50 avgpool,diff,0.2188230115216323,-0.22661761736464348,20
4,41,amygdala,R,img_0146,face_person,True,28,34,resnet50 avgpool,partial,0.3207483574428146,-0.17342373288946347,20
4,41,amygdala,R,img_0146,face_person,True,28,34,resnet50 avgpool,category,0.5584623784653318,0.10418944034292735,20
4,41,amygdala,R,img_0146,face_person,True,28,34,alexnet conv1,all,0.4010823558827676,0.18511759209022433,20
4,41,amygdala,R,img_0146,face_person,True,28,34,alexnet conv1,same,0.28661615895748854,0.03727916592529926,20
4,41,amygdala,R,img_0146,face_person,True,28,34,alexnet conv1,diff,0.13237251189935362,0.05378915507127208,20
4,41,amygdala,R,img_0146,face_person,True,28,34,alexnet conv1,partial,0.10658440599543273,0.06810529251730665,20
4,41,amygdala,R,img_0146,face_person,True,28,34,alexnet conv1,category,0.5584623784653318,0.10418944034292735,20
4,43,amygdala,R,img_0108,face_person,True,28,34,clip ln_post,all,0.3401842326480911,0.012448260140498064,20
4,43,amygdala,R,img_0108,face_person,True,28,34,clip ln_post,same,0.42181390575434025,-0.17495860577887493,20
4,43,amygdala,R,img_0108,face_person,True,28,34,clip ln_post,diff,-0.03995456274493189,-0.009658844984598054,20
4,43,amygdala,R,img_0108,face_person,True,28,34,clip ln_post,partial,0.14665617081928226,-0.07399069935198276,20
4,43,amygdala,R,img_0108,face_person,True,28,34,clip ln_post,category,0.33295661333335436,0.05621942107320915,20
4,43,amygdala,R,img_0108,face_person,True,28,34,resnet50 avgpool,all,0.30633530699306427,-0.016185382969921933,20
4,43,amygdala,R,img_0108,face_person,True,28,34,resnet50 avgpool,same,-0.1258282995624892,-0.1004007086466651,20
4,43,amygdala,R,img_0108,face_person,True,28,34,resnet50 avgpool,diff,0.11509987498443842,-0.12733328848078146,20
4,43,amygdala,R,img_0108,face_person,True,28,34,resnet50 avgpool,partial,0.04240523639895945,-0.13320037125383777,20
4,43,amygdala,R,img_0108,face_person,True,28,34,resnet50 avgpool,category,0.33295661333335436,0.05621942107320915,20
4,43,amygdala,R,img_0108,face_person,True,28,34,alexnet conv1,all,0.3259160756455237,0.07569038843398265,20
4,43,amygdala,R,img_0108,face_person,True,28,34,alexnet conv1,same,0.5559022687454391,-0.10352725916064669,20
4,43,amygdala,R,img_0108,face_person,True,28,34,alexnet conv1,diff,0.03350036414767366,0.040777215694677474,20
4,43,amygdala,R,img_0108,face_person,True,28,34,alexnet conv1,partial,0.21437365011858278,-0.02587994823483538,20
4,43,amygdala,R,img_0108,face_person,True,28,34,alexnet conv1,category,0.33295661333335436,0.05621942107320915,20
4,44,amygdala,R,img_0154,face_person,True,28,34,clip ln_post,all,0.43065144129860616,0.09208910234024283,20
4,44,amygdala,R,img_0154,face_person,True,28,34,clip ln_post,same,0.13638234060461454,-0.13828441451586485,20
4,44,amygdala,R,img_0154,face_person,True,28,34,clip ln_post,diff,0.05643499003346117,0.02350531218411047,20
4,44,amygdala,R,img_0154,face_person,True,28,34,clip ln_post,partial,0.08392583551579709,-0.026328880040878355,20
4,44,amygdala,R,img_0154,face_person,True,28,34,clip ln_post,category,0.45563509238930394,0.13700705935716415,20
4,44,amygdala,R,img_0154,face_person,True,28,34,resnet50 avgpool,all,0.5869565532112087,0.03171757008632265,20
4,44,amygdala,R,img_0154,face_person,True,28,34,resnet50 avgpool,same,0.4283172303325646,0.003813865748153791,20
4,44,amygdala,R,img_0154,face_person,True,28,34,resnet50 avgpool,diff,0.4095742637116776,-0.10028963847727793,20
4,44,amygdala,R,img_0154,face_person,True,28,34,resnet50 avgpool,partial,0.42963413365612335,-0.11941747801826863,20
4,44,amygdala,R,img_0154,face_person,True,28,34,resnet50 avgpool,category,0.45563509238930394,0.13700705935716415,20
4,44,amygdala,R,img_0154,face_person,True,28,34,alexnet conv1,all,-0.0018640738568142755,0.1428925738965498,20
4,44,amygdala,R,img_0154,face_person,True,28,34,alexnet conv1,same,-0.38696435195646656,0.022538398452479524,20
