subject,session,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region
1,2,0,135,5,0.46296296296296297,0.16187506103886165,0.9660339660339661,img_0055,0.39417222474501895,0.2997002997002997,False,0.15271765271765259,0.9800274344418476,0.5288461538461539,0.44808201058201064,0.2222222222222222,dACC,MFC
1,2,1,135,5,1.25,0.6835152491088184,0.6393606393606394,img_0054,1.185642656636296,0.0919080919080919,False,0.36120951417004055,0.9515603125898703,1.7592592592592593,1.1237980769230769,1.7407407407407407,dACC,MFC
1,2,2,135,5,1.5,1.3182515822595422,0.2777222777222777,img_0054,1.3224709127820586,0.07192807192807193,False,0.28190410779696495,0.9423343258527556,1.9444444444444444,1.396297568172568,1.5185185185185186,dACC,MFC
1,2,3,135,5,3.7222222222222223,0.8271641162950604,0.5174825174825175,img_0019,1.1922262068011327,0.1028971028971029,False,0.20016403349736667,0.985000024395419,4.419642857142857,3.534989316239316,4.888888888888889,dACC,MFC
1,2,4,135,5,1.25,1.107784537155726,0.35364635364635366,img_0055,1.082995852364438,0.11488511488511488,False,0.319047619047619,0.9511099351339353,1.6826923076923077,1.1458333333333335,1.3333333333333333,dACC,MFC
1,2,5,135,5,2.314814814814815,1.5877446431248003,0.18081918081918083,img_0054,1.4960253196966524,0.04695304695304695,False,0.32970063025210083,0.9581873970458833,3.1481481481481484,2.1102017195767195,2.2962962962962963,dACC,MFC
1,2,6,135,5,1.4537037037037037,1.3798414005822575,0.23676323676323677,img_0019,1.2407341463187325,0.08591408591408592,False,0.2591897713848933,0.9546407994291027,1.8303571428571428,1.3559472934472934,1.2222222222222223,dACC,MFC
1,2,7,135,5,0.9351851851851852,0.7866397521359509,0.5334665334665335,img_0055,1.3903841939986115,0.07792207792207792,False,0.3108465608465607,0.9650617402125016,1.25,0.861441798941799,1.0,dACC,MFC
1,2,8,135,5,4.87037037037037,0.5662024624244365,0.6853146853146853,img_0055,1.0548191236472488,0.12487512487512488,False,0.1480618817575341,0.9909100587473145,5.528846153846154,4.710234788359788,4.555555555555555,dACC,MFC
1,2,9,135,5,1.712962962962963,0.7674343086116682,0.5554445554445554,img_0054,0.8240699096325188,0.1928071928071928,False,0.19622564935064934,0.9712206990153006,2.037037037037037,1.6373181216931216,1.7777777777777777,dACC,MFC
1,2,10,135,5,3.1481481481481484,0.8497293604141938,0.5054945054945055,img_0054,1.5151841349050703,0.057942057942057944,False,0.22478650867205086,0.9820584944630804,3.8425925925925926,2.9788296194546193,3.1481481481481484,dACC,MFC
1,2,11,135,5,1.3240740740740742,0.2401011080755836,0.8971028971028971,img_0039,0.5878918292208789,0.25274725274725274,False,0.13165350274725252,0.9930328170958609,1.4814814814814814,1.2864392551892552,1.7037037037037037,preSMA,MFC
1,2,12,135,5,7.5,0.3074943042914405,0.8661338661338661,img_0054,0.8481223741045054,0.18681318681318682,False,0.09994302572427571,0.9958498217615646,8.148148148148149,7.333797568172568,9.25925925925926,preSMA,MFC
1,2,13,135,5,0.5277777777777778,1.5770146024878289,0.15784215784215785,img_0019,1.50259503082319,0.04395604395604396,False,0.4310699588477367,0.8719206264019043,0.8035714285714286,0.45717592592592593,0.3333333333333333,preSMA,MFC
1,2,14,135,5,1.2222222222222223,0.5372869479070073,0.7382617382617382,img_0055,0.7549603760287362,0.2077922077922078,False,0.25574570105820116,0.9504977514989561,1.5384615384615385,1.1450066137566137,1.9259259259259258,preSMA,MFC
1,2,15,135,5,0.42592592592592593,1.723717092409332,0.13086913086913088,img_0039,1.3519830181891148,0.04095904095904096,False,0.61492673992674,0.7642480449546223,0.8333333333333334,0.3208943833943834,0.7037037037037037,preSMA,MFC
1,2,16,135,5,3.5555555555555554,0.6735245907260972,0.6153846153846154,img_0039,0.9925242273476582,0.13686313686313686,False,0.1595904095904097,0.9887873854361886,4.074074074074074,3.423890923890924,4.111111111111111,preSMA,MFC
1,2,17,135,5,0.8981481481481481,0.4687687493255641,0.7742257742257742,img_0039,0.9157814047509274,0.12887112887112886,False,0.31540574809805566,0.9628418532699834,1.2037037037037037,0.8240486365486366,1.2962962962962963,preSMA,MFC
1,2,18,135,5,1.5555555555555556,1.844194716902242,0.11388611388611389,img_0055,1.5637758424524772,0.053946053946053944,False,0.367868645042558,0.9232065413382555,2.2115384615384617,1.3979828042328044,1.7037037037037037,preSMA,MFC
1,2,19,135,5,0.24074074074074073,1.3251697972704086,0.26073926073926074,img_0039,1.281274949095418,0.08591408591408592,False,0.5273199023199023,0.7949141956883963,0.4166666666666667,0.19695004070004068,0.18518518518518517,preSMA,MFC
1,2,20,135,5,2.2962962962962963,1.0739668419761723,0.3676323676323676,img_0039,1.0371896371093032,0.14085914085914086,False,0.16395556198187755,0.9797004035117435,2.638888888888889,2.2062283781033782,1.8518518518518519,preSMA,MFC
1,2,21,135,5,1.6851851851851851,1.7026001992805935,0.15084915084915085,img_0054,1.7042551804326964,0.04595404595404595,False,0.30444425366300376,0.9522338777276542,2.2222222222222223,1.5456794363044364,1.7777777777777777,preSMA,MFC
1,2,22,135,5,1.5740740740740742,2.8385797758642695,0.022977022977022976,img_0039,1.6958774949388773,0.027972027972027972,True,0.38667582417582425,0.8776845422745551,2.2685185185185186,1.3913372507122506,0.8888888888888888,preSMA,MFC
1,2,23,135,5,0.09259259259259259,0.26131953812599906,0.964035964035964,img_0054,0.5264557696592643,0.3156843156843157,False,0.42239010989010994,0.8413100725961866,0.1388888888888889,0.08022359584859584,0.14814814814814814,preSMA,MFC
1,2,24,135,5,2.564814814814815,0.2410489545553307,0.9020979020979021,img_0019,0.7292116533111199,0.2177822177822178,False,0.1284277065527064,0.9937559389406865,2.857142857142857,2.4902065527065527,2.0,preSMA,MFC
1,2,25,135,5,1.3518518518518519,2.2549007482801673,0.07892107892107893,img_0019,1.742220051790907,0.022977022977022976,False,0.3942307692307693,0.9074925919809188,1.9642857142857142,1.1899038461538463,1.2222222222222223,preSMA,MFC
1,2,26,135,5,0.3888888888888889,0.9385252241956646,0.46853146853146854,img_0054,1.2788546752905632,0.058941058941058944,False,0.5016189167974883,0.8800884153786941,0.6481481481481481,0.3230247761497761,0.6296296296296297,preSMA,MFC
1,2,27,135,5,6.037037037037037,0.2065366762547808,0.9310689310689311,img_0019,0.7958422922074003,0.19080919080919082,False,0.12463437796771126,0.9958755273156491,6.696428571428571,5.861823361823362,6.814814814814815,preSMA,MFC
1,2,28,135,5,0.7037037037037037,0.7746444112897527,0.5534465534465535,img_0047,0.9080010680025233,0.17282717282717283,False,0.3051167582417582,0.9227084112425978,0.9259259259259259,0.6434104090354091,0.6666666666666666,preSMA,MFC
1,2,29,135,5,1.2685185185185186,0.9883959600309546,0.39760239760239763,img_0039,0.9803377143870458,0.12187812187812187,False,0.21326590076590057,0.9689684330657331,1.5277777777777777,1.201954873829874,1.4074074074074074,preSMA,MFC
1,2,30,135,5,0.7314814814814815,1.2491078085751708,0.3046953046953047,img_0019,1.637122374012112,0.03596403596403597,False,0.39838556505223177,0.9153180769282071,1.0714285714285714,0.6445868945868947,1.0740740740740742,preSMA,MFC
1,2,31,135,5,3.9444444444444446,0.29711110508706523,0.8901098901098901,img_0047,0.6933551977765362,0.21978021978021978,False,0.1299450549450547,0.9926384104867341,4.398148148148148,3.8266305453805454,5.037037037037037,preSMA,MFC
1,2,32,135,5,10.277777777777779,2.724307528596527,0.03896103896103896,img_0054,1.4981970015281076,0.06393606393606394,False,0.09168097527472518,0.9916929891894295,11.11111111111111,10.092433608058608,10.74074074074074,amygdala,MTL
1,2,33,135,5,5.712962962962963,0.4834482965386828,0.7352647352647352,img_0054,0.9725753185006123,0.17782217782217782,False,0.09945464982778418,0.9964514831106362,6.203703703703703,5.5867165242165235,6.0,amygdala,MTL
1,2,34,135,5,1.8333333333333333,1.3539706070818722,0.25274725274725274,img_0019,1.317870131281617,0.07992007992007992,False,0.22680911680911686,0.9751139245384987,2.232142857142857,1.7258725071225072,1.3703703703703705,amygdala,MTL
1,2,35,135,5,5.416666666666667,1.5330280102367184,0.2047952047952048,img_0055,1.9000128168612231,0.025974025974025976,False,0.17315925522032383,0.9904336418237284,6.298076923076923,5.207506613756614,6.666666666666667,amygdala,MTL
1,2,36,135,5,0.7222222222222222,1.3742226509359734,0.23576423576423577,img_0055,1.5208085679080274,0.04195804195804196,False,0.429175293305728,0.9086379808505425,1.1057692307692308,0.631200396825397,0.4444444444444444,amygdala,MTL
1,2,37,135,5,1.2685185185185186,0.9019802974315944,0.47052947052947053,img_0055,1.0978059560667703,0.0989010989010989,False,0.25016033349366673,0.9624747585615155,1.5865384615384615,1.189649470899471,1.4444444444444444,amygdala,MTL
1,2,38,135,5,1.8425925925925926,0.7359684612983295,0.5764235764235764,img_0019,1.1226600536046993,0.12087912087912088,False,0.19780219780219777,0.9826837637288404,2.1875,1.7548076923076923,1.7777777777777777,hippocampus,MTL
1,2,39,135,5,0.5648148148148148,1.182859867641536,0.32167832167832167,img_0054,1.80765095015206,0.03896103896103896,False,0.3513655462184875,0.9432342957851988,0.7870370370370371,0.5104993386243386,0.4074074074074074,hippocampus,MTL
2,2,0,135,5,1.2962962962962963,4.042417154951294,0.006993006993006993,img_0030,2.6937296553626617,0.003996003996003996,True,0.5652068519715578,0.8429604851065139,2.361111111111111,1.0265949328449329,0.9629629629629629,amygdala,MTL
2,2,1,135,5,0.37962962962962965,4.819205315561784,0.002997002997002997,img_0071,2.6975856415191672,0.001998001998001998,True,0.7724682724682725,0.5781150212464661,0.9821428571428571,0.22346866096866097,0.14814814814814814,amygdala,MTL
2,2,2,135,5,0.1388888888888889,1.6744465435336835,0.14685314685314685,img_0030,1.3301390550902443,0.028971028971028972,False,0.6307234432234433,0.5907303208638824,0.2777777777777778,0.10257682132682133,0.14814814814814814,amygdala,MTL
2,2,3,135,5,14.277777777777779,0.5629509480234524,0.7282717282717283,img_0023,1.001967706743662,0.16183816183816183,False,0.056085081406624715,0.9987743980569378,14.951923076923077,14.113343253968253,13.296296296296296,hippocampus,MTL
2,2,4,135,5,0.4537037037037037,0.7520433892339206,0.5264735264735265,img_0023,1.4585189378745123,0.06393606393606394,False,0.403061224489796,0.9404694499831225,0.6730769230769231,0.4017857142857143,0.5185185185185185,hippocampus,MTL
2,2,5,135,5,3.6203703703703702,0.5616220868767948,0.7072927072927073,img_0069,0.8449460958256008,0.18681318681318682,False,0.11343598262202903,0.9933972902094628,3.9814814814814814,3.529838217338217,3.4444444444444446,hippocampus,MTL
2,2,6,135,5,9.601851851851851,2.1387735630238165,0.07292707292707293,img_0085,1.7101752704323354,0.04695304695304695,False,0.12582358118072423,0.9917908891392785,10.694444444444445,9.348831145706145,9.666666666666666,hippocampus,MTL
2,2,7,135,5,9.925925925925926,0.593499924224764,0.6703296703296703,img_0030,1.2905695212583979,0.08591408591408592,False,0.10908639233107298,0.9973069912208723,10.87962962962963,9.692810083435083,10.851851851851851,hippocampus,MTL
2,2,8,135,5,3.6666666666666665,0.8290430323375118,0.4975024975024975,img_0030,1.1310703311532213,0.11788211788211789,False,0.1510683760683762,0.9925413938084102,4.166666666666667,3.5372150997151,2.888888888888889,hippocampus,MTL
