subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
1,MTL,9,63,identity+fine,raw,clip_embed,0.01302232837044129,0.02360332734869205,0.007901288901103334,0.02121339020120031,0.22569040465262155
1,MTL,9,63,identity+fine,raw,clip_ln_post,0.01302232837044129,0.03682918257903631,0.005862845591161429,0.034947690980610784,0.1976430502087487
1,MTL,9,63,identity+fine,raw,resnet50_avgpool,0.01302232837044129,0.07010701576825007,0.013112318414060608,0.07012370751396546,-0.0008233475124187312
1,MTL,9,63,identity+fine,centred,clip_embed,0.021558046956300304,0.02360332734869205,0.010250244528200853,0.014052345877928035,0.5510661578543941
1,MTL,9,63,identity+fine,centred,clip_ln_post,0.021558046956300304,0.03682918257903631,-0.0024456495507942655,0.029967144484208418,0.6365325661177084
1,MTL,9,63,identity+fine,centred,resnet50_avgpool,0.021558046956300304,0.07010701576825007,-0.026755789095599513,0.07186792360842094,0.6093592625611983
1,MTL,9,63,fine-only,raw,clip_embed,0.013707885341507433,0.02360332734869205,0.005142277639997529,0.019892551014587003,0.3792280959764903
1,MTL,9,63,fine-only,raw,clip_ln_post,0.013707885341507433,0.03682918257903631,-0.0038526315813097053,0.0344024359387454,0.4647626136560592
1,MTL,9,63,fine-only,raw,resnet50_avgpool,0.013707885341507433,0.07010701576825007,-0.03803945061627334,0.07853747117093195,0.6201390742310461
1,MTL,9,63,fine-only,centred,clip_embed,0.009668488822392657,0.02360332734869205,-0.0006367959991637954,0.021542656560022157,0.43392399129813586
1,MTL,9,63,fine-only,centred,clip_ln_post,0.009668488822392657,0.03682918257903631,-0.011382307780558418,0.03731514943281669,0.5253216349747324
1,MTL,9,63,fine-only,centred,resnet50_avgpool,0.009668488822392657,0.07010701576825007,-0.03615373098033631,0.07824803032993345,0.5630445726508809
1,MTL_concept,3,63,identity+fine,raw,clip_embed,0.03903171637143554,0.04007370762716616,0.03080640630956301,0.032117117733671305,0.22569040465262155
1,MTL_concept,3,63,identity+fine,raw,clip_ln_post,0.03903171637143554,0.06155312878897011,0.027458860376671307,0.05496405716314137,0.1976430502087487
1,MTL_concept,3,63,identity+fine,raw,resnet50_avgpool,0.03903171637143554,0.03218700511657318,0.03907847866283489,0.03224372331690198,-0.0008233475124187312
1,MTL_concept,3,63,identity+fine,centred,clip_embed,0.040745960845246454,0.04007370762716616,0.02238293652433347,0.021132947679840777,0.5510661578543941
1,MTL_concept,3,63,identity+fine,centred,clip_ln_post,0.040745960845246454,0.06155312878897011,0.0020335352985951355,0.046219266126167384,0.6365325661177084
1,MTL_concept,3,63,identity+fine,centred,resnet50_avgpool,0.040745960845246454,0.03218700511657318,0.026666187041768107,0.009287735604760703,0.6093592625611983
1,MTL_concept,3,63,fine-only,raw,clip_embed,0.008315435923441415,0.04007370762716616,-0.007443151655176067,0.03990209519068352,0.3792280959764903
1,MTL_concept,3,63,fine-only,raw,clip_ln_post,0.008315435923441415,0.06155312878897011,-0.022961256975503365,0.06515486571665112,0.4647626136560592
1,MTL_concept,3,63,fine-only,raw,resnet50_avgpool,0.008315435923441415,0.03218700511657318,-0.014851677324393384,0.03445696919187493,0.6201390742310461
1,MTL_concept,3,63,fine-only,centred,clip_embed,0.02812678045839903,0.04007370762716616,0.011927938097416296,0.030944968182784065,0.43392399129813586
1,MTL_concept,3,63,fine-only,centred,clip_ln_post,0.02812678045839903,0.06155312878897011,-0.004955207849499074,0.05499568791615679,0.5253216349747324
1,MTL_concept,3,63,fine-only,centred,resnet50_avgpool,0.02812678045839903,0.03218700511657318,0.01211147961361538,0.019792255938430488,0.5630445726508809
1,MFC,31,63,identity+fine,raw,clip_embed,-0.0267954321779379,-0.02263738442694734,-0.022266445316763417,-0.017035400503569824,0.22569040465262155
1,MFC,31,63,identity+fine,raw,clip_ln_post,-0.0267954321779379,-0.01951036650495841,-0.02340540476477207,-0.014505679477621549,0.1976430502087487
1,MFC,31,63,identity+fine,raw,resnet50_avgpool,-0.0267954321779379,-0.013613779851133758,-0.02680913458646679,-0.013640744299127951,-0.0008233475124187312
1,MFC,31,63,identity+fine,centred,clip_embed,-0.02342337076874191,-0.02263738442694734,-0.013124008684984466,-0.011662883203485085,0.5510661578543941
1,MFC,31,63,identity+fine,centred,clip_ln_post,-0.02342337076874191,-0.01951036650495841,-0.014270968744089868,-0.005966796556899537,0.6365325661177084
1,MFC,31,63,identity+fine,centred,resnet50_avgpool,-0.02342337076874191,-0.013613779851133758,-0.019080842102986436,0.0008319508850271079,0.6093592625611983
1,MFC,31,63,fine-only,raw,clip_embed,-0.019952053421613148,-0.02263738442694734,-0.012288117759723074,-0.016290882289588426,0.3792280959764903
1,MFC,31,63,fine-only,raw,clip_ln_post,-0.019952053421613148,-0.01951036650495841,-0.012295010577063923,-0.01156429613165409,0.4647626136560592
1,MFC,31,63,fine-only,raw,resnet50_avgpool,-0.019952053421613148,-0.013613779851133758,-0.014672788107854901,-0.0015818888094218577,0.6201390742310461
1,MFC,31,63,fine-only,centred,clip_embed,-0.02519118951576329,-0.02263738442694734,-0.017062249188819028,-0.012997442495641335,0.43392399129813586
1,MFC,31,63,fine-only,centred,clip_ln_post,-0.02519118951576329,-0.01951036650495841,-0.01756346318070404,-0.007379074644313989,0.5253216349747324
1,MFC,31,63,fine-only,centred,resnet50_avgpool,-0.02519118951576329,-0.013613779851133758,-0.02120896213193473,0.0006899144742484631,0.5630445726508809
