region,n,units_median,acc_minus_chance,sem,p_wilcoxon
MFC,19,26.0,-0.015534939200602338,0.006492330114408564,0.022231238286019233
MTL,17,21.0,0.045222481582634644,0.017255458961332265,0.015085824244536002
MTL_concept,11,8.0,0.07400403586274677,0.030806008447426137,0.083984375
amygdala,14,17.5,0.04132928926653471,0.022427746705541683,0.24886387493792206
hippocampus,14,8.5,-0.006701429909365337,0.008231774317497286,0.5076243443095237
