subject,region,t,ref,rho
1,MTL,0.225,resnet50 avgpool,0.002628439039099459
1,MTL,0.225,clip ln_post,0.009096837109735032
1,MTL,0.225,category,-0.0038851252915901606
1,MTL,0.225,low-level,-0.01434852157400164
1,MTL,0.25,alexnet conv1,-0.012436902745674244
1,MTL,0.25,alexnet conv4,0.02495164043066839
1,MTL,0.25,resnet50 avgpool,0.020693450494562213
1,MTL,0.25,clip ln_post,0.01981129003776956
1,MTL,0.25,category,0.002376890331694546
1,MTL,0.25,low-level,-0.020638885329824257
1,MTL,0.275,alexnet conv1,0.02494678833229242
1,MTL,0.275,alexnet conv4,0.04456695692138238
1,MTL,0.275,resnet50 avgpool,0.049670301204091064
1,MTL,0.275,clip ln_post,0.028374091861808018
1,MTL,0.275,category,0.008692051536798175
1,MTL,0.275,low-level,0.00456720352138881
1,MTL,0.3,alexnet conv1,0.030077745436469388
1,MTL,0.3,alexnet conv4,0.06356604080912433
1,MTL,0.3,resnet50 avgpool,0.07256478724083448
1,MTL,0.3,clip ln_post,0.03889441897082058
1,MTL,0.3,category,0.023893520543279485
1,MTL,0.3,low-level,0.0067053776482888265
1,MTL,0.325,alexnet conv1,0.03613010990073703
1,MTL,0.325,alexnet conv4,0.0683696488088569
1,MTL,0.325,resnet50 avgpool,0.07495545735028726
1,MTL,0.325,clip ln_post,0.035879903038965225
1,MTL,0.325,category,0.0128484025562918
1,MTL,0.325,low-level,0.027290092489371847
1,MTL,0.35,alexnet conv1,0.036074608790063994
1,MTL,0.35,alexnet conv4,0.038764612451884006
1,MTL,0.35,resnet50 avgpool,0.044439586117168396
1,MTL,0.35,clip ln_post,0.02726386667212061
1,MTL,0.35,category,0.010852694328677796
1,MTL,0.35,low-level,0.027330191570638297
1,MTL,0.375,alexnet conv1,0.030300287927254973
1,MTL,0.375,alexnet conv4,0.02805148531301396
1,MTL,0.375,resnet50 avgpool,0.029377889849866418
1,MTL,0.375,clip ln_post,0.027310575368140244
1,MTL,0.375,category,0.014473924317442963
1,MTL,0.375,low-level,0.012625548206570364
1,MTL,0.4,alexnet conv1,0.03849022081158685
1,MTL,0.4,alexnet conv4,0.034503152343233603
1,MTL,0.4,resnet50 avgpool,0.034774188432097446
1,MTL,0.4,clip ln_post,0.02824608152138711
1,MTL,0.4,category,0.004367100740499694
1,MTL,0.4,low-level,0.02194671432007204
1,MTL,0.425,alexnet conv1,0.027811349938309405
1,MTL,0.425,alexnet conv4,0.022208294294239032
1,MTL,0.425,resnet50 avgpool,0.02464573753660886
1,MTL,0.425,clip ln_post,0.027662600582452852
