region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MTL,-0.1,clip ln_post,134,-0.18317800977692156,0.013264105989309606,-0.012157299374960464,0.012103987945476824,0.31700758027043086
MTL,-0.05,clip ln_post,134,-0.21447745206134705,0.013572694729467719,-0.043456741659385956,0.015488613877841692,0.005774529543424046
MTL,-0.0,clip ln_post,134,-0.2111226048347806,0.013519044102893818,-0.040101894432819536,0.014992889849030357,0.008417830138490272
MTL,0.05,clip ln_post,134,-0.20353589880741274,0.014716904609352504,-0.03251518840545168,0.016941553583768056,0.05709380201339127
MTL,0.1,clip ln_post,133,-0.17957052356991154,0.013533194946470765,-0.00902940287347515,0.014881093554904273,0.5450456918810238
MTL,0.15,clip ln_post,133,-0.18004257603894339,0.011875992111731236,-0.009501455342506994,0.013673410122273775,0.48834838279865866
MTL,0.2,clip ln_post,134,-0.1847458855645407,0.012971072708643994,-0.013725175162579656,0.01572520650817279,0.3843377061373259
MTL,0.25,clip ln_post,134,-0.08551956356440063,0.020903155560923987,0.08550114683756044,0.023398421338513876,0.00037021323379281474
MTL,0.3,clip ln_post,134,0.022336357406437315,0.025798202383478314,0.1933570678083984,0.027751768633834578,1.3520369134330935e-10
MTL,0.35,clip ln_post,134,0.017294254182031156,0.027707035340594714,0.18831496458399227,0.0283514124075468,7.21763687582323e-10
MTL,0.4,clip ln_post,134,-0.016558655176070414,0.025552255766179584,0.15446205522589063,0.026075156541703025,2.54353417025127e-08
MTL,0.45,clip ln_post,134,-0.03584949426375948,0.025550635575614895,0.1351712161382016,0.02657392091839089,1.2141431303313177e-06
MTL,0.5,clip ln_post,134,-0.047067472156167196,0.021822999654873797,0.12395323824579386,0.022916314437216947,2.8527258406678867e-07
MTL,0.55,clip ln_post,134,-0.06486690934005454,0.017244067502952973,0.10615380106190657,0.018117624551643147,3.4674534103133906e-08
MTL,0.6,clip ln_post,134,-0.08137055742556965,0.01883500015564931,0.08965015297639142,0.019669530989594102,1.1580919093254162e-05
MTL,0.65,clip ln_post,134,-0.10416497742158135,0.019446716624517083,0.06685573298037972,0.020758173419337386,0.0016076170808282232
MTL,0.7,clip ln_post,134,-0.09111107406602487,0.016357550955646682,0.07990963633593622,0.016593973176276425,3.93341716526442e-06
MTL,0.75,clip ln_post,134,-0.11558096569801296,0.017035351253097936,0.05543974470394809,0.018096830297047298,0.002648730179270756
MTL,0.8,clip ln_post,134,-0.10581855919952089,0.01775957075868908,0.06520215120244016,0.018428102180085545,0.000555460735044713
MTL,0.85,clip ln_post,134,-0.1405459806831097,0.016378646110187436,0.03047472971885135,0.018456714729046635,0.10106809892548581
MTL,0.9,clip ln_post,134,-0.15491900184323226,0.013062557129038473,0.016101708558728813,0.01548057585969564,0.30016972981152734
MTL,0.95,clip ln_post,134,-0.17780317478906937,0.015920499750972955,-0.006782464387108287,0.018329754491885772,0.7119525552724497
MTL,1.0,clip ln_post,134,-0.18915780212987537,0.015245676077157617,-0.0181370917279143,0.017430735270302276,0.29998452865836234
MTL,1.05,clip ln_post,134,-0.14464177402273812,0.015557589531162142,0.02637893637922299,0.01644199372207343,0.11100595733393047
MTL,1.1,clip ln_post,133,-0.12608866390094975,0.01612074954210955,0.04445245679548668,0.01807170270076626,0.015195367514772897
MTL,-0.3,resnet50 avgpool,133,-0.11755693710490754,0.016611237232511875,0.0017338218863277622,0.014504264244176288,0.9050302690555435
MTL,-0.25,resnet50 avgpool,133,-0.13033006387146184,0.013515107582574513,-0.011039304880226544,0.010180441124007084,0.28017997357553565
MTL,-0.2,resnet50 avgpool,134,-0.12937707992801945,0.013164935922090372,-0.009773657625541719,0.010522098535831827,0.35463940734468224
MTL,-0.15,resnet50 avgpool,134,-0.11080370578466305,0.015060825295391886,0.008799716517814691,0.013196803862567618,0.5060507869488915
MTL,-0.1,resnet50 avgpool,134,-0.10939344210379146,0.012620232870424774,0.010209980198686274,0.011701395227429027,0.3844842901130413
MTL,-0.05,resnet50 avgpool,134,-0.14127137748051538,0.014605946675697867,-0.021667955178037646,0.015459514569639864,0.16336599965654341
MTL,-0.0,resnet50 avgpool,134,-0.1369633983600334,0.014831994003354509,-0.017359976057555678,0.016175120553832283,0.2851016135400044
MTL,0.05,resnet50 avgpool,134,-0.15582283900533564,0.014012411830773099,-0.03621941670285789,0.01619771189311431,0.027012579616326825
MTL,0.1,resnet50 avgpool,133,-0.12309253072402086,0.012549297718232998,-0.00380177173278555,0.01379373870754386,0.7832742019408899
