region,model,layer,view,n_pairs,rho,p_perm,null_sd
MFC,resnet50,stem,gap,6886,-0.0020535590993654247,0.5970149253731343,0.0111484956664386
amygdala,resnet50,stem,gap,5987,0.003742758765265936,0.43781094527363185,0.011391637704142185
hippocampus,resnet50,stem,gap,6200,0.014904441734946402,0.07462686567164178,0.01086801922491092
MTL_concept,resnet50,stem,gap,5681,0.019885385820908295,0.06467661691542288,0.01186815600571976
MTL,resnet50,layer1,gap,6886,0.024576243662153746,0.04477611940298507,0.013425648078621316
MFC,resnet50,layer1,gap,6886,0.010217288011193634,0.13432835820895522,0.008938752761936399
amygdala,resnet50,layer1,gap,5987,0.011972489337346598,0.10945273631840796,0.009550123014085983
hippocampus,resnet50,layer1,gap,6200,0.01372890223730902,0.0945273631840796,0.009521708806469931
MTL_concept,resnet50,layer1,gap,5681,0.027514351594305295,0.009950248756218905,0.01075313751923189
MTL,resnet50,layer2,gap,6886,0.03723056913889241,0.004975124378109453,0.012439631881103067
MFC,resnet50,layer2,gap,6886,0.004524044642137567,0.32338308457711445,0.008840392803572144
amygdala,resnet50,layer2,gap,5987,0.021978657164306234,0.01990049751243781,0.010228725788434062
hippocampus,resnet50,layer2,gap,6200,0.013890356341902048,0.10945273631840796,0.009824220210894852
MTL_concept,resnet50,layer2,gap,5681,0.04375409894686488,0.004975124378109453,0.011116054657042086
MTL,resnet50,layer3,gap,6886,0.0771151845127727,0.004975124378109453,0.01232506067666597
MFC,resnet50,layer3,gap,6886,0.021624947961559695,0.009950248756218905,0.009525471197501124
amygdala,resnet50,layer3,gap,5987,0.06799365860643676,0.004975124378109453,0.009516816015699857
hippocampus,resnet50,layer3,gap,6200,0.020804725097463304,0.03980099502487562,0.010670115350004115
MTL_concept,resnet50,layer3,gap,5681,0.08082165781317123,0.004975124378109453,0.010865955996553931
MTL,resnet50,layer4,gap,6886,0.11596647512314008,0.004975124378109453,0.011494444065838981
MFC,resnet50,layer4,gap,6886,0.026532484121477327,0.009950248756218905,0.01189015115913493
amygdala,resnet50,layer4,gap,5987,0.10448954520376015,0.004975124378109453,0.01262884934435147
hippocampus,resnet50,layer4,gap,6200,0.03125924507458873,0.014925373134328358,0.01141523439290943
MTL_concept,resnet50,layer4,gap,5681,0.12342602238575344,0.004975124378109453,0.01329564206539825
MTL,resnet50,avgpool,gap,6886,0.11596647512314008,0.004975124378109453,0.012922813856175554
MFC,resnet50,avgpool,gap,6886,0.026532484121477327,0.014925373134328358,0.011052401914396619
amygdala,resnet50,avgpool,gap,5987,0.10448954520376015,0.004975124378109453,0.013054129401855076
hippocampus,resnet50,avgpool,gap,6200,0.03125924507458873,0.014925373134328358,0.012075576690502954
MTL_concept,resnet50,avgpool,gap,5681,0.12342602238575344,0.004975124378109453,0.011205503992426412
MTL,resnet50,logits,gap,6886,0.09456572153199318,0.004975124378109453,0.013276288244825012
