region,n_units,frac_concept_enc1,n_concept_enc1,frac_concept_enc1_3,n_concept_enc1_3,paper
MTL,449,0.22717149220489977,102,0.29398663697104677,132,0.209
MFC,453,0.05739514348785872,26,0.09713024282560706,44,0.067
amygdala,259,0.29343629343629346,76,0.3474903474903475,90,
hippocampus,190,0.1368421052631579,26,0.22105263157894736,42,
