analysis,term,estimate,se,z,p,n_obs,n_subjects,random_structure,note
"2 MTL depth slope, clip_vitb32",Intercept,0.027462237897580906,0.018938555993090283,1.4500703172723666,0.1470389114646997,90,18,RI subject,"RE sd(Group)=0.0784, sd(resid)=0.0229; fits: ok"
"2 MTL depth slope, clip_vitb32",rel_depth,0.045665747153276974,0.008520138030251279,5.359742646320741,8.334058793787692e-08,90,18,RI subject,"RE sd(Group)=0.0784, sd(resid)=0.0229; fits: ok"
"2 MTL depth slope, dinov2_small",Intercept,0.027574044450120593,0.013167580362807406,2.0940859057146963,0.036252328372529015,90,18,RI subject,"RE sd(Group)=0.0542, sd(resid)=0.0174; fits: ok"
"2 MTL depth slope, dinov2_small",rel_depth,0.008412739378967901,0.005199099501045157,1.6181147095332022,0.10563787904114848,90,18,RI subject,"RE sd(Group)=0.0542, sd(resid)=0.0174; fits: ok"
"2 MTL depth slope, vit_b_16",Intercept,0.02355469907287306,0.013302984324510842,1.770632701526481,0.07662180027627677,90,18,RI subject,"RE sd(Group)=0.0548, sd(resid)=0.0175; fits: ok"
"2 MTL depth slope, vit_b_16",rel_depth,0.023674221979363398,0.00651831749694416,3.6319528759472153,0.0002812844952565929,90,18,RI subject,"RE sd(Group)=0.0548, sd(resid)=0.0175; fits: ok"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),Intercept,0.012547251406548608,0.008928950395970503,1.405232513354648,0.15995214884757725,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),"C(region, Treatment('MFC'))[T.MTL]",0.03663281360858262,0.006285137610666297,5.828482346419002,5.593371258040392e-09,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),"C(family, Treatment('cnn'))[T.transformer]",0.00023472582807086074,0.006997227471512115,0.03354554772250901,0.9732395444229041,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),"C(region, Treatment('MFC'))[T.MTL]:C(family, Treatment('cnn'))[T.transformer]",-0.005066016401381761,0.01003207111290558,-0.5049821063234563,0.6135714039041829,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),MTL - MFC within transformer,0.03156679720720086,0.008041366021305752,3.9255515945380464,8.653121945792849e-05,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
3 last layer: region (MTL vs MFC) x family (cnn vs transformer),transformer - cnn within MTL,-0.0048312905733109,0.0071889678345580825,-0.6720423132353447,0.5015567592781045,296,20,RI subject,"RE sd(Group)=0.0349, sd(resid)=0.0418; fits: ok; last layers: alexnet=logits, clip_vitb32=ln_post, convnext_tiny=logits, dinov2_small=norm, resnet18=logits, resnet50=logits, vgg16=logits, vit_b_16=ln"
