criterion,unit_of_inference,layer,supervised,clip
similarity tuning (MTL concept cells),8-45,layer1,0.10473022996045979,0.07479578056498168
similarity tuning (MTL concept cells),10-64,layer1,-0.0656822847834642,-0.0849199864317895
similarity tuning (MTL concept cells),10-67,layer1,0.10479737764934473,0.019463460524823673
similarity tuning (MTL concept cells),10-70,layer1,-0.01639223353562559,-0.015649460453542555
similarity tuning (MTL concept cells),10-71,layer1,0.008601892137935729,-0.018036225450510396
similarity tuning (MTL concept cells),11-6,layer1,0.158930235940553,-0.010074126245909247
similarity tuning (MTL concept cells),11-11,layer1,0.07475323832776447,0.3559605443171223
similarity tuning (MTL concept cells),11-12,layer1,0.2921259612170745,0.2789396260886005
similarity tuning (MTL concept cells),11-13,layer1,-0.204781542793266,-0.09460881206833383
similarity tuning (MTL concept cells),11-17,layer1,-0.4210029633789555,-0.3864587400016867
similarity tuning (MTL concept cells),11-18,layer1,0.15710853461718097,0.18823839906145215
similarity tuning (MTL concept cells),11-25,layer1,0.1475687646979866,0.03930617148087858
similarity tuning (MTL concept cells),11-28,layer1,0.11878832603785881,0.18967402381506243
similarity tuning (MTL concept cells),11-31,layer1,0.022667905194280833,-0.10778091704862215
similarity tuning (MTL concept cells),11-34,layer1,-0.08791958479103788,-0.005559732294920476
similarity tuning (MTL concept cells),11-65,layer1,-0.09792307061457402,-0.048986943472988764
similarity tuning (MTL concept cells),11-68,layer1,0.07854683145531341,0.15765127191095493
similarity tuning (MTL concept cells),12-14,layer1,0.12391785250517515,0.09811016752062625
similarity tuning (MTL concept cells),12-15,layer1,0.22775130602133256,0.041578154621335
similarity tuning (MTL concept cells),13-17,layer1,0.1140091326962115,0.07519053640871826
similarity tuning (MTL concept cells),13-18,layer1,-0.25658001284783605,-0.17559324186047723
similarity tuning (MTL concept cells),13-19,layer1,0.32055986015455645,0.33674001765286393
similarity tuning (MTL concept cells),13-20,layer1,0.10607475917685433,0.10604926656469935
similarity tuning (MTL concept cells),13-25,layer1,0.058106662833703956,0.03983364649521021
similarity tuning (MTL concept cells),13-26,layer1,0.03214192094576379,0.021715457245125337
similarity tuning (MTL concept cells),13-28,layer1,-0.011804602739896704,-0.07054716151467424
similarity tuning (MTL concept cells),13-30,layer1,0.13894189309701302,-0.03449434284231653
similarity tuning (MTL concept cells),13-31,layer1,0.10722729352875726,0.09543457862064078
similarity tuning (MTL concept cells),13-32,layer1,0.04573731291000546,0.14287850847107902
similarity tuning (MTL concept cells),13-33,layer1,0.1587805183400266,0.18985891570264687
similarity tuning (MTL concept cells),13-35,layer1,0.22261454526374644,0.16601549043734656
similarity tuning (MTL concept cells),13-37,layer1,-0.027813488590773757,0.2769177220681041
similarity tuning (MTL concept cells),13-46,layer1,0.033660617462199165,0.006762516826491481
similarity tuning (MTL concept cells),13-75,layer1,0.5202197881526922,0.5531760279407351
similarity tuning (MTL concept cells),13-77,layer1,-0.09352527373362705,-0.10909182885546424
similarity tuning (MTL concept cells),13-78,layer1,0.32060541357691574,0.4432597401748351
similarity tuning (MTL concept cells),13-80,layer1,0.18610755528334616,0.19558654557014601
similarity tuning (MTL concept cells),13-82,layer1,0.3849405587935999,0.3763064253627891
similarity tuning (MTL concept cells),13-83,layer1,0.29064983606443323,0.3681127800614913
similarity tuning (MTL concept cells),13-84,layer1,0.30675618202977295,0.3189352760088337
similarity tuning (MTL concept cells),13-85,layer1,0.5046751811311524,0.5753171053613956
similarity tuning (MTL concept cells),13-86,layer1,0.5237126276340803,0.5994334599490676
similarity tuning (MTL concept cells),13-88,layer1,0.24256480076183373,0.32392650297078057
similarity tuning (MTL concept cells),13-89,layer1,0.34668354722298506,0.24610789741498618
similarity tuning (MTL concept cells),13-90,layer1,0.6596549016768051,0.7030180671063434
similarity tuning (MTL concept cells),13-92,layer1,0.36686465878160984,0.2646083660908464
similarity tuning (MTL concept cells),13-93,layer1,0.42793758717815283,0.4071752534704584
similarity tuning (MTL concept cells),13-94,layer1,0.3562974005827037,0.4975094492345513
similarity tuning (MTL concept cells),13-95,layer1,0.04405415545583534,0.0779460924589856
similarity tuning (MTL concept cells),13-97,layer1,0.46525266624044187,0.46740006397232925
similarity tuning (MTL concept cells),13-98,layer1,0.28018261480067047,0.1711974810046236
similarity tuning (MTL concept cells),14-14,layer1,0.24199577559647206,0.28092805395590864
similarity tuning (MTL concept cells),14-15,layer1,-0.12306998535094005,-0.1902659942667689
similarity tuning (MTL concept cells),14-16,layer1,0.09370479224756485,0.06774208047422328
