subject,region,n_face_images,space,rho
13,MTL_concept,36,dinov2 norm,0.15607058002881627
13,MTL_concept,36,alexnet conv1,0.031078483562868763
14,MTL,35,vggface2 identity,0.05148632566713895
14,MTL,35,clip ln_post,0.03623950291932922
14,MTL,35,resnet50 avgpool,0.048659170806821826
14,MTL,35,dinov2 norm,0.049280236804911115
14,MTL,35,alexnet conv1,-0.016983836446923698
14,MTL_concept,35,vggface2 identity,0.023575328036441346
14,MTL_concept,35,clip ln_post,0.057262034364284675
14,MTL_concept,35,resnet50 avgpool,0.013511518091068035
14,MTL_concept,35,dinov2 norm,0.036753298024517926
14,MTL_concept,35,alexnet conv1,-0.01185106949023254
15,MTL,42,vggface2 identity,-0.026259139220725213
15,MTL,42,clip ln_post,-0.021657027270876268
15,MTL,42,resnet50 avgpool,-0.017762664996669467
15,MTL,42,dinov2 norm,0.03118482879489285
15,MTL,42,alexnet conv1,-0.02467853274627743
15,MTL_concept,42,vggface2 identity,0.07103643349225316
15,MTL_concept,42,clip ln_post,0.028864097018870584
15,MTL_concept,42,resnet50 avgpool,0.02744928220942025
15,MTL_concept,42,dinov2 norm,0.03338755950813994
15,MTL_concept,42,alexnet conv1,0.019381898115313417
16,MTL,27,vggface2 identity,-0.044066766566766565
16,MTL,27,clip ln_post,-0.018493450993450993
16,MTL,27,resnet50 avgpool,0.01889277389277389
16,MTL,27,dinov2 norm,0.015599123099123098
16,MTL,27,alexnet conv1,0.007204739704739705
16,MTL_concept,27,vggface2 identity,0.0027627927627927626
16,MTL_concept,27,clip ln_post,0.05308441558441558
16,MTL_concept,27,resnet50 avgpool,0.04461982461982462
16,MTL_concept,27,dinov2 norm,0.06391830391830391
16,MTL_concept,27,alexnet conv1,0.09297202797202797
17,MTL,35,vggface2 identity,0.0006718427986002248
17,MTL,35,clip ln_post,0.009446918970737643
17,MTL,35,resnet50 avgpool,0.020276416399098905
17,MTL,35,dinov2 norm,0.001620326749565248
17,MTL,35,alexnet conv1,0.04500518709077013
18,MTL,40,vggface2 identity,-0.0176518016327089
18,MTL,40,clip ln_post,0.010227195285684863
18,MTL,40,resnet50 avgpool,-0.01671661069589074
