subset,space,scope,n,rho_mean,rho_sem,rho_median,frac_pos,rho_null_mean,p_vs_zero,p_vs_null_anchor,contrast,diff_mean,p
amygdala,resnet50 avgpool,category,100,0.18341274703970076,0.027185144991431966,0.16085682104097848,0.69,0.04990652066344689,3.352584783552196e-08,1.0041836658630669e-07,,,
amygdala,alexnet conv1,all,101,0.09915165545869237,0.01755431944537138,0.08906262042295046,0.7326732673267327,0.022420239879004433,2.941015737631281e-07,5.871512051753484e-06,,,
amygdala,alexnet conv1,same,87,0.004572720430608469,0.03126942655793538,0.040752720607422195,0.5632183908045977,-0.005974535026829766,0.42130803216214374,0.4237562070140679,,,
amygdala,alexnet conv1,diff,101,0.04820433494790184,0.018850032319140394,0.03103485706864565,0.6138613861386139,0.00824146915286291,0.02153269407583555,0.04330821021135789,,,
amygdala,alexnet conv1,partial,100,0.027712964346352648,0.014529048263479102,0.05146090105264351,0.65,-9.25490678690356e-05,0.0285087982770462,0.02952090946987057,,,
amygdala,alexnet conv1,category,100,0.18341274703970076,0.027185144991431966,0.16085682104097848,0.69,0.04990652066344689,3.352584783552196e-08,1.0041836658630669e-07,,,
hippocampus,clip ln_post,all,33,0.07957982289395314,0.02888047217613788,0.1427332640986544,0.6363636363636364,-0.006171687853202381,0.006187534891068935,0.005159839289262891,,,
hippocampus,clip ln_post,same,23,0.01709117026762089,0.04219740258331509,0.02395252523826518,0.6086956521739131,-0.009388098560174135,0.5599584579467773,0.6868791580200195,,,
hippocampus,clip ln_post,diff,33,0.04777655796091492,0.031285826685704614,0.07772187438067107,0.6363636363636364,-0.00477830945959631,0.17108511831611395,0.12108809174969792,,,
hippocampus,clip ln_post,partial,32,0.07093670804147023,0.02686022361509152,0.07219149555537008,0.6875,-0.011632524989153686,0.015647762920707464,0.003615216352045536,,,
hippocampus,clip ln_post,category,32,0.0728241903925595,0.023814495342528805,0.09418110526981113,0.6875,0.0027683729316544258,0.006894533988088369,0.0023907003924250603,,,
hippocampus,resnet50 avgpool,all,33,0.08602010369551258,0.026137971879803112,0.09226257347836324,0.6666666666666666,-0.02089268623202689,0.0037760441191494465,0.0002667158842086792,,,
hippocampus,resnet50 avgpool,same,23,0.05794900682291644,0.05028634152818315,0.10436862983105073,0.6521739130434783,-0.02283863893851306,0.2725830078125,0.14241743087768555,,,
