category,n_unique,n_subject_image_pairs,frac_unique,frac_pairs
face_person,126,566,0.3684210526315789,0.46584362139917695
animal,47,147,0.13742690058479531,0.12098765432098765
landmark_place,36,154,0.10526315789473684,0.12674897119341563
vehicle,33,97,0.09649122807017543,0.07983539094650206
object,29,82,0.0847953216374269,0.06748971193415639
scene_with_people,24,46,0.07017543859649122,0.03786008230452675
landscape_nature,21,71,0.06140350877192982,0.05843621399176955
food,19,43,0.05555555555555555,0.03539094650205761
cartoon_art,7,9,0.02046783625730994,0.007407407407407408
