region,n_sessions,units_median,reliability_mean,reliability_median,rho_clip_mean,ceiling_sqrt_rel,rho_over_ceiling
MFC,19,26.0,0.021849242064780196,0.024361036717761,0.016139278372440707,0.14781489121458702,0.109185740623459
MTL,18,18.0,0.06458486793044595,0.03260124007606025,0.06015657429755631,0.2541355306336482,0.2367106014163587
MTL_concept,14,6.0,0.11506967247847721,0.06978448714874211,0.08382475305341586,0.3392192100669967,0.2471108668546815
all,20,38.0,0.05659998832349213,0.042419277306704,0.05314883313751937,0.23790752052739345,0.22340123178829752
amygdala,17,11.0,0.056518846546034854,0.0259971796748374,0.056110662919202824,0.2377369271822004,0.23601997209377526
hippocampus,15,8.0,0.030517359602727303,0.0225380763806634,0.01330012511736714,0.1746921852938113,0.07613463129445615
