subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
1,34,amygdala,MTL,alexnet,fc6,-0.04685372349660431,-0.058574028160070936,0.12250606462539704,0.011720304663466623,0.46534653465346537
1,34,amygdala,MTL,vgg16,fc7,0.24772369125952004,-0.0742767967704993,0.12923100702791548,0.32200048803001935,0.009900990099009901
1,34,amygdala,MTL,resnet50,avgpool,0.21330828953777625,-0.14862329165374302,0.16796039296808593,0.36193158119151925,0.0297029702970297
1,34,amygdala,MTL,clip_vitb32,ln_post,0.2054809158077222,-0.21064661461599485,0.1652387155088704,0.4161275304237171,0.019801980198019802
1,34,amygdala,MTL,dinov2_small,block8,0.3667622932889696,-0.16738385047463733,0.1493477516151779,0.5341461437636069,0.009900990099009901
1,34,amygdala,MTL,baseline,category,-0.14399257336954024,-0.2135317314598276,0.15878703880655182,0.06953915809028735,0.297029702970297
1,36,amygdala,MTL,alexnet,fc6,-0.06739017481404987,-0.09349158317416491,0.15202594984816947,0.02610140836011504,0.44554455445544555
1,36,amygdala,MTL,vgg16,fc7,-0.026537734879387265,-0.06675163662262958,0.14864732415123516,0.04021390174324231,0.40594059405940597
1,36,amygdala,MTL,resnet50,avgpool,0.06296508760979216,-0.15575694057886896,0.16646144065962346,0.21872202818866113,0.1188118811881188
1,36,amygdala,MTL,clip_vitb32,ln_post,-0.44671272322618694,-0.17661789415216783,0.16733077907713154,-0.2700948290740191,0.9801980198019802
1,36,amygdala,MTL,dinov2_small,block8,-0.32256029402264685,-0.2186808976071462,0.15708368343452636,-0.10387939641550065,0.7128712871287128
1,36,amygdala,MTL,baseline,category,-0.274453666535392,-0.19266771239357336,0.17328807898073392,-0.08178595414181863,0.6336633663366337
1,38,amygdala,MTL,alexnet,fc6,0.04249316664829912,-0.08672277986514076,0.15786619519474593,0.12921594651343987,0.2079207920792079
1,38,amygdala,MTL,vgg16,fc7,0.037971994481190846,-0.0742789733724102,0.16381443217368172,0.11225096785360104,0.26732673267326734
1,38,amygdala,MTL,resnet50,avgpool,-0.1491885395206605,-0.12144690220456165,0.17502901201652873,-0.02774163731609884,0.5445544554455446
1,38,amygdala,MTL,clip_vitb32,ln_post,0.16009639665096792,-0.24358759848887057,0.154236517281614,0.4036839951398385,0.0297029702970297
1,38,amygdala,MTL,dinov2_small,block8,-0.022800554457528217,-0.20203052792651977,0.16709086718777572,0.17922997346899155,0.18811881188118812
1,38,amygdala,MTL,baseline,category,-0.2985019655564736,-0.16342955366330147,0.1689606043590255,-0.13507241189317215,0.7425742574257426
2,0,amygdala,MTL,alexnet,fc6,0.039187896993719606,-0.07788236256911463,0.1787107136944915,0.11707025956283423,0.24752475247524752
2,0,amygdala,MTL,vgg16,fc7,0.22825996273039934,-0.04946416372636522,0.12993331868197014,0.2777241264567646,0.009900990099009901
2,0,amygdala,MTL,resnet50,avgpool,0.04441253610426023,-0.13364490762016815,0.1577258885950906,0.1780574437244284,0.15841584158415842
2,0,amygdala,MTL,clip_vitb32,ln_post,-0.06761561804205776,-0.19991398627342025,0.1572553478653085,0.13229836823136248,0.21782178217821782
2,0,amygdala,MTL,dinov2_small,block8,-0.030661720574587988,-0.21709674389847539,0.13457083075541515,0.1864350233238874,0.13861386138613863
2,0,amygdala,MTL,baseline,category,0.18516907603876362,-0.22212907671267235,0.14756807465423252,0.407298152751436,0.0297029702970297
3,23,preSMA,MFC,alexnet,fc6,-0.020455908211159685,-0.04876927670100244,0.12955921232337175,0.02831336848984275,0.42574257425742573
3,23,preSMA,MFC,vgg16,fc7,-0.08190901365328218,-0.06892876972496366,0.1627448904945617,-0.012980243928318522,0.5247524752475248
3,23,preSMA,MFC,resnet50,avgpool,-0.13566984836957116,-0.12715149060896028,0.16494779307759275,-0.008518357760610884,0.48514851485148514
3,23,preSMA,MFC,clip_vitb32,ln_post,-0.2621265052033012,-0.21055924242961221,0.15449933202809268,-0.051567262773689004,0.594059405940594
3,23,preSMA,MFC,dinov2_small,block8,-0.4414830064007229,-0.16620718864851042,0.1682686016843447,-0.2752758177522125,0.9504950495049505
3,23,preSMA,MFC,baseline,category,-0.5085189610069919,-0.18081622825025845,0.16360625610993124,-0.32770273275673345,1.0
3,29,preSMA,MFC,alexnet,fc6,-0.026259555105003954,-0.04197737265168112,0.1293583383442423,0.015717817546677164,0.4752475247524752
