category,n_sternberg,n_rest,odds_ratio,p,frac_in_sternberg,q
animal,9,156,0.6079881656804734,0.2211266429171288,0.05454545454545454,0.6816510566008224
cartoon_art,2,15,1.4965986394557824,0.6444295113846076,0.11764705882352941,0.8285522289230668
face_person,53,492,1.427910396125238,0.09359824291997601,0.09724770642201835,0.6816510566008224
food,2,35,0.6297376093294461,0.7628346855963446,0.05405405405405406,0.8581890212958877
landmark_place,10,148,0.725975975975976,0.4378125945799851,0.06329113924050633,0.6816510566008224
landscape_nature,6,70,0.952887537993921,1.0,0.07894736842105263,1.0
object,6,50,1.3595744680851063,0.4544340377338816,0.10714285714285714,0.6816510566008224
scene_with_people,7,57,1.397094887757027,0.35747021089802355,0.109375,0.6816510566008224
vehicle,5,92,0.5852402745995423,0.3348016219951444,0.05154639175257732,0.6816510566008224
