t,rho_alexnet conv1_mean,rho_alexnet conv1_sem,rho_resnet50 avgpool_mean,rho_resnet50 avgpool_sem,rho_clip ln_post_mean,rho_clip ln_post_sem,pref_minus_nonpref_mean,pref_minus_nonpref_sem
-0.15,-0.030048582915933868,0.011969619016637751,-0.009263081321578085,0.010356355235590458,-0.0201580170129678,0.010490799748526788,0.13607782753911518,0.1609249366924349
-0.125,-0.008148596556071704,0.011595895027002185,-0.005792967790313887,0.011552890218038776,-0.012848939068498537,0.011136715337520049,0.015590792234808961,0.162869983797955
-0.1,-0.0007727834387018216,0.013048899609462844,0.0004731907075952559,0.012467593049848626,-0.003417964087173202,0.010722985345965021,0.0212684296109228,0.1688975058905613
-0.075,0.012609460814427749,0.011884691612379787,0.003688411124221634,0.012489322790610382,-0.0062457112283402704,0.011393507049554498,-0.10153508174283783,0.1973806816853204
-0.05,0.028949237800482495,0.011768176806285089,-0.01152718637016041,0.010684954210723964,-0.010388043282636797,0.01113503034075983,-0.08127727158486328,0.18680228505491192
-0.025,0.021251618129898234,0.010519952571448414,-0.006079315344996073,0.011096078372282261,-0.012255538416496148,0.011279297176999057,0.07151173529794727,0.21793128917917393
-0.0,0.0055938664895970975,0.010932515727436311,-0.0198719452440883,0.011535263446795655,-0.027038122190104555,0.01271083457661757,0.28507038756309744,0.24513713806623588
0.025,-0.0024015980136679552,0.011399854905925108,-0.027050750020974162,0.011995367791809717,-0.03171491867642897,0.012731835759597816,0.46301511311367693,0.25572268285373784
0.05,-0.005830788598056046,0.011307243711491756,-0.004227835644946256,0.01022623095827845,-0.016086965421507598,0.011087983281399993,0.5187051655901866,0.23894622646366562
0.075,-0.0007199070680225903,0.010052754011291071,0.022950862373397832,0.010183955548823719,0.00027150048201129154,0.01167227808760127,0.28750798654324244,0.18200771448071904
0.1,0.0030581977881506362,0.010341990619731959,0.023783029581890335,0.010575316686806611,0.0011103732201762156,0.011235364170268092,0.11733783910635506,0.20603195862740833
0.125,0.0007334138469460917,0.010526234950230341,0.0345038601515479,0.011033113814076161,0.01218003161819745,0.011840322808280379,0.021469039464878964,0.1912258469058439
0.15,0.0073247467939886865,0.010641047268467678,0.030690990713922627,0.010771857942759647,0.009047555340855341,0.011114669977205649,-0.15249376973925252,0.19090438563102388
0.175,0.008111181609067358,0.011648477041247373,0.015665185046840547,0.010691118586490979,0.013106339578170291,0.010615436681100265,0.02693849680386867,0.1895353560919266
0.2,0.009085772716673601,0.011318851063201003,0.029675254422358098,0.012360700759776223,0.027813272070949673,0.011497113915678968,0.4494758405174372,0.1943013369114071
0.225,0.025390817338329947,0.012230933502971981,0.06446231728200993,0.01462754920459556,0.06248676807448919,0.01395741118056071,1.1251638944655904,0.25204532893467707
0.25,0.033193763768832964,0.012695102087349376,0.09909732008359792,0.017143896479047925,0.09395854433644553,0.017032736242348592,2.520329726898072,0.31995468050580494
0.275,0.0531990230164573,0.013800755937454034,0.1334164227805941,0.019018125810633408,0.12774516615814482,0.018404443135460434,4.163120035852388,0.4499598972167722
0.3,0.061167498327443066,0.014132843987742826,0.15295732249547953,0.019692028626498784,0.15160511816457325,0.018795064320932437,5.607817576754087,0.5850142058147246
0.325,0.07322831383738408,0.014679092951708663,0.1770251268871251,0.019861638984075992,0.1740643972022234,0.019339521102245228,7.1570971981238065,0.7431169540187522
