subject,model,layer,view,metric,rho
1,convnext_tiny,stage2,rp,euclidean,0.02703157326783246
1,convnext_tiny,stage3,gap,correlation,0.027720336042544026
1,convnext_tiny,stage3,gap,euclidean,-0.018648514947311113
1,convnext_tiny,stage3,rp,correlation,0.031141711377496682
1,convnext_tiny,stage3,rp,euclidean,0.022247188405523668
1,convnext_tiny,stage4,gap,correlation,0.044852947203215705
1,convnext_tiny,stage4,gap,euclidean,0.024541897476411396
1,convnext_tiny,stage4,rp,correlation,0.04055537504632691
1,convnext_tiny,stage4,rp,euclidean,0.019114461374423044
1,convnext_tiny,avgpool,gap,correlation,0.044852947203215705
1,convnext_tiny,avgpool,gap,euclidean,0.024541897476411396
1,convnext_tiny,avgpool,rp,correlation,0.044852947203215705
1,convnext_tiny,avgpool,rp,euclidean,0.024541897476411396
1,convnext_tiny,logits,gap,correlation,0.0549694225013182
1,convnext_tiny,logits,gap,euclidean,0.04279870535705426
1,convnext_tiny,logits,rp,correlation,0.0549694225013182
1,convnext_tiny,logits,rp,euclidean,0.04279870535705426
2,alexnet,conv1,gap,correlation,0.014580033680908537
2,alexnet,conv1,gap,euclidean,0.020227694156297677
2,alexnet,conv1,rp,correlation,0.05301216946223569
2,alexnet,conv1,rp,euclidean,0.02536294920153277
2,alexnet,conv2,gap,correlation,-0.0009234194022127168
2,alexnet,conv2,gap,euclidean,0.016905082864947973
2,alexnet,conv2,rp,correlation,0.04786851667834393
2,alexnet,conv2,rp,euclidean,0.02933402443194558
2,alexnet,conv3,gap,correlation,0.0012337926060309794
2,alexnet,conv3,gap,euclidean,0.01019306338345725
2,alexnet,conv3,rp,correlation,0.034787323893637166
2,alexnet,conv3,rp,euclidean,0.03540652542665797
2,alexnet,conv4,gap,correlation,-0.0016334205783149688
2,alexnet,conv4,gap,euclidean,-0.007176897867027864
2,alexnet,conv4,rp,correlation,0.01881233609347495
2,alexnet,conv4,rp,euclidean,0.01156690797511509
2,alexnet,conv5,gap,correlation,0.006106969902066483
2,alexnet,conv5,gap,euclidean,0.013231802755976414
2,alexnet,conv5,rp,correlation,0.018070480537131547
2,alexnet,conv5,rp,euclidean,0.022809161919020503
2,alexnet,fc6,gap,correlation,0.005260286790072606
2,alexnet,fc6,gap,euclidean,0.02214230446758795
2,alexnet,fc6,rp,correlation,0.004371782520728642
2,alexnet,fc6,rp,euclidean,0.021152941955474777
2,alexnet,fc7,gap,correlation,0.002288945190413223
2,alexnet,fc7,gap,euclidean,0.020348893516660947
2,alexnet,fc7,rp,correlation,0.009150749850886576
2,alexnet,fc7,rp,euclidean,0.021574349599087803
2,alexnet,logits,gap,correlation,0.009502456102556943
2,alexnet,logits,gap,euclidean,0.016296742170987845
2,alexnet,logits,rp,correlation,0.009502456102556943
2,alexnet,logits,rp,euclidean,0.016296742170987845
2,vgg16,conv1_2,gap,correlation,0.006850487930363407
2,vgg16,conv1_2,gap,euclidean,0.013278177991051882
2,vgg16,conv1_2,rp,correlation,0.03382875577480254
2,vgg16,conv1_2,rp,euclidean,0.028626230219580072
2,vgg16,conv2_2,gap,correlation,-4.054530678110454e-05
2,vgg16,conv2_2,gap,euclidean,0.01289679371535083
2,vgg16,conv2_2,rp,correlation,0.0213157482205042
2,vgg16,conv2_2,rp,euclidean,0.024197293781759503
2,vgg16,conv3_3,gap,correlation,-0.003956567262957984
