image_uid,n_subjects_screening,n_subjects_sternberg,first_path,sternberg_rate,category,category_clip,category_p,p_cat_face_person,p_cat_animal,p_cat_landmark_place,p_cat_landscape_nature,p_cat_object,p_cat_vehicle,p_cat_food,p_cat_scene_with_people,p_cat_cartoon_art,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,fine,fine_p,category_overridden,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,aspect,clip_centroid_dist,clip_nn1_dist,clip_nn5_dist,clip_mean_dist,clip_cat_typicality,resnet50_centroid_dist,resnet50_nn1_dist,resnet50_nn5_dist,resnet50_mean_dist,resnet50_cat_typicality,dinov2_centroid_dist,dinov2_nn1_dist,dinov2_nn5_dist,dinov2_mean_dist,dinov2_cat_typicality,alexnet_fc7_centroid_dist,alexnet_fc7_nn1_dist,alexnet_fc7_nn5_dist,alexnet_fc7_mean_dist,alexnet_fc7_cat_typicality
img_0278,1,0,images/sub-14/ses-1/image_36.png,0.0,vehicle,landmark_place,0.40382496,0.012037775,0.011282654,0.40382496,0.06326923,0.20084457,0.096832246,0.01411022,0.15426421,0.043534134,0.73632985,0.2599878,0.6398292,0.22137007,0.11332347,0.2585961,0.14829901,0.18707377,0.030246345,0.48355407,airplane or spacecraft,0.3430393,True,0.4019607007503509,0.295274406671524,0.9999999894963176,22.10745620727539,0.1441449671983719,2.806731939315796,5.482609096926816,0.0421166666666666,-2.591705287931803,0.0490575842559337,0.4702989797169284,0.5457419654829572,1.3333333333333333,0.2578908248081777,0.11017083652570969,0.2530679254317082,0.47684737893991497,0.7110201088827673,0.7112919960643369,0.5364626653225185,0.6257609724028339,0.8960384027441307,0.30001244980512864,0.8202579321705414,0.40268788134347877,0.6663561756808735,0.9667019229861569,0.1194668196979987,0.7864708408614729,0.5343764708516103,0.6886147489031396,0.9329800306967246,0.24291240803064323
img_0279,1,0,images/sub-14/ses-1/image_38.png,0.0,vehicle,vehicle,0.93821245,0.0034514472,0.012156164,0.001230459,0.00021602592,0.038904324,0.93821245,0.0023064902,0.0024166554,0.0011059741,0.5245203,0.4750878,0.99856395,0.039254576,0.2352686,0.9078861,0.27443376,0.03779464,0.07135157,0.37917718,truck or off-road vehicle,0.6168329,False,0.5985785126686096,0.1807515621185302,0.8168164728905952,25.466411590576172,0.1257314831018448,3.1436636447906494,5.125198029954589,0.0423916666666666,-1.9412965913394185,0.0741726905107498,0.580148912844167,0.5666419836501695,1.3333333333333333,0.2906151305357976,0.2467154849778267,0.289306504949455,0.5000458146893069,0.757774819169472,0.6796962984885115,0.585283701288595,0.6601805447128484,0.8843400946093484,0.4376344153412512,1.0143113806415134,0.7494074703252229,0.8071195763992194,1.005817297885787,0.00612144449535139,0.8299749930358162,0.7034900867121152,0.7769306583272323,0.9472320659430408,0.22709213661460265
img_0280,1,0,images/sub-14/ses-1/image_44.png,0.0,face_person,face_person,0.8609987,0.8609987,0.017420754,0.003726999,0.008248767,0.06616781,0.016016183,0.0022192446,0.020535044,0.004666446,0.6139773,0.9899446,0.9742886,0.6061447,0.19420955,0.41177088,0.51574045,0.39500746,0.14587513,0.028909808,scientist,0.17872848,False,0.5804995894432068,0.3017986416816711,0.9826911541122584,27.94068717956543,0.1390999853610992,2.8533248901367188,5.377130044166006,0.0284333333333333,-3.2799803987895704,0.0150140784680843,0.5599594435392119,0.5448077931437881,1.3333333333333333,0.34003505747403817,0.31610636159596783,0.35978643960004364,0.5350798658120107,0.6991281950147941,0.36229990957359204,0.2151578325070993,0.24436196789275777,0.7668240704898212,0.7944431772784342,0.3752022590951116,0.3958124192866067,0.42599075677764253,0.8769920021333107,0.696289468762392,0.36357533794399144,0.18368956785326773,0.22468917151848533,0.7944387349386828,0.808099647458419
img_0281,1,0,images/sub-14/ses-1/image_51.png,0.0,cartoon_art,face_person,0.8225312,0.8225312,0.0429439,0.0034475522,0.0020870576,0.04989177,0.0047062626,0.01503335,0.038147483,0.021211265,0.5486107,0.9529849,0.97949666,0.86567366,0.5720417,0.33404058,0.5097544,0.6968318,0.055387534,0.038925517,fictional movie character,0.60925907,True,0.194325178861618,0.2261491864919662,0.9999999885408236,17.714109420776367,0.265995591878891,4.587978839874268,4.886461557800652,0.024175,-2.608943617322778,0.0270814765244722,0.4889752822039804,0.4805990484351113,1.3333333333333333,0.18675941021428832,0.03777174384048043,0.19294872463574225,0.4264219378333995,0.8600070036769717,0.57743911957299,0.23671683897439644,0.526423595604598,0.8464793705320733,0.47362855319333985,0.7544162378686816,0.11962491059552927,0.5707397047077502,0.9534302054416507,0.2916488917967214,0.7583711491033931,0.4681768581526561,0.678581701601958,0.9237745232375322,0.28318747212402895
img_0282,1,0,images/sub-15/ses-1/image_14.png,0.0,scene_with_people,scene_with_people,0.64189595,0.17274976,0.042851154,0.0031605,0.0023859937,0.040504623,0.0045842873,0.055512555,0.64189595,0.036355298,0.7352509,0.8014619,0.8258807,0.8588035,0.39931834,0.64903706,0.7988775,0.36712492,0.10411952,0.10776513,tv host,0.2730359,False,0.3885960876941681,0.2115653604269027,0.9019857982746112,73.48358917236328,0.4657745957374573,3.409221887588501,5.673172322725619,0.0326833333333333,-3.008184139076777,0.036741018295288,0.466244709041918,0.5241270991659335,1.3333333333333333,0.25435212073803204,0.2988139536973333,0.3283317548191736,0.47433877265531776,0.746765134884978,0.5298285128350123,0.4812360459997941,0.49845540445111736,0.8288515417187302,0.5515292554386285,0.7246207353841287,0.4413222546890998,0.6506248879558518,0.947424322736709,0.2071026143368697,0.6217085063260499,0.5345206811058802,0.5804889871350633,0.8790036058797611,0.49881578515238206
img_0283,1,0,images/sub-15/ses-1/image_35.png,0.0,face_person,face_person,0.80526674,0.80526674,0.064256184,0.00267693,0.004686595,0.05327137,0.028497363,0.016655594,0.013028192,0.011661102,0.68330973,0.9542549,0.87014294,0.7663363,0.81374514,0.67758197,0.21035032,0.33224773,0.116742566,0.9732573,athlete,0.14604601,False,0.3543512225151062,0.2681611180305481,0.903527511665175,37.77950668334961,0.4830804169178009,3.1668825149536133,5.527672447618032,0.0633916666666666,-2.7763234726538686,0.0538302846252918,0.4373773110779479,0.3928031270383071,1.3333333333333333,0.31046219482604176,0.27103026402386876,0.36104137481921744,0.5141155049551168,0.6977969005433874,0.4686904176616836,0.38782626202466386,0.4565263282365322,0.8062151598381011,0.5552172793084366,0.7422316650029305,0.5364342415298837,0.6021165814357625,0.9509741597522231,0.2565228248352036,0.541497171275765,0.46588574512300995,0.49607249958066946,0.8527262342461419,0.5263959289820698
img_0284,1,1,images/sub-15/ses-1/image_38.png,1.0,face_person,face_person,0.9497087,0.9497087,0.023483263,0.0009314163,0.0006440274,0.013244518,0.001063644,0.0036429544,0.005655042,0.0016264851,0.8065403,0.9926577,0.96671003,0.23815577,0.56541264,0.32825893,0.29270148,0.048212245,0.35151842,0.40375325,child,0.30776265,False,0.6249789595603943,0.2285240739583969,0.7600839725770243,32.659488677978516,0.2566171884536743,1.984461545944214,4.816417037911187,0.0538916666666666,-2.482019211290178,0.079837866127491,0.474995428700098,0.526050222067348,1.3333333333333333,0.31917880178436275,0.31540908398186895,0.3305673149657598,0.52029475435336,0.7477361463753859,0.4159423327205264,0.36384848030655925,0.40421960860714085,0.7866851795399777,0.6638200675999988,0.6002366086335255,0.4670309098448533,0.49609815174554883,0.9223522006602966,0.4151345995565987,0.4798416893715012,0.34226656381547094,0.408337049552402,0.8325277920903975,0.6371896064256717
img_0285,4,0,images/sub-15/ses-1/image_46.png,0.0,vehicle,vehicle,0.97581255,0.0030646236,0.0062072035,0.0029995588,0.004557957,0.005560452,0.97581255,0.0004064412,0.0003451304,0.0010460241,0.7079094,0.577601,0.96831113,0.035969477,0.3000769,0.72340107,0.8432515,0.23653242,0.072243124,0.8123559,car,0.79187274,False,0.4661263227462768,0.2747083306312561,0.8886028038801845,56.83332824707031,0.2978775799274444,2.259074449539185,5.693274666177377,0.0968333333333333,-2.6665323097496194,0.0707409158349037,0.5139263703888556,0.5000835691803642,1.3333333333333333,0.26940973545179236,0.15035948147095501,0.2214577646090757,0.48501319644244956,0.8224956215148621,0.6888900994888565,0.23065678477218876,0.2958220341727501,0.8877440997519407,0.6887721847901143,0.8906314198837321,0.3686551542616954,0.589178236235922,0.9808871146258082,0.34808006415373816,0.7905474875282132,0.3833894641461192,0.5347284299566331,0.9343155471722169,0.45171845500806146
img_0286,2,0,images/sub-15/ses-1/image_47.png,0.0,vehicle,vehicle,0.9185199,0.008495105,0.015243069,0.0016595873,0.0012509936,0.044045664,0.9185199,0.003681864,0.0015386778,0.0055652047,0.339757,0.8199156,0.9323851,0.6977622,0.1830613,0.5332508,0.023088232,0.08047327,0.06429821,0.21161626,car,0.9062933,False,0.3805892467498779,0.2829113900661468,0.9844357869843336,1.256587028503418,0.0022739216219633,2.7213003635406494,5.626875051838862,0.0614666666666666,-2.764707721889827,0.0372728072106838,0.5304246164506892,0.5045151487442358,1.3333333333333333,0.2770606448997961,0.24127167239576675,0.28756246916363376,0.4904369671629425,0.7800940332343352,0.7252556426378567,0.3351145965260137,0.368015087148209,0.9012084433773598,0.5539983895813214,0.8674959178214975,0.6116305572618228,0.7255444887337781,0.9762236889367213,0.04655793590481551,0.7613239673547144,0.5237009928068466,0.6218260070480077,0.9247418715868377,0.38487599449859866
img_0287,1,0,images/sub-15/ses-1/image_48.png,0.0,animal,animal,0.85949653,0.07938221,0.85949653,0.0060870224,0.00631955,0.021250578,0.0052432995,0.005326174,0.0086621195,0.008232505,0.69183135,0.9172115,0.9368501,0.114821754,0.76823807,0.5506168,0.52386236,0.4771592,0.012190227,0.34086987,wild mammal,0.6189946,False,0.3508219122886657,0.200248435139656,0.9834696871457111,37.66008758544922,0.3357080221176147,3.0513195991516113,5.541269073686393,0.0362583333333333,-2.698766884881796,0.0859880670905113,0.4756827468266904,0.5207829433767708,1.3333333333333333,0.20807274655027808,0.1982946275563896,0.2133554709980381,0.4415310762124093,0.8419997384600559,0.8625241765596641,0.8706707151686885,0.8788410553841548,0.9520321228727533,0.2135166791044084,0.9643945919337348,0.44053340094050963,0.7460885597146995,0.9957555653091437,0.1381766174550775,0.7862837181084252,0.6674960224003528,0.7513218493316393,0.9329187289602575,0.3164905111758062
