subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,rho_clip,rho_resnet,rho_conv1,pref_face,ratio
1,1,screening,34,378,63,7.5,1.7097070139094406,0.0019980019980019,img_0040,2.4375096038661654,0.0159840159840159,True,0.3854282536151279,0.9368674698795184,12.083333333333334,7.426075268817205,7.063492063492063,amygdala,MTL,R,0.2667996947823092,0.2965785852026766,-0.1092312898399927,0,1.6055291638389828
1,1,screening,36,378,63,6.104497354497354,1.76262580240164,0.0019980019980019,img_0044,2.3383558647754943,0.0199800199800199,True,0.4323213156230234,0.9244382376047672,10.625,6.031586021505377,6.560846560846561,amygdala,MTL,R,-0.0292437336398101,0.0276288941635824,0.1613577882886848,0,1.7328306188211051
1,1,screening,38,378,63,2.2883597883597884,1.547278062071014,0.0129870129870129,img_0039,2.197794519178647,0.0199800199800199,True,0.5696774193548387,0.871076767478326,5.208333333333333,2.241263440860215,2.248677248677249,amygdala,MTL,R,0.2675592516061111,0.2408791939081483,-0.0703797161833466,1,2.2245823526034787
2,1,screening,0,378,63,0.5423280423280423,1.7615341335333934,0.0019980019980019,img_0071,1.604966564299816,0.0139860139860139,True,0.8271889400921658,0.4722573395139769,2.9166666666666665,0.5040322580645161,0.3042328042328042,amygdala,MTL,L,-0.0120263035154832,0.1414242117661187,-0.1318543447133724,0,4.8286604361370715
3,1,screening,39,378,63,3.1316137566137567,1.5127301337529564,0.0149850149850149,img_0020,3.970218426292541,0.0029970029970029,True,0.5069892473118279,0.90318276074256,6.25,3.081317204301075,2.566137566137566,hippocampus,MTL,R,-0.1086353092512747,-0.0978881010502059,0.1461620315345363,1,1.9645950399256413
4,1,screening,8,378,63,0.9523809523809524,1.4466073414905394,0.0279720279720279,img_0152,1.798017354336115,0.0219780219780219,True,0.6588089330024814,0.726584673604541,2.7083333333333335,0.9240591397849462,0.8333333333333334,amygdala,MTL,L,0.1613457072109927,0.1191870618512811,0.1676695040149495,1,2.6447040294001836
4,1,screening,13,378,63,0.8134920634920635,1.4657062323833272,0.0149850149850149,img_0038,2.642873445150483,0.0029970029970029,True,0.6854838709677419,0.6689216076402702,2.5,0.7862903225806451,1.0052910052910051,amygdala,MTL,L,-0.1255841707228165,-0.2488822218329603,0.0131578884373824,1,2.820746132848044
4,1,screening,15,378,63,1.031746031746032,1.5996629754453535,0.0029970029970029,img_0130,3.3815876803616187,0.0019980019980019,True,0.7201138519924097,0.7094319821592548,3.5416666666666665,0.991263440860215,0.8994708994708994,amygdala,MTL,L,0.1816945393488239,0.1018391054811292,0.1215180373286391,0,3.245473580490208
4,1,screening,25,378,63,31.901455026455025,1.9378079952476848,0.0009990009990009,img_0156,3.9971863206309113,0.0049950049950049,True,0.2856277449644102,0.9811535907647002,44.375,31.7002688172043,30.423280423280424,amygdala,MTL,L,0.2358543069126808,0.2640953534891725,-0.0137804214784486,0,1.3954284554976035
4,1,screening,33,378,63,9.672619047619047,1.764482182221325,0.0019980019980019,img_0114,5.432890003849118,0.0019980019980019,True,0.4112903225806451,0.9455427079447972,16.25,9.56653225806452,9.801587301587302,hippocampus,MTL,L,0.1599143661151212,0.1810346559188205,0.0886396888300837,0,1.6810578567555161
4,1,screening,39,378,63,0.1521164021164021,8.780672732285813,0.0009990009990009,img_0122,2.6642342084724704,0.0009990009990009,True,0.9631336405529954,0.0766833369573095,2.9166666666666665,0.1075268817204301,0.0661375661375661,amygdala,MTL,R,0.309561579218374,0.2864955616939341,0.2042226542671887,1,14.05440414507772
4,1,screening,40,378,63,1.1739417989417988,6.259316461324218,0.0009990009990009,img_0110,3.455860764692074,0.0009990009990009,True,0.888888888888889,0.3706497730955762,9.375,1.0416666666666667,0.4232804232804232,amygdala,MTL,R,0.415707423919352,0.4552274780446936,-0.0837490961221203,1,8.211678832116787
4,1,screening,41,378,63,2.919973544973545,2.526914122684652,0.0009990009990009,img_0146,1.8207308644179132,0.0219780219780219,True,0.5972485768500949,0.7894377669844912,7.083333333333333,2.852822580645161,1.9576719576719577,amygdala,MTL,R,0.4916371206120758,0.6160804782768923,0.4010823558827676,1,2.398834721653239
4,1,screening,43,378,63,2.2056878306878307,1.3818134959838428,0.0349650349650349,img_0108,2.440320880243765,0.0079920079920079,True,0.5038402457757298,0.8736521290028646,4.375,2.1706989247311825,1.6402116402116402,amygdala,MTL,R,0.3401842326480911,0.3063353069930642,0.3259160756455237,1,1.9267195454007342
4,1,screening,44,378,63,16.48148148148148,4.218735730976866,0.0009990009990009,img_0154,4.490010830293907,0.0009990009990009,True,0.5105498072631366,0.9081251503472704,33.125,16.213037634408604,9.25925925925926,amygdala,MTL,R,0.4306514412986061,0.5869565532112087,-0.0018640738568142,1,2.030584416119437
4,1,screening,45,378,63,0.4265873015873015,1.7070677177217686,0.0069930069930069,img_0139,5.9798931673600695,0.0009990009990009,True,0.8560794044665013,0.3960162775754979,2.7083333333333335,0.3897849462365592,0.5423280423280423,amygdala,MTL,R,0.0866835216997707,0.0043171690553764,0.1283638265798597,0,5.529637760702524
4,1,screening,46,378,63,0.6084656084656085,1.8848599011066616,0.0019980019980019,img_0147,3.961469751335847,0.0009990009990009,True,0.8306451612903226,0.5692762980898574,3.3333333333333335,0.5645161290322581,0.5555555555555556,amygdala,MTL,R,0.0401943736565793,0.1274611658257301,0.0877526020288677,1,5.016181229773463
5,1,screening,5,378,63,6.061507936507937,1.6409478949388772,0.0019980019980019,img_0168,2.629413869287057,0.0089910089910089,True,0.5150355385456533,0.938390924789672,12.291666666666666,5.961021505376344,6.296296296296297,amygdala,MTL,L,0.2188073111845451,0.042979106222293,0.0265243926245625,1,2.027985984831685
5,1,screening,6,378,63,0.4861111111111111,1.430682098005429,0.0339660339660339,img_0065,2.8285951533676985,0.0009990009990009,True,0.8185483870967742,0.5081481481481482,2.5,0.4536290322580646,0.5158730158730159,amygdala,MTL,L,0.098099775476163,0.0477560672466878,-0.0874417690520095,1,4.515659140568099
7,1,screening,17,324,54,2.627314814814815,2.536512965828692,0.0009990009990009,img_0194,2.627007479362758,0.0059940059940059,True,0.7129380053908354,0.7887011357026973,8.75,2.5117924528301887,2.654320987654321,amygdala,MTL,R,0.1665537125289497,0.2185612433867249,0.065657482492565,1,3.350189633375474
