,mean,mean,size,size
hemisphere,L,R,L,R
subject,,,,
4,0.11332759568742024,0.30208852757897847,4.0,7.0
13,0.08332777230067677,0.46331742103471196,9.0,18.0
16,0.07559520945300864,0.1927935021755821,3.0,4.0
