subject,region,n_units,model,layer,view,rho,rho_partial_cat_low,rho_partial_cat,rho_cat,rho_cat_partial_model,beta_category,beta_lowlevel,beta_model,r2
1,MTL,9,alexnet,conv1,gap,0.020407154137466122,0.01156422762748236,0.01564518952023816,0.016819076868424234,0.010544117833588305,0.011272571618931294,0.005880717817714933,0.01380378046170059,0.0005543600547279759
1,MTL,9,alexnet,conv4,gap,0.039844679562654924,0.038227876900695526,0.03995028311721226,0.016819076868424234,-0.01706806931829008,-0.024358079876381535,0.0018059453561526015,0.0568610600385027,0.0018814407486031914
1,MTL,9,alexnet,fc7,gap,0.03156911165257007,0.026704175084133447,0.028414165893519177,0.016819076868424234,-0.009669651297855518,-0.014000202178619442,0.0067864712507620115,0.04032751946618944,0.0011334979239080445
1,MTL,9,vgg16,conv3_3,gap,0.04521411923511754,0.04332520912511072,0.044656038300617755,0.016819076868424234,-0.015252475201131217,-0.020362485696669496,-0.004902395502040369,0.05990822403946175,0.0022969690419332167
1,MTL,9,vgg16,fc7,gap,0.05384007244047559,0.060269444374585604,0.06088849567930115,0.016819076868424234,-0.03307050561165447,-0.04905090794392426,0.008000562281956404,0.08847572252400061,0.004051562779584628
1,MTL,9,resnet50,layer2,gap,0.03438853843378698,0.027854403609266668,0.030031819914839896,0.016819076868424234,0.0014025588180206316,0.0011899966595174199,-0.0039674119610096,0.03583329489139829,0.0011962263573976895
1,MTL,9,resnet50,avgpool,gap,0.07010701576825007,0.08502539350790994,0.08568315024261135,0.016819076868424234,-0.052161151873118386,-0.07761755264005255,0.0050276452641910534,0.12668343004027696,0.007646961228944593
1,MTL,9,convnext_tiny,logits,gap,0.0549694225013182,0.05681078929376493,0.05778437142158647,0.016819076868424234,-0.024518348688957903,-0.03234330610440608,0.005174400059671981,0.0749086443728894,0.0036467929867697313
1,MTL,9,vit_b_16,ln,gap,0.061313716718439146,0.059994911815644814,0.06077698816807289,0.016819076868424234,-0.014735097796612102,-0.01749274722060572,0.006647635613883535,0.06880791125173077,0.0040185601876673305
1,MTL,9,dinov2_small,norm,gap,0.06067800645229851,0.07420420300269018,0.07502264687548685,0.016819076868424234,-0.047287410279073204,-0.07432329793459294,0.00393189790627598,0.11732653575225865,0.005924632293839771
1,MTL,9,clip_vitb32,block5,cls,0.0031366673473780513,-0.0042605837452809716,-0.0008530458279320119,0.016819076868424234,0.016546082302382005,0.015930559054299347,0.013110570932861358,-0.004560542131975334,0.0004388298902147092
1,MTL,9,clip_vitb32,ln_post,cls,0.03682918257903631,0.03208778725332483,0.033126167457547755,0.016819076868424234,-0.004853572138432657,-0.006559035633002089,0.008505331807626791,0.03910078849100718,0.0014498778954900038
1,MTL,9,clip_vitb32,embed,gap,0.02360332734869205,0.017791644538284034,0.018638748118030537,0.016819076868424234,0.008550419464621723,0.007982653262876224,0.010488545922622576,0.019263143754290155,0.000737094403540195
1,MTL_concept,3,alexnet,conv1,gap,-0.004068579532671144,0.00012224000105350816,-0.007288808180919543,0.008257514150348495,0.010235137360855417,0.010675055753377962,-0.016469182652700202,0.00014591978262809045,0.00033131434394872983
1,MTL_concept,3,alexnet,conv4,gap,0.020957039289006368,0.02656924637741963,0.021620186185580075,0.008257514150348495,-0.009819978358522032,-0.016669367423037536,-0.02340293176119377,0.039521500608811946,0.00103699038686067
1,MTL_concept,3,alexnet,fc7,gap,0.022644714124029228,0.02804675167169078,0.024555700506377377,0.008257514150348495,-0.012586739547475571,-0.01978740620279175,-0.021748256842894765,0.04235691574856517,0.0011176590787832508
1,MTL_concept,3,vgg16,conv3_3,gap,0.011598606095879992,0.015026916722679032,0.008230906120479938,0.008257514150348495,0.0011841711420983929,-0.0015648929830944045,-0.022224451512977618,0.020779499092935683,0.0005570328223405419
1,MTL_concept,3,vgg16,fc7,gap,0.031971083516997824,0.03911813809473691,0.03800565810681367,0.008257514150348495,-0.02215557849950553,-0.03088588318522943,-0.018919324295418444,0.0574281099024207,0.0018610211704113144
1,MTL_concept,3,resnet50,layer2,gap,0.013676393184359868,0.02191318480490758,0.01114595945961586,0.008257514150348495,0.0023168415379401677,-0.00018198782809673337,-0.02886806000513939,0.02819147492280332,0.0008113279886858837
1,MTL_concept,3,resnet50,avgpool,gap,0.03218700511657318,0.04016486997910098,0.038745483949195525,0.008257514150348495,-0.02310511787990784,-0.033057587169564605,-0.019639602723278905,0.05984625043859677,0.001943981728957933
1,MTL_concept,3,convnext_tiny,logits,gap,0.027633885890038644,0.031306657450813104,0.029213147540804524,0.008257514150348495,-0.012570813896890215,-0.01539811460155137,-0.020097352191416555,0.04128166764070691,0.001311081498222788
1,MTL_concept,3,vit_b_16,ln,gap,0.06331031975985554,0.06944774281671666,0.06779045761914616,0.008257514150348495,-0.025648773307181273,-0.02694619835751847,-0.022454697350488488,0.07965288441446805,0.005152690535231708
1,MTL_concept,3,dinov2_small,norm,gap,0.03801958821110982,0.05177282316704985,0.04977134980264052,0.008257514150348495,-0.033185956832020365,-0.051637804690531496,-0.021946599720767002,0.08186325476391085,0.00301083660168433
1,MTL_concept,3,clip_vitb32,block5,cls,0.004802512572476368,0.007718296910432715,0.0029385256933970568,0.008257514150348495,0.007331984539005972,0.009102734482037543,-0.01864800882608882,0.008262058475338216,0.0003908517772751585
1,MTL_concept,3,clip_vitb32,ln_post,cls,0.06155312878897011,0.07102753028331016,0.06896418259476683,0.008257514150348495,-0.032234606762631915,-0.037099019709059496,-0.023860465364026587,0.08655494342448769,0.005374538088720904
1,MTL_concept,3,clip_vitb32,embed,gap,0.04007370762716616,0.041279493374005674,0.039907873995688875,0.008257514150348495,-0.007409620456292415,-0.0056615899274206705,-0.019617964147029827,0.04469560786789393,0.00203473144644295
1,MFC,31,alexnet,conv1,gap,-0.018581600451182,-0.004299482892741178,-0.01830688299705028,-0.004000834202167051,0.002422689851488985,0.0022106854809312575,-0.029891821261957247,-0.005130579570810025,0.0010429578054369504
1,MFC,31,alexnet,conv4,gap,-0.018540307676390793,-0.01503848751254107,-0.022549087382241016,-0.004000834202167051,0.013445408513529171,0.016304577368550417,-0.02815994181237441,-0.02236184963210756,0.0012504156023044333
1,MFC,31,alexnet,fc7,gap,-0.006015326135628793,0.0013625349740007838,-0.004540191473540233,-0.004000834202167051,0.0006599622873122961,-0.0006711530813379656,-0.03237844956360931,0.0020570213143478035,0.0010263457901642514
1,MFC,31,vgg16,conv3_3,gap,-0.01696308251631858,-0.007802835505743101,-0.018639159519694616,-0.004000834202167051,0.008700286971800314,0.007184314784639098,-0.029098691359638978,-0.010786164002666278,0.0010853130571385483
1,MFC,31,vgg16,fc7,gap,-0.015450497229896444,-0.016382781795616145,-0.018355316040816104,-0.004000834202167051,0.01068776459454633,0.01822663415287574,-0.031066710996034416,-0.024042707195790613,0.001292611761075535
1,MFC,31,resnet50,layer2,gap,-0.027288813416957994,-0.01493052433623881,-0.028573929462938574,-0.004000834202167051,0.009372786780549387,0.008232160352584943,-0.02363082431344861,-0.019201569539475268,0.0012471833673866062
1,MFC,31,resnet50,avgpool,gap,-0.013613779851133758,-0.013357397819298423,-0.01582896377925651,-0.004000834202167051,0.009013257603596884,0.015362270661941648,-0.031043939274196762,-0.019895818666442605,0.0012027284772848645
1,MFC,31,convnext_tiny,logits,gap,-0.008907621382296716,-0.004638833896638552,-0.00828334382573002,-0.004000834202167051,0.0022965323324028587,0.004678087773450202,-0.0315722036398914,-0.006114750297272017,0.001045987924698455
1,MFC,31,vit_b_16,ln,gap,-0.012991644828357763,-0.00995087034957476,-0.012634329306775058,-0.004000834202167051,0.0026170053227097473,0.006204585320636221,-0.03125258586461747,-0.011409163748978936,0.0011234095663583687
1,MFC,31,dinov2_small,norm,gap,-0.020410280937913586,-0.02404624401736474,-0.027242836575640694,-0.004000834202167051,0.01848593327237711,0.029760255251766617,-0.029546448339640312,-0.03800876714719414,0.0016021206587281123
1,MFC,31,clip_vitb32,block5,cls,-0.028798018988110286,-0.02070990059263024,-0.02866302772679562,-0.004000834202167051,0.002871170701879169,0.005134426347643389,-0.026104848322435096,-0.022161245800598358,0.001452951768881161
1,MFC,31,clip_vitb32,ln_post,cls,-0.01951036650495841,-0.01773603388358267,-0.02091072608683657,-0.004000834202167051,0.008522405003132878,0.012745462357008417,-0.03025817745139786,-0.021605834539174678,0.0013387358174822284
1,MFC,31,clip_vitb32,embed,gap,-0.02263738442694734,-0.020447534574198283,-0.02281343996282559,-0.004000834202167051,0.004900256939997928,0.008919331781787136,-0.030528446374248563,-0.022132007769806575,0.001442164519263489
1,amygdala,7,alexnet,conv1,gap,0.003648864968537912,0.0005725539937610669,-0.0026790580424079615,0.01825403779172233,0.01808521482647847,0.01912653918831216,-0.007367189592436941,0.0006834492111198419,0.0003824080076301195
1,amygdala,7,alexnet,conv4,gap,0.031359380827914646,0.02894332486810816,0.026246320278596236,0.01825403779172233,-0.006202963673881745,-0.01051729681630871,-0.014692625019633808,0.04305182621396232,0.0012194762944143234
1,amygdala,7,alexnet,fc7,gap,0.026994588099633985,0.021719219248038362,0.020049076195248795,0.01825403779172233,-0.002517587173558948,-0.004307071069380644,-0.011207533006960561,0.03280008267495716,0.0008536245629118255
1,amygdala,7,vgg16,conv3_3,gap,0.03495991167969543,0.035056423386899356,0.030237423306277968,0.01825403779172233,-0.005004217352132353,-0.009333775545256932,-0.02064445139458736,0.048475441053342234,0.0016105635768082216
1,amygdala,7,vgg16,fc7,gap,0.04123176432581079,0.041401725325975545,0.04087402620948666,0.01825403779172233,-0.01742978223919954,-0.024715063950910793,-0.00973065165459631,0.06077902881559473,0.0020955282498142935
1,amygdala,7,resnet50,layer2,gap,0.02221791150117944,0.021889914548327484,0.01565184577905573,0.01825403779172233,0.009193186069888318,0.008428076431797491,-0.01951917579984877,0.028160822284683276,0.0008610655929428557
1,amygdala,7,resnet50,avgpool,gap,0.0551377655067587,0.06262116145202291,0.0618671808349966,0.01825403779172233,-0.033507054026822504,-0.04893095156507524,-0.012112147006524616,0.09330408702665273,0.0043019918828931525
1,amygdala,7,convnext_tiny,logits,gap,0.04531711839380363,0.045039088360765075,0.04392510191599351,0.01825403779172233,-0.014448843943197115,-0.01825321760260371,-0.012381137901723394,0.05938805364455075,0.002409824737814259
1,amygdala,7,vit_b_16,ln,gap,0.05043471289637746,0.048328002497270234,0.047548556084970564,0.01825403779172233,-0.0070560695809848955,-0.006894210462163348,-0.011279739231963518,0.055428252488535126,0.002716783754995178
1,amygdala,7,dinov2_small,norm,gap,0.05403995408535987,0.06393366225134521,0.06284120490947713,0.01825403779172233,-0.03694021447056592,-0.05768356142384754,-0.01391255270885843,0.101089421553223,0.004468031725357924
1,amygdala,7,clip_vitb32,block5,cls,-0.00014768131428176564,-0.0027582556943836502,-0.004581463705544049,0.01825403779172233,0.018819429038319603,0.019889218516175127,-0.006269250468422186,-0.0029525025122137437,0.00038968538242545314
1,amygdala,7,clip_vitb32,ln_post,cls,0.028881308510797066,0.023353729196582684,0.022506595092691303,0.01825403779172233,0.0023372006972316524,0.0035923733928235665,-0.009521511018342541,0.02845839296203644,0.0009272685968640948
1,amygdala,7,clip_vitb32,embed,gap,0.01702359037392139,0.011519803577931394,0.010949134624768346,0.01825403779172233,0.012778818152504439,0.014743062348210479,-0.007966884977887657,0.012472816493079344,0.0005147354849790453
1,hippocampus,2,alexnet,conv1,gap,0.02683196871460838,0.027722232028240118,0.02050341466128437,0.02230795542866678,0.01407173404400803,0.014659625329832632,-0.023603339181071128,0.03308832283946637,0.0013491776877623263
1,hippocampus,2,alexnet,conv4,gap,0.01268596434900277,-0.002624454348626066,-0.004842529959787195,0.02230795542866678,0.018979135387838367,0.026396564616801302,-0.008548661790323967,-0.003903363027124088,0.0005879858871269406
1,hippocampus,2,alexnet,fc7,gap,0.026689042344884614,0.01713726652054034,0.015148907829028488,0.02230795542866678,0.003837393309780868,0.005056607506960345,-0.012503676528752441,0.025877900704319654,0.0008746173712834704
1,hippocampus,2,vgg16,conv3_3,gap,0.017667450553248882,0.008408599161550649,0.0045847162409453635,0.02230795542866678,0.014372881082199404,0.01682141500020317,-0.012495242820300644,0.011626113972873579,0.0006517655822924073
1,hippocampus,2,vgg16,fc7,gap,0.020300987082031485,0.006448120677699517,0.005855435669619303,0.02230795542866678,0.010946837459052781,0.01683544937807752,-0.009653997420440433,0.009465100624953341,0.0006226562280500225
1,hippocampus,2,resnet50,layer2,gap,0.02097009671032487,0.019130247888819403,0.012194368407468016,0.02230795542866678,0.014374261684182115,0.014180140411731997,-0.020117914415587107,0.024608130737290672,0.0009468558494339918
1,hippocampus,2,resnet50,avgpool,gap,0.02737772873764724,0.01694749321259317,0.016168099948085664,0.02230795542866678,0.003064188317386216,0.005224535385618591,-0.010604043717956339,0.02524886034207554,0.0008681527524664334
1,hippocampus,2,convnext_tiny,logits,gap,0.024269942978676864,0.014073217825367345,0.012919599233305469,0.02230795542866678,0.008688624162020408,0.011954885153564626,-0.010898964581052705,0.018554945055997234,0.000779042498502025
1,hippocampus,2,vit_b_16,ln,gap,0.008923692698802393,-0.0013674059674434072,-0.002146447531893462,0.02230795542866678,0.020558482068147022,0.024433386586032876,-0.00912064816332523,-0.001568146288295154,0.0005829708415269197
1,hippocampus,2,dinov2_small,norm,gap,0.028777501531228364,0.01925423443250082,0.01818482033704956,0.02230795542866678,0.00015305581941365453,0.0005059688036843713,-0.011300076578219445,0.030441016219757144,0.0009516122431703078
1,hippocampus,2,clip_vitb32,block5,cls,0.004321499344602342,0.0016203723510381006,-0.0009656544454432084,0.02230795542866678,0.021906859788241834,0.023353531486296864,-0.009710393857357474,0.0017343124373050986,0.0005837262098018492
1,hippocampus,2,clip_vitb32,ln_post,cls,0.002692330598930609,-0.011144028776864035,-0.012027342276415488,0.02230795542866678,0.02519892475042647,0.03119287975852513,-0.008070268841453341,-0.013578541345801146,0.0007052193396592799
1,hippocampus,2,clip_vitb32,embed,gap,0.0012498273893725167,-0.007057176085459731,-0.007737150456495351,0.02230795542866678,0.023577900282023365,0.026491329684190667,-0.00869065462095171,-0.00764024305265233,0.0006308769222365118
2,MTL,11,alexnet,conv1,gap,0.014580033680908537,0.011190765918752241,0.006889058171408762,0.02537288846102729,0.0218800462601356,0.023436440100824414,-0.012696304980322445,0.013234488956121185,0.0008152102534014771
2,MTL,11,alexnet,conv4,gap,-0.0016334205783149688,-0.025707864897533864,-0.02649388069269774,0.02537288846102729,0.03664140846337316,0.0510073348121842,0.0024730423668493143,-0.03775786495553647,0.0013505016890235089
2,MTL,11,alexnet,fc7,gap,0.002288945190413223,-0.02061237525003841,-0.021703801878963175,0.02537288846102729,0.03330618214793843,0.04663055568023967,-0.0003451729470221572,-0.03025935741832165,0.0011146402566231117
2,MTL,11,vgg16,conv3_3,gap,-0.003956567262957984,-0.023765622662994666,-0.024583231827651285,0.02537288846102729,0.0351012045107463,0.044638432571905175,0.00284768527079127,-0.032367243261923605,0.0012544784998415048
2,MTL,11,vgg16,fc7,gap,0.012516607965941853,-0.005211866636855508,-0.006269904748319589,0.02537288846102729,0.02294530177455929,0.03128539727858537,-0.006021473637369261,-0.0071651098131990335,0.0007172082396987856
2,MTL,11,resnet50,layer2,gap,0.002325857867102095,-0.011024563640364558,-0.01294313954501002,0.02537288846102729,0.02838653245158424,0.03328740800583113,-0.000658545318091197,-0.014837000278406872,0.0008115205628922428
