subject,unit,area,region,pref_image,n_pref_trials,maint_pref_hz,maint_nonpref_hz,baseline_hz,p_unit,persistent
1,15,preSMA,MFC,img_0039,44,0.3454545454545455,0.1694915254237288,0.9320388349514563,0.30857606086939016,False
1,17,preSMA,MFC,img_0039,44,1.5909090909090913,1.1932203389830507,0.6796116504854369,0.13152753717719057,False
1,34,amygdala,MTL,img_0019,44,1.7272727272727273,1.7694915254237291,1.6504854368932038,0.473223206873104,False
1,35,amygdala,MTL,img_0055,41,6.107317073170732,6.6000000000000005,7.242718446601942,0.9524350939149551,False
2,0,amygdala,MTL,img_0030,49,1.9510204081632654,1.2324324324324325,0.6341463414634146,0.0004351529588263494,True
2,1,amygdala,MTL,img_0071,49,0.5877551020408164,0.23783783783783785,0.11382113821138211,0.004944510674936569,True
2,16,hippocampus,MTL,img_0023,46,3.9391304347826077,3.833766233766235,4.373983739837398,0.26571831255316936,False
2,20,vmPFC,MFC,img_0071,49,0.9795918367346937,0.8378378378378378,0.8130081300813008,0.22479589167672837,False
3,10,preSMA,MFC,img_0020,46,10.243478260869566,10.45128205128205,7.354838709677419,0.6444983285804882,False
3,14,preSMA,MFC,img_0087,50,6.263999999999999,7.216216216216218,8.32258064516129,0.9738540535342126,False
3,22,preSMA,MFC,img_0059,46,12.826086956521738,12.4,5.774193548387097,0.3508752700667433,False
3,27,hippocampus,MTL,img_0018,50,6.432,5.967567567567566,6.032258064516129,0.11302057978197266,False
4,12,amygdala,MTL,img_0110,50,4.576,4.561038961038961,4.9921259842519685,0.6898007909215403,False
4,22,amygdala,MTL,img_0110,50,0.624,0.4311688311688312,0.8661417322834646,0.006250820217407234,True
4,52,amygdala,MTL,img_0146,50,5.311999999999999,4.509090909090909,4.299212598425197,0.06638434333719544,False
4,53,amygdala,MTL,img_0146,50,0.8560000000000001,0.7584415584415585,0.4094488188976378,0.46170332433378386,False
4,55,amygdala,MTL,img_0154,49,1.8204081632653062,1.7076923076923076,1.669291338582677,0.23084875488078482,False
4,57,amygdala,MTL,img_0154,49,11.502040816326533,10.061538461538461,7.590551181102362,0.013598627161087902,True
4,59,amygdala,MTL,img_0147,52,0.5461538461538461,0.46399999999999997,0.5826771653543307,0.14963127020614453,False
4,61,vmPFC,MFC,img_0110,50,1.4880000000000002,1.496103896103896,1.1811023622047243,0.6208557940107721,False
4,62,vmPFC,MFC,img_0122,50,5.28,4.488311688311689,4.283464566929134,0.018964232371272316,True
4,63,vmPFC,MFC,img_0154,49,9.444897959183674,8.584615384615384,7.748031496062992,0.07494742795789731,False
4,64,vmPFC,MFC,img_0147,52,2.315384615384615,1.8826666666666674,1.4173228346456692,0.01717919295701151,True
4,65,vmPFC,MFC,img_0122,50,3.5840000000000005,3.7350649350649348,3.338582677165354,0.6768612874388957,False
4,67,vmPFC,MFC,img_0147,52,0.5538461538461539,0.6133333333333333,0.5511811023622047,0.7582741270623322,False
4,70,vmPFC,MFC,img_0110,50,1.5439999999999998,1.6519480519480523,1.0078740157480315,0.7719457225822797,False
4,74,vmPFC,MFC,img_0154,49,4.946938775510204,5.538461538461538,5.228346456692913,0.9876486002578613,False
5,46,hippocampus,MTL,img_0173,46,1.208695652173913,1.1428571428571428,1.0517241379310345,0.37218285605781076,False
5,47,vmPFC,MFC,img_0138,48,2.591666666666667,2.4411764705882355,1.7413793103448276,0.18781710905507387,False
5,48,vmPFC,MFC,img_0168,46,8.756521739130434,8.828571428571427,8.96551724137931,0.2653164042956935,False
5,49,vmPFC,MFC,img_0168,46,3.678260869565217,3.3714285714285714,2.689655172413793,0.1371028322860357,False
6,33,preSMA,MFC,img_0193,31,0.8516129032258064,0.632,0.3950617283950617,0.036217875805121556,True
7,2,amygdala,MTL,img_0214,41,1.326829268292683,1.2967741935483872,1.5145631067961165,0.4373014198280845,False
7,3,amygdala,MTL,img_0214,41,1.0926829268292682,0.7354838709677418,0.7572815533980582,0.0075191255933105714,True
7,5,amygdala,MTL,img_0214,41,1.2390243902439027,1.0129032258064516,1.0485436893203883,0.01979191887504282,True
7,7,amygdala,MTL,img_0214,41,0.5853658536585366,0.4709677419354838,0.5048543689320388,0.09563832236610254,False
7,8,amygdala,MTL,img_0214,41,4.917073170731707,1.3741935483870968,2.9514563106796117,7.831739133426311e-13,True
7,9,amygdala,MTL,img_0186,40,0.13,0.12063492063492064,0.038834951456310676,0.26740086121466955,False
7,13,amygdala,MTL,img_0204,41,0.3902439024390244,0.35483870967741926,0.36893203883495146,0.25048919477137777,False
7,15,amygdala,MTL,img_0207,43,6.372093023255814,5.773333333333334,6.718446601941747,0.05339479625700984,False
8,9,dACC,MFC,img_0213,39,7.015384615384616,7.010526315789473,9.083333333333334,0.5857737414199887,False
8,37,hippocampus,MTL,img_0209,40,2.3600000000000003,1.95,2.2708333333333335,0.06572977328848502,False
8,39,hippocampus,MTL,img_0220,37,0.23783783783783785,0.2440677966101695,0.3333333333333333,0.8837259104318127,False
8,43,hippocampus,MTL,img_0213,39,0.5743589743589743,0.512280701754386,0.75,0.4213793230360804,False
8,49,hippocampus,MTL,img_0209,40,0.95,0.7285714285714285,0.7083333333333334,0.04444030627374531,True
8,52,hippocampus,MTL,img_0211,35,6.434285714285714,7.337704918032788,6.479166666666667,0.8517773616793551,False
8,53,hippocampus,MTL,img_0209,40,1.7,1.6999999999999997,1.7083333333333333,0.5209413502079737,False
8,57,hippocampus,MTL,img_0187,36,3.711111111111111,3.4533333333333336,2.9375,0.35476583510707094,False
9,0,amygdala,MTL,img_0004,35,0.4228571428571428,0.3525423728813559,0.2553191489361702,0.149453644718319,False
9,1,amygdala,MTL,img_0004,35,0.11428571428571428,0.1288135593220339,0.0425531914893617,0.4871146788778007,False
9,2,amygdala,MTL,img_0021,41,1.2195121951219512,0.9811320754716981,0.8936170212765957,0.1390441899857794,False
9,3,amygdala,MTL,img_0015,40,2.35,2.318518518518519,2.148936170212766,0.5461784069497904,False
9,6,amygdala,MTL,img_0004,35,1.097142857142857,0.41355932203389834,0.2127659574468085,0.005595858366824955,True
9,9,amygdala,MTL,img_0004,35,7.839999999999999,6.359322033898306,7.468085106382978,0.020876290059416942,True
9,11,amygdala,MTL,img_0004,35,0.2628571428571429,0.1016949152542373,0.10638297872340426,0.01741391669185465,True
9,12,amygdala,MTL,img_0015,40,0.8,0.7037037037037037,1.127659574468085,0.1396151532625538,False
9,16,amygdala,MTL,img_0004,35,0.8571428571428571,0.7661016949152544,1.0638297872340425,0.23113183843128038,False
9,23,amygdala,MTL,img_0245,34,1.164705882352941,0.9066666666666664,0.8297872340425532,0.05100079757288967,False
9,24,amygdala,MTL,img_0015,40,0.5,0.4074074074074074,0.5319148936170213,0.42043226370486025,False
9,26,amygdala,MTL,img_0015,40,1.59,0.6444444444444444,0.5319148936170213,0.0001769489120838304,True
10,15,preSMA,MFC,img_0060,43,1.0046511627906975,1.225974025974026,2.3,0.9317107754597416,False
10,17,preSMA,MFC,img_0243,51,7.921568627450981,8.939130434782609,9.883333333333333,0.8659550524812842,False
10,26,preSMA,MFC,img_0007,48,0.21666666666666665,0.16666666666666666,0.13333333333333333,0.25870905220627327,False
11,34,hippocampus,MTL,img_0022,50,0.568,0.4166666666666667,0.22950819672131148,0.05389842313606685,False
11,35,hippocampus,MTL,img_0048,48,0.20000000000000004,0.24864864864864863,0.11475409836065574,0.7623949862202388,False
11,36,hippocampus,MTL,img_0056,49,0.6612244897959183,0.4602739726027397,0.26229508196721313,0.008528025109723943,True
11,39,hippocampus,MTL,img_0022,50,2.136,1.711111111111111,0.9180327868852459,0.04535579888194086,True
11,40,hippocampus,MTL,img_0022,50,1.464,1.4666666666666666,0.4262295081967213,0.4097940782979909,False
11,43,hippocampus,MTL,img_0056,49,3.093877551020409,2.86027397260274,2.19672131147541,0.32252788965998536,False
11,44,hippocampus,MTL,img_0056,49,1.5591836734693878,1.2438356164383564,0.9672131147540983,0.07447766399773306,False
11,45,hippocampus,MTL,img_0236,48,0.7583333333333334,0.7297297297297297,0.7868852459016393,0.6204245485545019,False
11,54,preSMA,MFC,img_0056,49,2.7020408163265306,3.419178082191781,2.0163934426229506,0.9914914213138751,False
11,55,preSMA,MFC,img_0236,48,0.4333333333333333,0.3351351351351352,0.3442622950819672,0.10894670348198698,False
11,61,preSMA,MFC,img_0056,49,1.4612244897959183,1.6273972602739726,1.2459016393442623,0.8418463376539458,False
11,63,preSMA,MFC,img_0236,48,9.841666666666667,9.124324324324325,8.836065573770492,0.039104796822112514,True
11,64,preSMA,MFC,img_0056,49,1.1591836734693877,1.408219178082192,0.7868852459016393,0.9140208262989522,False
11,73,preSMA,MFC,img_0236,48,0.625,0.681081081081081,0.8032786885245902,0.7653692164941489,False
12,1,dACC,MFC,img_0059,48,3.5749999999999997,3.7973333333333334,3.707317073170732,0.7277838690755216,False
12,12,amygdala,MTL,img_0003,50,2.2960000000000003,0.7561643835616437,1.1869918699186992,8.585368061884849e-08,True
12,13,amygdala,MTL,img_0018,47,1.2085106382978728,0.7736842105263158,0.7967479674796748,0.005613168799388561,True
12,14,amygdala,MTL,img_0017,50,1.272,1.2767123287671234,1.2195121951219512,0.6647747623115695,False
12,21,preSMA,MFC,img_0234,45,1.831111111111111,1.7384615384615383,1.8211382113821137,0.35571700319620353,False
13,2,dACC,MFC,img_0056,48,0.8083333333333335,0.8242424242424242,0.7894736842105263,0.6128240426070384,False
13,6,amygdala,MTL,img_0020,43,7.590697674418606,7.661971830985914,5.298245614035087,0.6728744688394024,False
13,7,amygdala,MTL,img_0269,44,3.5454545454545454,3.1028571428571436,2.7017543859649122,0.10022460554668677,False
13,12,amygdala,MTL,img_0056,48,0.125,0.05454545454545455,0.03508771929824561,0.03171443411242732,True
13,13,amygdala,MTL,img_0004,36,1.5222222222222221,1.3333333333333333,1.2105263157894737,0.2879663856917003,False
13,14,amygdala,MTL,img_0056,48,0.325,0.20606060606060606,0.21052631578947367,0.12539984371402185,False
13,16,amygdala,MTL,img_0020,43,7.655813953488372,8.281690140845068,6.87719298245614,0.9231982167596555,False
13,17,amygdala,MTL,img_0056,48,1.5166666666666666,1.6121212121212125,1.456140350877193,0.7088119620524865,False
13,18,amygdala,MTL,img_0260,52,0.20769230769230773,0.0774193548387097,0.08771929824561403,0.0028106114440109857,True
13,19,amygdala,MTL,img_0056,48,0.2416666666666667,0.21212121212121213,0.17543859649122806,0.10019853473792811,False
13,20,amygdala,MTL,img_0056,48,0.08333333333333333,0.09696969696969697,0.03508771929824561,0.6336947407898589,False
13,21,amygdala,MTL,img_0004,36,8.222222222222221,8.117948717948714,6.649122807017544,0.20225056569187133,False
13,22,amygdala,MTL,img_0004,36,1.9777777777777779,0.9538461538461539,1.0,4.5934228863142506e-05,True
13,24,amygdala,MTL,img_0056,48,1.6666666666666667,0.4606060606060606,0.3684210526315789,1.2016173146972952e-08,True
13,25,amygdala,MTL,img_0056,48,1.5916666666666668,1.8000000000000003,0.9298245614035088,0.7788511165441564,False
13,26,amygdala,MTL,img_0020,43,0.2046511627906977,0.04507042253521127,0.05263157894736842,0.0033299953922203245,True
13,28,amygdala,MTL,img_0056,48,0.39166666666666666,0.2,0.05263157894736842,0.011196317887978495,True
13,29,amygdala,MTL,img_0020,43,2.8000000000000003,2.608450704225352,2.43859649122807,0.19954976445341682,False
13,30,amygdala,MTL,img_0004,36,1.4444444444444442,1.4205128205128206,0.9473684210526315,0.4704709291073342,False
13,31,hippocampus,MTL,img_0020,43,0.49302325581395345,0.6873239436619717,0.7543859649122807,0.6728055149673751,False
13,33,hippocampus,MTL,img_0020,43,2.7069767441860466,3.0140845070422535,1.9473684210526316,0.8655517036466753,False
13,34,hippocampus,MTL,img_0056,48,2.85,2.2484848484848485,5.245614035087719,0.040708522169738456,True
13,35,hippocampus,MTL,img_0269,44,6.463636363636365,5.748571428571429,7.315789473684211,0.04658546965034736,True
13,38,hippocampus,MTL,img_0020,43,1.33953488372093,1.4591549295774646,1.4912280701754386,0.6902714799181737,False
13,45,preSMA,MFC,img_0020,43,0.45581395348837206,0.4225352112676056,1.4736842105263157,0.2177414290768176,False
14,11,amygdala,MTL,img_0003,47,1.004255319148936,0.5473684210526315,0.5528455284552846,0.00020249578145957472,True
14,12,amygdala,MTL,img_0001,50,5.064,4.454794520547946,4.357723577235772,0.029053121025525486,True
14,13,amygdala,MTL,img_0001,50,4.752,0.7178082191780822,1.8373983739837398,8.072751415358312e-19,True
14,14,amygdala,MTL,img_0001,50,2.824,2.3945205479452056,1.951219512195122,0.02267604254922788,True
14,15,amygdala,MTL,img_0006,50,2.16,0.7780821917808218,1.2682926829268293,4.7403287713817407e-07,True
14,16,amygdala,MTL,img_0002,51,2.9098039215686278,1.038888888888889,1.983739837398374,1.965343941544478e-08,True
14,17,amygdala,MTL,img_0022,44,9.172727272727272,5.083544303797467,4.4227642276422765,2.1157939967158443e-07,True
14,18,amygdala,MTL,img_0006,50,2.096,1.852054794520548,1.5772357723577235,0.2132025106835907,False
14,19,amygdala,MTL,img_0022,44,0.5727272727272728,0.22784810126582275,0.1951219512195122,0.00896405477227707,True
14,20,amygdala,MTL,img_0002,51,1.2,0.7777777777777778,1.2195121951219512,0.0012457333597288669,True
14,23,amygdala,MTL,img_0022,44,2.5363636363636357,2.2025316455696196,2.3739837398373984,0.05732561924820345,False
14,24,amygdala,MTL,img_0003,47,0.8425531914893616,0.6,0.6341463414634146,0.017635195022860723,True
14,25,amygdala,MTL,img_0003,47,2.5702127659574465,2.073684210526316,1.5772357723577235,0.008784973951701245,True
14,26,amygdala,MTL,img_0003,47,0.6893617021276596,0.4157894736842105,0.4065040650406504,0.002170028429993083,True
14,27,amygdala,MTL,img_0003,47,1.6085106382978724,1.2947368421052632,1.2845528455284554,0.00422380165618641,True
14,28,amygdala,MTL,img_0006,50,1.4480000000000002,0.7287671232876712,0.8455284552845529,7.459898172003472e-06,True
14,34,hippocampus,MTL,img_0022,44,1.2363636363636366,0.21265822784810123,0.3089430894308943,1.1318221110540729e-07,True
14,36,hippocampus,MTL,img_0006,50,1.76,1.1506849315068493,1.056910569105691,0.022476948238911776,True
14,38,hippocampus,MTL,img_0006,50,2.8640000000000003,2.263013698630137,1.853658536585366,0.056238229208849265,False
14,39,hippocampus,MTL,img_0022,44,1.209090909090909,0.9367088607594937,1.2357723577235773,0.09119449171462979,False
15,30,hippocampus,MTL,img_0292,48,2.6416666666666666,2.123076923076923,1.6991150442477876,0.034744185592714215,True
15,32,hippocampus,MTL,img_0284,44,5.572727272727273,5.855072463768115,5.575221238938053,0.6763471276181706,False
15,44,preSMA,MFC,img_0058,45,0.3377777777777778,0.39411764705882346,0.9557522123893806,0.6279835067126396,False
15,47,preSMA,MFC,img_0026,44,1.7272727272727275,1.727536231884058,1.1858407079646018,0.35677335546286854,False
16,0,amygdala,MTL,img_0020,41,1.0634146341463413,0.3934426229508196,0.17647058823529413,1.693737473700782e-05,True
16,1,amygdala,MTL,img_0020,41,0.27317073170731704,0.22950819672131148,0.11764705882352941,0.4953414461142208,False
16,5,amygdala,MTL,img_0026,39,6.533333333333333,6.12063492063492,5.980392156862745,0.5685879398434275,False
16,7,amygdala,MTL,img_0026,39,0.3384615384615386,0.3238095238095237,0.5882352941176471,0.3450767727697802,False
16,9,amygdala,MTL,img_0026,39,2.2871794871794875,2.304761904761905,2.196078431372549,0.5523894760748619,False
16,11,amygdala,MTL,img_0043,41,1.1121951219512196,0.9770491803278689,1.1372549019607843,0.30262594739904525,False
16,15,amygdala,MTL,img_0043,41,5.736585365853658,4.177049180327868,4.431372549019608,6.949822362971182e-06,True
16,17,amygdala,MTL,img_0004,41,1.5317073170731705,1.7114754098360656,1.7058823529411764,0.8309706227560434,False
16,18,amygdala,MTL,img_0021,41,5.1414634146341465,4.950819672131147,3.764705882352941,0.25667600693365644,False
16,20,amygdala,MTL,img_0020,41,0.5756097560975609,0.4721311475409836,0.35294117647058826,0.4033648063245027,False
16,26,amygdala,MTL,img_0043,41,0.25365853658536586,0.36721311475409835,0.29411764705882354,0.9353526409782404,False
16,30,hippocampus,MTL,img_0021,41,27.639024390243904,27.718032786885253,28.88235294117647,0.5435380841934432,False
17,4,amygdala,MTL,img_0023,51,4.729411764705882,4.0820512820512835,2.108527131782946,0.10567811702281338,False
17,7,amygdala,MTL,img_0023,51,20.8,19.317948717948717,16.589147286821706,0.23051409221327607,False
17,10,preSMA,MFC,img_0020,52,2.8846153846153846,2.405194805194805,3.503875968992248,0.05288996696681237,False
17,12,preSMA,MFC,img_0020,52,0.5615384615384615,0.7324675324675324,0.6666666666666666,0.8789594960594747,False
18,1,dACC,MFC,img_0299,50,3.2319999999999998,3.5894736842105273,2.873015873015873,0.8565812760341465,False
18,3,dACC,MFC,img_0299,50,2.48,2.4736842105263164,2.253968253968254,0.5369417021735682,False
18,6,dACC,MFC,img_0055,46,4.669565217391305,4.455,2.7936507936507935,0.41358797913156037,False
18,9,dACC,MFC,img_0309,53,5.547169811320754,4.065753424657534,4.126984126984127,0.0008423247314530652,True
18,11,dACC,MFC,img_0055,46,0.14782608695652177,0.11000000000000001,0.20634920634920634,0.14132711153247923,False
18,19,amygdala,MTL,img_0036,51,2.0784313725490198,1.4133333333333336,2.380952380952381,0.00027091140484029435,True
18,25,amygdala,MTL,img_0309,53,1.3962264150943393,1.2931506849315069,1.0634920634920635,0.13558666838602745,False
18,31,amygdala,MTL,img_0036,51,0.3764705882352941,0.38933333333333336,0.3333333333333333,0.6242564709531915,False
18,33,amygdala,MTL,img_0055,46,0.43478260869565216,0.015,0.15873015873015872,1.8215280750676962e-12,True
18,35,amygdala,MTL,img_0055,46,0.40869565217391296,0.015000000000000003,0.1111111111111111,3.26351232218178e-09,True
18,46,amygdala,MTL,img_0299,50,5.104,5.221052631578947,6.142857142857143,0.7002411432879233,False
18,48,amygdala,MTL,img_0016,49,0.8816326530612244,0.7324675324675325,0.36507936507936506,0.6020717558334527,False
18,49,amygdala,MTL,img_0299,50,0.19200000000000003,0.15789473684210528,0.09523809523809523,0.09034889330776918,False
18,51,hippocampus,MTL,img_0055,46,1.0695652173913044,0.78,0.49206349206349204,0.056459881806666,False
18,54,hippocampus,MTL,img_0016,49,2.424489795918367,1.87012987012987,2.1587301587301586,0.12931269121396538,False
18,55,hippocampus,MTL,img_0055,46,0.1565217391304348,0.11499999999999999,0.031746031746031744,0.28444915588982733,False
18,56,hippocampus,MTL,img_0016,49,1.730612244897959,0.6493506493506492,0.5555555555555556,0.008027648802818236,True
18,62,hippocampus,MTL,img_0036,51,5.647058823529412,6.229333333333334,6.777777777777778,0.9242755101422414,False
18,70,hippocampus,MTL,img_0036,51,1.4274509803921565,1.5733333333333333,0.5079365079365079,0.7293649147223522,False
18,81,hippocampus,MTL,img_0036,51,2.3607843137254902,2.453333333333333,1.8412698412698412,0.6764272343585046,False
18,99,preSMA,MFC,img_0309,53,1.5773584905660378,1.632876712328767,3.3015873015873014,0.41224724919903233,False
18,110,preSMA,MFC,img_0309,53,0.25660377358490566,0.2465753424657534,0.31746031746031744,0.30241381153116614,False
18,113,preSMA,MFC,img_0309,53,0.24150943396226415,0.23013698630136986,0.20634920634920634,0.5592560702349774,False
19,6,hippocampus,MTL,img_0193,42,0.06666666666666667,0.05333333333333334,0.0196078431372549,0.3490145157350747,False
21,1,amygdala,MTL,img_0038,47,1.8127659574468091,0.7705882352941176,1.008695652173913,5.2649569474296387e-08,True
21,2,hippocampus,MTL,img_0340,44,1.0363636363636364,0.9690140845070424,0.6956521739130435,0.4718716974719837,False
21,16,hippocampus,MTL,img_0321,45,6.275555555555555,5.171428571428572,4.921739130434783,0.15357689822747034,False
21,17,hippocampus,MTL,img_0321,45,1.2355555555555555,1.3085714285714287,1.0608695652173914,0.4895947388370402,False
21,18,hippocampus,MTL,img_0321,45,1.8933333333333333,1.725714285714286,1.6869565217391305,0.34164536411335644,False
