reference,n_L,n_R,rho_L,rho_R,n_paired,paired_p,p_L_vs0,p_R_vs0
alexnet conv1,12,15,-0.0032376986261087363,0.02107263825134164,10,0.064453125,0.6222721316915345,0.006591075180709204
category,12,15,0.006369799716088501,0.05954771968791363,10,0.10546875,0.33555348841080523,0.012213878798782893
clip ln_post,12,15,0.018856578073798532,0.059309500401424735,10,0.16015625,0.049040500402960936,0.02444510302763521
resnet50 avgpool,12,15,0.020416755336474017,0.050723891266167435,10,0.232421875,0.02042455780708187,0.02004526444254908
