area,hemisphere,count,mean,sem,p_R_vs_L
amygdala,L,38,0.038652492444642986,0.021102487219778032,1.5450264522550532e-07
amygdala,R,63,0.29734550248828445,0.03167150111938547,1.5450264522550532e-07
hippocampus,L,20,0.08832459620114598,0.038771318538327035,0.6451232285407815
hippocampus,R,13,0.06612632549827188,0.044266537996961265,0.6451232285407815
