region,scope,model,layer,n,mean,sem,p
MTL,between-category pairs,vit_b_16,ln,19.0,0.04130423852371743,0.016962741698789138,0.02552158130600779
MTL,within animal,alexnet,conv1,8.0,0.026901712695483335,0.017438143254370327,0.16681173454197465
MTL,within animal,alexnet,conv4,8.0,-0.03090828404945351,0.06290261218263211,0.6381974094656044
MTL,within animal,clip_vitb32,ln_post,8.0,0.066064807315033,0.048661657233269776,0.21671840940169668
MTL,within animal,dinov2_small,norm,8.0,-0.03215012668909324,0.03936014279150814,0.4409404573878376
MTL,within animal,resnet50,avgpool,8.0,0.016313142261241097,0.03888097991396242,0.6873791887453229
MTL,within animal,resnet50,layer2,8.0,0.014676682875730243,0.02992848110342026,0.63885337227219
MTL,within animal,vit_b_16,ln,8.0,0.06157115056122078,0.055501890601984266,0.30392973527543027
MTL,within face_person,alexnet,conv1,19.0,0.00589342696614252,0.020930641440082973,0.7814852100027514
MTL,within face_person,alexnet,conv4,19.0,0.019167856068532992,0.02168730938324548,0.38844177136466185
MTL,within face_person,clip_vitb32,ln_post,19.0,0.04148145382400694,0.026868621117153768,0.1400204778857164
MTL,within face_person,dinov2_small,norm,19.0,0.057826883217890104,0.028171329964513894,0.05493359248708502
MTL,within face_person,resnet50,avgpool,19.0,0.03773823894124519,0.022235939881238752,0.10688685006418389
MTL,within face_person,resnet50,layer2,19.0,0.018693015615256183,0.020491364724385067,0.37369968222360617
MTL,within face_person,vit_b_16,ln,19.0,0.008699924353776811,0.021608156638767105,0.6919675910935882
MTL,within landmark_place,alexnet,conv1,8.0,-0.051167088287563806,0.02928461491084586,0.12409267795798723
MTL,within landmark_place,alexnet,conv4,8.0,-0.06240761402002246,0.03715317161703656,0.13689910265976915
MTL,within landmark_place,clip_vitb32,ln_post,8.0,0.015295749440849006,0.038871546201579475,0.7056642803828006
MTL,within landmark_place,dinov2_small,norm,8.0,-0.028423678997997547,0.0283107090987799,0.34881920703068664
MTL,within landmark_place,resnet50,avgpool,8.0,-0.041187715049873515,0.027228395899926035,0.17412391599701046
MTL,within landmark_place,resnet50,layer2,8.0,-0.05905993444887296,0.036346628361825346,0.14820988735705065
